country,electricity_mwh_yr,water_recoverable_liters_yr,ratio_vs_china
Saudi Arabia,346728000,232436000000,1.28418
Australia,247496000,165914000000,0.91665
China,270000000,181000000000,1
Russia,374582000,251109000000,1.38734
Germany,365697000,245152000000,1.35443
Denmark,407574000,273225000000,1.50953
France,355687000,238442000000,1.31736
UK,391876000,262702000000,1.45139
Greece,412267000,276372000000,1.52692
India,280877000,188292000000,1.04029
Kazakhstan,326848000,219109000000,1.21055
Iraq,278153000,186466000000,1.0302
USA,306328000,205353000000,1.13455
Spain,344804000,231146000000,1.27705
