ancient_pop,n_sig_ancient,sep,contemporary_pop,n_sig_contemporary
PuertoRico_LosIndios_Ceramic,114,,Awajún,36
Vau.Una.inland_600,107,,Tsimané,25
sambaqui.Limão_400,103,,Guarani-Mbya,24
Argentina_LagunaChica_6800BP,81,,Surui,24
sambaqui.Limão,65,,Guaná-Chané,20
Belize_3600BP,58,,Karitiana,20
Chile_PicaOcho_700BP,54,,Qom,20
nonlocal.JabuticabeiraII_1400,47,,Ayoreo,18
Brazil_LapaDoSanto_9600BP,45,,Mexico_Colonial_Maya,18
Sambaqui.Cabeçuda,45,,PuertoRico_Collores_Ceramic,18
Peru_Antaura_Tiwanaku,42,,Argentina_BeagleChannel_Yamana_100BP,17
Peru_Maucallacta_Tiwanaku,40,,Argentina_Aconcagua_Inca_500BP.SG,16
sambaqui.JabuticabeiraII,39,,Cuba_CanimarAbajo_Archaic,16
Peru_Cuncaicha_4200BP,28,,Guarayo,16
Peru_LIP_Ychsma,20,,Peru_ElBrujo_EIP_1300BP,16
Brazil_Sumidouro_10100BP.SG,17,,StLucia_Lavoutte_Ceramic,16
Chile_PuntaSantaAna_7300BP.SG,11,,Yuracaré,16
Peru_Cullcunche_Tiwanaku,9,,Bora,15
Bolivia_Lukurmata_Tiwanaku,8,,Cuba_GuayaboBlanco_Archaic,15
Bolivia_MonolitoDescabezado_Tiwanaku,7,,Sirionó,15
Belize_5500BP,4,,Bahamas_EleutheraIsl_Ceramic,14
Brazil_PrePottery_2200BP,4,,Bolivia_MiraFlores_MH,14
Peru_Cotahuasi_Tiwanaku,4,,Chile_WesternArchipelago_Ayayema_5100BP.SG,14
Bolivia_Putuni_Tiwanaku,3,,Chile_Yamana_BeagleChannel_800BP.SG,14
Belize_4900BP,2,,Cocama-Cocamilla,14
Uruguay_Rocha_PreColonial.SG,2,,PuertoRico_CaboRojo11_Ceramic,14
Bolivia_MH_Iroco_1050BP,1,,PuertoRico_Monserrate_Ceramic,14
Brazil_Laranjal_6600BP,1,,Wichi,14
Cuba_CuevaEsqueletos_Ceramic,1,,Belize_9400BP,13
Mixe,1,,Curacao_SantaCruz_Ceramic,13
Peru_Chanka_LIP,1,,Curacao_deSavaan_Ceramic,13
Peru_Laramate_900BP,1,,Guarani,13
Peru_Palpa_LIP_550BP,1,,Haiti_Diale1_Ceramic,13
Peru_Ullujaya_EIP_1350BP,1,,Matsiguenga,13
Quechua,1,,Peru_Chincha_LH,13
Venezuela_LasLocas_Ceramic,1,,Peru_MH_LIP_ElBrujo_850BP,13
,,,Ashaninka,12
,,,Bahamas_SouthAndros_Ceramic,12
,,,Manoki-Irantxe,12
,,,Tiryó,12
,,,Arara,11
,,,Chiquitano,11
