Population,IID,Clusters,Language,Country,Latitude,Longitude,Maximum_unrelated_dataset,Maximum_unrelated_dataset_2nd,N_genotypes,N_miss_before_mask,Freq_miss_before_mask,N_miss_after_mask,Freq_miss_after_mask
Ashaninka,IAGD0001,Western_South_America,Arawak,Peru,-10.025656,-74.264184,TRUE,TRUE,5298485,0,0,290843,0.05489
Ashaninka,IAGD0002,Western_South_America,Arawak,Peru,-10.025656,-74.264184,TRUE,TRUE,5298485,0,0,829629,0.1566
Ashaninka,IAGD0003,Western_South_America,Arawak,Peru,-10.025656,-74.264184,TRUE,TRUE,5298485,0,0,389555,0.07352
Ashaninka,IAGD0004,Western_South_America,Arawak,Peru,-10.025656,-74.264184,TRUE,TRUE,5298485,0,0,265796,0.05016
Chamicuro,IAGD0005,Western_South_America,Arawak,Peru,-11.253056,-74.637222,TRUE,FALSE,5298485,0,0,455376,0.08594
Chamicuro,IAGD0006,Western_South_America,Arawak,Peru,-11.253056,-74.637222,TRUE,TRUE,5298485,0,0,384292,0.07253
Chamicuro,IAGD0007,Western_South_America,Arawak,Peru,-11.253056,-74.637222,TRUE,TRUE,5298485,0,0,1302709,0.2459
Guaná-Chané,IAGD0008,Chaco,Arawak,Paraguay,-21.516667,-61.793056,TRUE,TRUE,5298485,0,0,380019,0.07172
Guaná-Chané,IAGD0009,Chaco,Arawak,Paraguay,-21.516667,-61.793056,TRUE,TRUE,5298485,0,0,304116,0.0574
Matsiguenga,IAGD0010,Western_South_America,Arawak,Peru,-11.253056,-74.637222,TRUE,TRUE,5298485,0,0,304042,0.05738
Matsiguenga,IAGD0011,Western_South_America,Arawak,Peru,-11.253056,-74.637222,TRUE,TRUE,5298485,0,0,236937,0.04472
Palikur-Arukwayene,IAGD0012,Eastern_South_America,Arawak,Brazil,3.383056,-51.298611,TRUE,TRUE,5298485,0,0,273943,0.0517
Yine,IAGD0013,Western_South_America,Arawak,Peru,-13.154167,-72.525278,TRUE,TRUE,5298485,0,0,275157,0.05193
Yine,IAGD0014,Western_South_America,Arawak,Peru,-13.154167,-72.525278,TRUE,TRUE,5298485,0,0,1536236,0.2899
Yine,IAGD0015,Western_South_America,Arawak,Peru,-13.154167,-72.525278,TRUE,TRUE,5298485,0,0,369634,0.06976
Baniwa,IAGD0016,Western_South_America,Baniwa,Brazil,1.709722,-69.845,TRUE,TRUE,5298485,0,0,984489,0.1858
Bora,IAGD0017,Western_South_America,Bora-Witotoan,Peru,-3.775278,-73.289167,TRUE,TRUE,5298485,0,0,275546,0.052
Bora,IAGD0018,Western_South_America,Bora-Witotoan,Peru,-3.775278,-73.289167,TRUE,TRUE,5298485,0,0,265932,0.05019
Bora,IAGD0019,Western_South_America,Bora-Witotoan,Peru,-3.775278,-73.289167,FALSE,FALSE,5298485,0,0,282380,0.05329
Cayubaba,IAGD0020,Eastern_South_America,Cayubaba,Bolivia,-10.484722,-65.43,TRUE,TRUE,5298485,0,0,716108,0.1352
Cayubaba,IAGD0021,Eastern_South_America,Cayubaba,Bolivia,-10.484722,-65.43,TRUE,TRUE,5298485,0,0,559246,0.1055
Cayubaba,IAGD0022,Eastern_South_America,Cayubaba,Bolivia,-10.484722,-65.43,TRUE,TRUE,5298485,0,0,1637914,0.3091
Cayubaba,IAGD0023,Eastern_South_America,Cayubaba,Bolivia,-10.484722,-65.43,TRUE,TRUE,5298485,0,0,1691839,0.3193
Tehuelche,IAGD0024,Southern_Cone,Chon,Argentina,-43.248889,-65.304722,TRUE,TRUE,5298485,0,0,1302170,0.2458
Qom,IAGD0025,Chaco,Guaicuru,Argentina,-21.535278,-64.729444,TRUE,FALSE,5298485,0,0,567791,0.1072
Qom,IAGD0026,Chaco,Guaicuru,Argentina,-21.535278,-64.729444,FALSE,TRUE,5298485,0,0,528946,0.09983
Manoki-Irantxe,IAGD0027,Eastern_South_America,Irantxe,Brazil,-11.474444,-58.52,TRUE,TRUE,5298485,0,0,263463,0.04972
Yuracaré,IAGD0028,Eastern_South_America,Isolate,Bolivia,-17.414203,-66.166447,TRUE,TRUE,5298485,0,0,283623,0.05353
Mekranoti,IAGD0029,Eastern_South_America,Jê,Brazil,-8.44843,-53.3606,TRUE,TRUE,5298485,0,0,286425,0.05406
Achuar,IAGD0030,Eastern_South_America,Jivaro,Peru,-4,-74.316667,TRUE,TRUE,5298485,0,0,488356,0.09217
Achuar,IAGD0031,Eastern_South_America,Jivaro,Peru,-4,-74.316667,TRUE,TRUE,5298485,0,0,752150,0.142
Achuar,IAGD0032,Eastern_South_America,Jivaro,Peru,-4,-74.316667,TRUE,TRUE,5298485,0,0,326539,0.06163
Awajún,IAGD0033,Western_South_America,Jivaro,Peru,-6.056667,-77.166389,TRUE,TRUE,5298485,0,0,289796,0.05469
Awajún,IAGD0034,Western_South_America,Jivaro,Peru,-6.056667,-77.166389,TRUE,TRUE,5298485,0,0,345022,0.06512
Awajún,IAGD0035,Western_South_America,Jivaro,Peru,-6.056667,-77.166389,TRUE,TRUE,5298485,0,0,300326,0.05668
Awajún,IAGD0036,Western_South_America,Jivaro,Peru,-6.056667,-77.166389,TRUE,TRUE,5298485,0,0,319684,0.06033
Xipaya,IAGD0037,Eastern_South_America,Juruna,Brazil,-5.44348,-54.68033,TRUE,TRUE,5298485,0,0,276680,0.05222
Arara,IAGD0038,Eastern_South_America,Karib,Brazil,-3.91,-53.59,TRUE,TRUE,5298485,0,0,200125,0.03777
Wai-Wai,IAGD0039,Eastern_South_America,Karib,Brazil,-1.072778,-57.056667,TRUE,FALSE,5298485,0,0,181866,0.03432
Wai-Wai,IAGD0040,Eastern_South_America,Karib,Brazil,-1.072778,-57.056667,TRUE,TRUE,5298485,0,0,258234,0.04874
Chiquitano,IAGD0041,Eastern_South_America,Macro-Jê,Bolivia,-16.066667,-60.6,TRUE,TRUE,5298485,0,0,301448,0.05689
Chiquitano,IAGD0042,Eastern_South_America,Macro-Jê,Bolivia,-16.066667,-60.6,TRUE,TRUE,5298485,0,0,262321,0.04951
Chiquitano,IAGD0043,Eastern_South_America,Macro-Jê,Bolivia,-16.066667,-60.6,TRUE,TRUE,5298485,0,0,343113,0.06476
Wichi,IAGD0044,Chaco,Mataco-Mataguayo,Argentina,-24.256519,-61.242163,TRUE,TRUE,5298485,0,0,353443,0.06671
Wichi,IAGD0045,Chaco,Mataco-Mataguayo,Argentina,-24.256519,-61.242163,TRUE,TRUE,5298485,0,0,329898,0.06226
Wichi,IAGD0046,Chaco,Mataco-Mataguayo,Argentina,-24.256519,-61.242163,TRUE,TRUE,5298485,0,0,1108017,0.2091
Maya,IAGD0047,Mesoamerica,Maya,Mexico,19,-91,TRUE,TRUE,5298485,0,0,1418655,0.2677
Tsimané,IAGD0048,Unclear,Moseten,Bolivia,-14.766111,-67.083889,TRUE,FALSE,5298485,0,0,293652,0.05542
Tsimané,IAGD0049,Unclear,Moseten,Bolivia,-14.766111,-67.083889,TRUE,TRUE,5298485,0,0,219410,0.04141
Tsimané,IAGD0050,Unclear,Moseten,Bolivia,-14.766111,-67.083889,TRUE,TRUE,5298485,0,0,349843,0.06603
