Population,IID,Average_ROH_length_Mb,Total_ROH_length_Mb,ROH_count,FROH
ACB,HG01879,0.772926820512821,30.144146,39,0.0108094429363028
ACB,HG01880,0.785832484848485,25.932472,33,0.0092991712646718
ACB,HG01882,0.823710689655172,47.77522,58,0.0171318011251443
ACB,HG01883,0.7241619,36.208095,50,0.0129839251951186
ACB,HG01885,0.7893466,31.573864,40,0.0113221280571885
ACB,HG01886,0.724070490196078,36.927595,51,0.0132419319800071
ACB,HG01889,0.715993693877551,35.083691,49,0.0125807231646032
ACB,HG01890,0.731749,31.465207,43,0.0112831645502731
ACB,HG01894,0.724902543478261,33.345517,46,0.0119574282579781
ACB,HG01896,0.923381910714286,51.709387,56,0.0185425610679997
ACB,HG01912,1.60645165853659,65.864518,41,0.0236184746732613
ACB,HG01914,0.774791465116279,33.316033,43,0.0119468555379702
ACB,HG01915,0.689013307692308,35.828692,52,0.0128478743984444
ACB,HG01956,0.744025615384615,38.689332,52,0.0138736763847175
ACB,HG01958,0.758272461538462,29.572626,39,0.0106045005628498
ACB,HG01985,0.697254818181818,30.679212,44,0.0110013132050494
ACB,HG01986,0.79068808,39.534404,50,0.0141767122564608
ACB,HG01988,0.761745482758621,44.181238,58,0.0158430287265798
ACB,HG01989,0.706470824561404,40.268837,57,0.014440073892383
ACB,HG01990,0.820338255813953,35.274545,43,0.0126491618399654
ACB,HG02009,0.6997681,34.988405,50,0.0125465543883629
ACB,HG02010,0.763076647058824,38.916909,51,0.0139552836259747
ACB,HG02012,0.73664968852459,44.935631,61,0.016113547854408
ACB,HG02013,0.75307618,37.653809,50,0.0135023463500988
ACB,HG02014,0.672461,36.312894,54,0.0130215052549511
ACB,HG02051,0.692611015151515,45.712327,66,0.0163920646546801
ACB,HG02052,0.784998327586207,45.529903,58,0.0163266489080136
ACB,HG02053,0.787891428571429,38.60668,49,0.0138440380570113
ACB,HG02054,0.806281555555556,36.28267,45,0.0130106671770269
ACB,HG02095,0.724639510204082,35.507336,49,0.0127326387787576
ACB,HG02107,0.693896035714286,38.858178,56,0.0139342231722106
ACB,HG02108,0.730453383333333,43.827203,60,0.0157160746861517
ACB,HG02111,0.798292537037037,43.107797,54,0.0154581016088904
ACB,HG02143,0.802232102564103,31.287052,39,0.0112192796319106
ACB,HG02144,0.810315863636364,35.653898,44,0.0127851947070507
ACB,HG02255,0.713590973684211,27.116457,38,0.00972373855196329
ACB,HG02256,0.826349166666667,29.74857,36,0.0106675926347892
ACB,HG02281,0.75201613559322,44.368952,59,0.0159103414237564
ACB,HG02282,0.828546261904762,34.798943,42,0.0124786148727569
ACB,HG02283,0.731236807692308,38.024314,52,0.0136352063971247
ACB,HG02284,0.805394547619048,33.826571,42,0.0121299302675649
ACB,HG02307,0.722706976744186,31.0764,43,0.0111437415565106
ACB,HG02308,0.762402551020408,37.357725,49,0.0133961730618474
ACB,HG02309,0.817545375,45.782541,56,0.0164172428178408
