Year,Non-green,Green,OBS
2001,401.76599,395.79648,395.79648
2002,425.18393,328.30142,385.57697
2003,582.51801,508.22351,628.58246
2004,427.52954,345.87238,389.63992
2005,392.44922,358.75015,404.55957
2006,419.86469,366.01129,418.20398
2007,480.07074,450.89157,492.20166
2008,425.95663,356.02158,408.11212
2009,412.66263,393.60416,435.21597
2010,436.49646,371.88519,437.44125
2011,460.89273,435.16342,486.90387
2012,466.88858,404.98199,468.35031
2013,478.63266,422.65961,486.18219
2014,482.23343,401.00027,458.44666
2015,412.44974,354.33176,417.81375
2016,484.25339,442.22565,459.8334
2017,485.65945,458.54404,515.69519
2018,517.67303,463.86005,523.07013
