material,tipo,temperatura_k,strength_gpa
Inconel 617,superalloy,303,0.35
Inconel 617,superalloy,823,0.23
Inconel 617,superalloy,923,0.22
Inconel 617,superalloy,1023,0.23
Inconel 617,superalloy,1123,0.21
CoCrCuFeNiAl0.5,hea,303,0.38
CoCrCuFeNiAl0.5,hea,573,0.40
CoCrCuFeNiAl0.5,hea,773,0.41
CoCrCuFeNiAl0.5,hea,973,0.44
CoCrCuFeNiAl0.5,hea,1173,0.23
CoCrCuFeNiAl0.5,hea,1273,0.15
Haynes 188,superalloy,303,0.48
Haynes 188,superalloy,923,0.30
Haynes 188,superalloy,1023,0.30
Haynes 188,superalloy,1123,0.29
Haynes 188,superalloy,1223,0.26
MarM 302,superalloy,303,0.69
MarM 302,superalloy,923,0.48
MarM 302,superalloy,1023,0.45
MarM 302,superalloy,1223,0.16
TiAl Single Crystal,superalloy,303,0.71
TiAl Single Crystal,superalloy,873,0.66
TiAl Single Crystal,superalloy,973,0.61
TiAl Single Crystal,superalloy,1173,0.62
TiAl Single Crystal,superalloy,1273,0.24
MarM 247,superalloy,303,0.82
MarM 247,superalloy,923,0.86
MarM 247,superalloy,1023,0.86
MarM 247,superalloy,1123,0.54
MarM 247,superalloy,1223,0.35
WTaMoNb,refractory_alloy,303,1.04
WTaMoNb,refractory_alloy,873,0.56
WTaMoNb,refractory_alloy,1073,0.55
WTaMoNb,refractory_alloy,1273,0.54
Inconel 718,superalloy,369,1.17
Inconel 718,superalloy,482,1.12
Inconel 718,superalloy,593,1.10
Inconel 718,superalloy,702,1.08
Inconel 718,superalloy,817,1.07
Inconel 718,superalloy,927,1.04
Inconel 718,superalloy,1036,0.76
Inconel 718,superalloy,1091,0.55
Inconel 718,superalloy,1150,0.31
Inconel 718,superalloy,1255,0.14
Co30Ni4Ti,superalloy,303,0.78
Co30Ni4Ti,superalloy,843,0.80
Co30Ni4Ti,superalloy,943,0.87
Co30Ni4Ti,superalloy,1043,0.75
Co30Ni4Ti,superalloy,1143,0.55
Au-based BMG,bmg,303,1.25
Au-based BMG,bmg,370,1.30
Au-based BMG,bmg,380,1.34
Au-based BMG,bmg,385,1.19
Au-based BMG,bmg,390,0.53
Au-based BMG,bmg,400,0.13
Zr-based BMG,bmg,303,1.88
Zr-based BMG,bmg,375,1.81
Zr-based BMG,bmg,430,1.77
Zr-based BMG,bmg,475,1.65
Zr-based BMG,bmg,525,1.65
Zr-based BMG,bmg,580,1.48
Zr-based BMG,bmg,600,0.96
Zr-based BMG,bmg,610,0.73
Zr-based BMG,bmg,615,0.60
Zr-based BMG,bmg,635,0.22
Ir-based BMG,bmg,303,5.11
Ir-based BMG,bmg,580,4.83
Ir-based BMG,bmg,810,4.09
Ir-based BMG,bmg,930,3.58
Ir-based BMG,bmg,990,3.58
Ir-based BMG,bmg,1040,3.70
Ir-based BMG,bmg,1085,2.44
Ir-based BMG,bmg,1160,0.98
Co-based BMG,bmg,303,5.11
Co-based BMG,bmg,473,5.17
Co-based BMG,bmg,623,5.11
Co-based BMG,bmg,653,5.14
Co-based BMG,bmg,688,5.29
Co-based BMG,bmg,723,4.61
Co-based BMG,bmg,773,4.01
Co-based BMG,bmg,823,3.02
Co-based BMG,bmg,863,2.24
Co-based BMG,bmg,873,1.61
OsCo-based BMG,bmg,303,6.01
OsCo-based BMG,bmg,473,6.01
OsCo-based BMG,bmg,673,5.26
OsCo-based BMG,bmg,873,4.09
OsCo-based BMG,bmg,973,2.27
OsCo-based BMG,bmg,1000,1.49
TiZrHfNbTa,refractory_alloy,303,0.92
TiZrHfNbTa,refractory_alloy,873,0.67
TiZrHfNbTa,refractory_alloy,1073,0.54
TiZrHfNbTa,refractory_alloy,1273,0.30
Re-based BMG (This work),this_work,303,6.43
Re-based BMG (This work),this_work,600,6.10
Re-based BMG (This work),this_work,800,4.46
Re-based BMG (This work),this_work,900,4.40
Re-based BMG (This work),this_work,1000,2.06
