agua,ciclo,replica,capacidad_normalizada
Piscina,1,1,1.01817
Lago,1,1,1.01831
Río,1,1,1.02267
Costa,1,1,1.01937
Piscina,1,2,1.02651
Lago,1,2,1.01078
Río,1,2,1.02508
Costa,1,2,1.01428
Piscina,1,3,1.02269
Lago,1,3,1.01141
Río,1,3,1.0218
Costa,1,3,1.01216
Piscina,2,1,1.01819
Lago,2,1,1.01933
Río,2,1,1.02339
Costa,2,1,1.01547
Piscina,2,2,1.01569
Lago,2,2,1.00867
Río,2,2,0.99937
Costa,2,2,1.01683
Piscina,2,3,1.0098
Lago,2,3,1.01847
Río,2,3,1.01851
Costa,2,3,1.01822
Piscina,3,1,1.01928
Lago,3,1,1.02114
Río,3,1,1.01414
Costa,3,1,1.01884
Piscina,3,2,1.00858
Lago,3,2,1.01781
Río,3,2,0.98294
Costa,3,2,1.01712
Piscina,3,3,1.01773
Lago,3,3,1.0166
Río,3,3,1.01425
Costa,3,3,1.01703
Piscina,4,1,1.00299
Lago,4,1,1.00995
Río,4,1,1.0045
Costa,4,1,1.00991
Piscina,4,2,1.02553
Lago,4,2,1.01263
Río,4,2,1.0296
Costa,4,2,1.01183
Piscina,4,3,1.0029
Lago,4,3,1.00723
Río,4,3,1.00144
Costa,4,3,1.00328
Piscina,5,1,0.99807
Lago,5,1,1.0042
Río,5,1,1.02586
Costa,5,1,1.01398
Piscina,5,2,0.98747
Lago,5,2,1.0058
Río,5,2,1.02705
Costa,5,2,1.01089
Piscina,5,3,1.00165
Lago,5,3,1.00988
Río,5,3,1.02753
Costa,5,3,1.01781
