muestra,anio,tratamiento,args_total_cov
X10_10N,2010,Calentamiento,621.65
X10_16N,2010,Calentamiento,736.03
X10_19N,2010,Control,628.76
X10_1N,2010,Calentamiento,739.61
X10_20N,2010,Calentamiento,621.37
X10_23N,2010,Control,523.44
X10_3N,2010,Control,620.32
X10_6N,2010,Control,608.27
X11_10N,2011,Calentamiento,698.67
X11_16N,2011,Calentamiento,1013.97
X11_19N,2011,Control,806.53
X11_1N,2011,Calentamiento,1001.3
X11_20N,2011,Calentamiento,988.85
X11_23N,2011,Control,789.87
X11_3N,2011,Control,686.37
X11_6N,2011,Control,765.85
X12_10N,2012,Calentamiento,692.25
X12_16N,2012,Calentamiento,823.23
X12_19N,2012,Control,684.52
X12_1N,2012,Calentamiento,767.51
X12_20N,2012,Calentamiento,831.75
X12_23N,2012,Control,736.73
X12_3N,2012,Control,821.91
X12_6N,2012,Control,782.88
X13_10N,2013,Calentamiento,760.04
X13_16N,2013,Calentamiento,927.28
X13_19N,2013,Control,618.97
X13_1N,2013,Calentamiento,755.51
X13_20N,2013,Calentamiento,682.96
X13_23N,2013,Control,730.35
X13_3N,2013,Control,782.9
X13_6N,2013,Control,821.26
X14_10N,2014,Calentamiento,765.74
X14_16N,2014,Calentamiento,1067.51
X14_19N,2014,Control,702.49
X14_1N,2014,Calentamiento,879.54
X14_20N,2014,Calentamiento,972.45
X14_23N,2014,Control,684.76
X14_3N,2014,Control,749.37
X14_6N,2014,Control,450.11
X15_10N,2015,Calentamiento,752.83
X15_16N,2015,Calentamiento,957.15
X15_19N,2015,Control,622.91
X15_1N,2015,Calentamiento,791.63
X15_20N,2015,Calentamiento,675.26
X15_23N,2015,Control,599.79
X15_3N,2015,Control,443.0
X15_6N,2015,Control,462.25
X16_10N,2016,Calentamiento,984.27
X16_16N,2016,Calentamiento,1279.55
X16_19N,2016,Control,996.78
X16_1N,2016,Calentamiento,1256.32
X16_20N,2016,Calentamiento,967.02
X16_23N,2016,Control,829.59
X16_3N,2016,Control,566.68
X16_6N,2016,Control,815.96
X17_10N,2017,Calentamiento,1565.28
X17_16N,2017,Calentamiento,1617.6
X17_19N,2017,Control,1353.4
X17_1N,2017,Calentamiento,1701.49
X17_20N,2017,Calentamiento,2580.22
X17_23N,2017,Control,1230.42
X17_3N,2017,Control,6120.8
X17_6N,2017,Control,1418.77
X18_10N,2018,Calentamiento,1849.89
X18_16N,2018,Calentamiento,1960.42
X18_19N,2018,Control,1548.16
X18_1N,2018,Calentamiento,1859.29
X18_20N,2018,Calentamiento,1420.92
X18_23N,2018,Control,1896.4
X18_3N,2018,Control,1705.34
X18_6N,2018,Control,1616.44
X19_10N,2019,Calentamiento,1615.65
X19_19N,2019,Control,1446.21
X19_1N,2019,Calentamiento,2466.34
X19_20N,2019,Calentamiento,1878.65
X19_23N,2019,Control,1557.95
X19_3N,2019,Control,1274.31
X19_6N,2019,Control,1810.03
X20_10N,2020,Calentamiento,1600.62
X20_16N,2020,Calentamiento,1699.7
X20_19N,2020,Control,1469.14
X20_1N,2020,Calentamiento,1936.92
X20_20N,2020,Calentamiento,1725.75
X20_23N,2020,Control,1460.86
X20_3N,2020,Control,1558.06
X20_6N,2020,Control,1357.29
X19_16N,2019,Calentamiento,24601.43
