anio,tratamiento,mediana,media,n_muestras
2010,Calentamiento,678.8399999999999,679.665,4
2010,Control,614.2950000000001,595.1975,4
2011,Calentamiento,995.075,925.6975,4
2011,Control,777.86,762.155,4
2012,Calentamiento,795.37,778.685,4
2012,Control,759.8050000000001,756.51,4
2013,Calentamiento,757.775,781.4475,4
2013,Control,756.625,738.37,4
2014,Calentamiento,925.995,921.31,4
2014,Control,693.625,646.6825,4
2015,Calentamiento,772.23,794.2175,4
2015,Control,531.02,531.9875,4
2016,Calentamiento,1120.295,1121.79,4
2016,Control,822.7750000000001,802.2525,4
2017,Calentamiento,1659.545,1866.1475,4
2017,Control,1386.085,2530.8475,4
2018,Calentamiento,1854.5900000000001,1772.63,4
2018,Control,1660.8899999999999,1691.585,4
2019,Calentamiento,2172.495,7640.5175,4
2019,Control,1502.08,1522.125,4
2020,Calentamiento,1712.725,1740.7475,4
2020,Control,1465.0,1461.3375,4
