vesicle_id,area_um2
vesicle_1,0.079
vesicle_2,0.343
vesicle_3,0.396
vesicle_4,0.29
vesicle_5,0.117
vesicle_6,0.153
vesicle_7,0.035
vesicle_8,0.552
vesicle_9,0.153
vesicle_10,0.423
vesicle_11,0.047
vesicle_12,0.047
vesicle_13,0.164
vesicle_14,0.082
vesicle_15,0.07
vesicle_16,0.07
vesicle_17,0.094
vesicle_18,0.035
vesicle_19,0.035
vesicle_20,0.035
vesicle_21,0.188
vesicle_22,0.516
vesicle_23,0.035
vesicle_24,0.07
vesicle_25,0.082
vesicle_26,0.035
vesicle_27,0.129
vesicle_28,0.153
vesicle_29,0.329
vesicle_30,0.035
vesicle_31,0.035
vesicle_32,0.082
vesicle_33,0.164
vesicle_34,0.047
vesicle_35,0.035
vesicle_36,0.035
vesicle_37,0.059
vesicle_38,0.399
vesicle_39,0.047
vesicle_40,0.176
vesicle_41,0.235
vesicle_42,0.047
vesicle_43,0.282
vesicle_44,0.07
vesicle_45,0.059
vesicle_46,0.117
vesicle_47,0.059
vesicle_48,0.082
vesicle_49,0.129
vesicle_50,0.035
vesicle_51,0.035
vesicle_52,0.082
vesicle_53,0.317
vesicle_54,0.211
vesicle_55,0.106
vesicle_56,0.129
vesicle_57,0.106
vesicle_58,0.246
vesicle_59,0.035
vesicle_60,0.094
vesicle_61,0.317
vesicle_62,0.07
vesicle_63,0.27
vesicle_64,0.329
vesicle_65,0.34
vesicle_66,0.082
vesicle_67,0.035
vesicle_68,0.094
vesicle_69,0.188
vesicle_70,0.082
vesicle_71,0.176
vesicle_72,0.047
vesicle_73,0.305
vesicle_74,0.258
vesicle_75,0.035
vesicle_76,0.07
vesicle_77,0.153
