mark,zygote_type,rel_intensity
H3K4me3,2PN,0.915066404
H3K4me3,1PN,0.219492673
H3K27me3,2PN,0.837723586
H3K27me3,1PN,0.73324492
H3K9me3,2PN,0.882570028
H3K9me3,1PN,0.795693361
H3K4me3,2PN,1.128227443
H3K4me3,1PN,0.920363854
H3K27me3,2PN,1.5541744
H3K27me3,1PN,0.8343399
H3K9me3,2PN,0.8692882
H3K9me3,1PN,0.5844025
H3K4me3,2PN,0.952633635
H3K4me3,1PN,0.887078717
H3K27me3,2PN,0.9802557
H3K27me3,1PN,0.5385076
H3K9me3,2PN,1.3111065
H3K9me3,1PN,0.8836004
H3K4me3,2PN,0.467237
H3K4me3,1PN,0.7230249
H3K27me3,2PN,1.6348738
H3K27me3,1PN,0.7136064
H3K9me3,2PN,0.8284542
H3K9me3,1PN,0.7683584
H3K4me3,2PN,0.7521841
H3K4me3,1PN,0.9634518
H3K27me3,2PN,1.0380387
H3K27me3,1PN,0.7805405
H3K9me3,2PN,1.1085811
H3K9me3,1PN,0.7108876
H3K4me3,2PN,1.292148218
H3K4me3,1PN,1.371103374
H3K27me3,2PN,1.3927292
H3K27me3,1PN,0.7028348
H3K9me3,2PN,1.0041316
H3K9me3,1PN,1.329968589
H3K4me3,2PN,0.8725109
H3K4me3,1PN,0.6272287
H3K27me3,2PN,1.2141696
H3K27me3,1PN,0.4866571
H3K9me3,2PN,0.9731674
H3K9me3,1PN,1.0373044
H3K4me3,2PN,1.11156158
H3K4me3,1PN,0.559625709
H3K27me3,2PN,0.8039264
H3K27me3,1PN,0.6552894
H3K9me3,2PN,0.9649625
H3K9me3,1PN,1.1686524
H3K4me3,2PN,0.7603933
H3K4me3,1PN,0.5820365
H3K27me3,2PN,0.9935422
H3K27me3,1PN,0.5131921
H3K9me3,2PN,0.8971432
H3K9me3,1PN,0.6152302
H3K4me3,2PN,1.1934687
H3K4me3,1PN,0.905245
H3K27me3,2PN,1.0419556
H3K27me3,1PN,0.4856691
H3K9me3,2PN,0.6970713
H3K9me3,1PN,0.6254566
H3K4me3,2PN,1.163102
H3K4me3,1PN,0.7474686
H3K27me3,2PN,0.8084201
H3K27me3,1PN,0.5562984
H3K9me3,2PN,0.7951519
H3K9me3,1PN,1.1006793
H3K4me3,2PN,0.7835777
H3K4me3,1PN,0.5961143
H3K27me3,2PN,0.9530672
H3K27me3,1PN,0.4894777
H3K9me3,2PN,1.4992032
H3K9me3,1PN,0.7458459
H3K4me3,2PN,1.3245662
H3K4me3,1PN,0.8236704
H3K27me3,2PN,1.2641273
H3K27me3,1PN,0.4898663
H3K9me3,2PN,1.169168831
H3K9me3,1PN,0.7638737
H3K4me3,2PN,1.283322773
H3K4me3,1PN,1.434161238
H3K27me3,2PN,0.801785
H3K27me3,1PN,0.3545984
H3K9me3,2PN,1.0506753
H3K9me3,1PN,0.6868802
H3K4me3,2PN,0.918668436
H3K4me3,1PN,0.999616068
H3K27me3,2PN,1.2698964
H3K27me3,1PN,0.5746481
H3K9me3,2PN,0.6586968
H3K9me3,1PN,0.920420042
H3K4me3,2PN,0.8408126
H3K4me3,1PN,0.8634766
H3K27me3,2PN,0.4926079
H3K27me3,1PN,0.8024873
H3K9me3,2PN,1.1904794
H3K9me3,1PN,0.7086326
H3K4me3,2PN,0.8694998
H3K4me3,1PN,0.9181949
H3K27me3,2PN,0.744391
H3K27me3,1PN,0.5621601
H3K9me3,2PN,0.8303624
H3K9me3,1PN,1.0554359
H3K4me3,2PN,1.5598772
H3K27me3,2PN,0.8706154
H3K27me3,1PN,0.7239519
H3K9me3,2PN,0.7790212
H3K9me3,1PN,1.11796
H3K4me3,2PN,0.8113169
H3K27me3,2PN,0.61634259
H3K27me3,1PN,0.5412355
H3K9me3,2PN,1.1547943
H3K4me3,2PN,1.3372154
H3K27me3,2PN,0.68735792
H3K27me3,1PN,0.61129975
H3K9me3,2PN,0.5873745
H3K4me3,2PN,1.0051901
H3K27me3,2PN,1.41445479
H3K27me3,1PN,0.29606726
H3K9me3,2PN,1.0415453
H3K4me3,2PN,0.7573072
H3K27me3,2PN,1.470200521
H3K27me3,1PN,0.58011249
H3K9me3,2PN,1.1358078
H3K4me3,2PN,0.9838574
H3K27me3,2PN,1.2123046
H3K27me3,1PN,0.4979416
H3K9me3,2PN,1.8309987
H3K4me3,2PN,0.916255
H3K27me3,2PN,1.0608091
H3K27me3,1PN,0.6642328
H3K9me3,2PN,1.0257603
H3K4me3,2PN,0.7254925
H3K27me3,2PN,0.9530447
H3K27me3,1PN,0.5986095
H3K9me3,2PN,0.714483896
H3K4me3,2PN,0.8350749
H3K27me3,2PN,1.0963087
H3K27me3,1PN,0.5351459
H3K9me3,2PN,1.090268
H3K4me3,2PN,1.1122275
H3K27me3,2PN,1.1914138
H3K27me3,1PN,0.6033604
H3K9me3,2PN,1.8225428
H3K4me3,2PN,1.3762941
H3K27me3,2PN,1.1001339
H3K27me3,1PN,0.8333384
H3K9me3,2PN,0.6370331
H3K4me3,2PN,0.7667577
H3K27me3,2PN,1.1010006
H3K27me3,1PN,0.6526449
H3K9me3,2PN,0.5845684
H3K4me3,2PN,1.2600897
H3K27me3,2PN,0.737192
H3K27me3,1PN,0.7158111
H3K9me3,2PN,2.1682135
H3K4me3,2PN,0.9040062
H3K27me3,2PN,0.7486855
H3K9me3,2PN,0.9598657
H3K4me3,2PN,1.0200573
H3K27me3,2PN,0.7399914
H3K9me3,2PN,1.0799711
H3K27me3,2PN,0.9104885
H3K9me3,2PN,1.4305161
H3K27me3,2PN,0.6996788
H3K9me3,2PN,1.2169924
H3K27me3,2PN,0.5642929
H3K9me3,2PN,1.2354479
H3K27me3,2PN,0.5221284
H3K9me3,2PN,0.623432
H3K27me3,2PN,0.8236235
H3K9me3,2PN,1.3568103
H3K27me3,2PN,0.6373737
H3K9me3,2PN,0.7298434
H3K27me3,2PN,0.8489089
H3K9me3,2PN,1.0033602
H3K27me3,2PN,1.3401982
H3K9me3,2PN,0.4653441
H3K27me3,2PN,1.4554644
H3K9me3,2PN,0.4856341
H3K27me3,2PN,1.3019319
H3K9me3,2PN,0.9751474
H3K27me3,2PN,0.8570352
H3K9me3,2PN,0.704319
H3K27me3,2PN,0.8545766
H3K9me3,2PN,1.0297395
H3K27me3,2PN,1.05883
H3K9me3,2PN,0.5625815
H3K27me3,2PN,0.9704461
H3K9me3,2PN,0.838369668
H3K27me3,2PN,1.329483062
