experiment_batch,developmental_stage,zygote_type,successful,total,rate
1,2cell,2PN,55,56,0.9821428571428571
1,2cell,1PN,15,15,1.0
1,2cell,P1PN,11,12,0.9166666666666666
1,full_term,2PN,16,33,0.48484848484848486
1,full_term,1PN,10,15,0.6666666666666666
1,full_term,P1PN,4,11,0.36363636363636365
2,2cell,2PN,35,35,1.0
2,2cell,1PN,7,7,1.0
2,2cell,P1PN,13,13,1.0
2,full_term,2PN,26,35,0.7428571428571429
2,full_term,1PN,4,7,0.5714285714285714
2,full_term,P1PN,5,10,0.5
3,2cell,2PN,70,74,0.9459459459459459
3,2cell,1PN,17,19,0.8947368421052632
3,2cell,P1PN,15,18,0.8333333333333334
3,full_term,2PN,38,70,0.5428571428571428
3,full_term,1PN,1,17,0.058823529411764705
3,full_term,P1PN,3,7,0.42857142857142855
4,2cell,2PN,33,33,1.0
4,2cell,1PN,19,19,1.0
4,2cell,P1PN,30,39,0.7692307692307693
4,full_term,2PN,11,26,0.4230769230769231
4,full_term,1PN,0,19,0.0
4,full_term,P1PN,8,20,0.4
5,2cell,2PN,10,10,1.0
5,2cell,1PN,5,5,1.0
5,2cell,P1PN,38,49,0.7755102040816326
5,full_term,2PN,6,10,0.6
5,full_term,1PN,3,5,0.6
5,full_term,P1PN,4,10,0.4
6,2cell,2PN,10,10,1.0
6,2cell,1PN,5,5,1.0
6,2cell,P1PN,18,21,0.8571428571428571
6,full_term,2PN,5,10,0.5
6,full_term,1PN,0,5,0.0
6,full_term,P1PN,3,4,0.75
7,2cell,2PN,10,10,1.0
7,2cell,1PN,11,11,1.0
7,2cell,P1PN,54,59,0.9152542372881356
7,full_term,2PN,5,10,0.5
7,full_term,1PN,3,11,0.2727272727272727
7,full_term,P1PN,15,40,0.375
8,2cell,2PN,12,12,1.0
8,full_term,2PN,6,12,0.5
9,2cell,2PN,8,8,1.0
9,full_term,2PN,3,8,0.375
10,2cell,2PN,15,15,1.0
10,full_term,2PN,5,10,0.5
11,2cell,2PN,8,8,1.0
11,full_term,2PN,6,8,0.75
