model_name,epoch,mean,sem
llama-70b,0.0,0.011170097079277,0.0006374801911071
llama-70b,0.5,0.0127644308535257,0.0006880130153169
llama-70b,1.0,0.0143413423931598,0.0006917761632026
llama-70b,1.5,0.0262555569247404,0.0006335809691147
llama-70b,2.0,0.0291365914408365,0.0005552319080174
llama-70b,4.0,0.0286296188227335,0.0005454166792218
llama-70b,6.0,0.0276694514664013,0.0005453099474391
llama-70b,8.0,0.0287513906494776,0.000530162623456
llama-70b,10.0,0.0295787164282798,0.0005490619699285
llama-8b,0.0,0.0119536811772982,0.0005929809174074
llama-8b,0.5,0.0144323107616106,0.0006204990130486
llama-8b,1.0,0.0240906079451242,0.0006029311656896
llama-8b,1.5,0.0276436020052432,0.0005718125527416
llama-8b,2.0,0.0280005907734234,0.0005685920195176
llama-8b,4.0,0.028942979320685,0.000528053484868
llama-8b,6.0,0.0291798522456486,0.0005201113756711
llama-8b,8.0,0.0264009471575418,0.0005601992750298
llama-8b,10.0,0.0271878905081748,0.0005373177014487
gpt-4o,0.0,0.0131855880379676,0.0006331322466056
gpt-4o,1.0,0.0293596347757179,0.0005975212151499
gpt-4o,2.0,0.0286725047071774,0.0006341708353648
gpt-4o,6.0,0.0261294098679224,0.0005936747687357
gpt-4o,10.0,0.028176666612625,0.0005917881287923
mistral-small,0.0,0.0122871956086158,0.0005685505050582
mistral-small,0.5,0.0232744857108592,0.0006100529681376
mistral-small,1.0,0.0254412126962343,0.0005647901132013
mistral-small,1.5,0.0258624637778599,0.0005754708520321
mistral-small,2.0,0.0287210278566678,0.0005987679142484
mistral-small,4.0,0.028686475021243,0.0005275249118972
mistral-small,6.0,0.0262726342598596,0.0005556946771256
mistral-small,8.0,0.0281306768226623,0.0005621535849273
mistral-small,10.0,0.0281784256641069,0.0005505743695722
qwen-32b,0.0,0.0109501548699537,0.0006233206891295
qwen-32b,0.5,0.0141075872715314,0.0006233254202568
qwen-32b,1.0,0.0270098822553952,0.0006292458422987
qwen-32b,1.5,0.0292334343059857,0.0006110629855829
qwen-32b,2.0,0.0273762588858604,0.0006217345692145
qwen-32b,4.0,0.0284896598768233,0.0006114893726257
qwen-32b,6.0,0.0316992716995874,0.0006189679273488
qwen-32b,8.0,0.0316448498821258,0.0006189899932456
qwen-32b,10.0,0.0326986279392242,0.0006519303520916
