ID,RA,DEC,zphot,MUV,drop_out
40037,53.082112,-27.842080,9.17,-17.2,F115W
976,53.058322,-27.884859,8.86,-20.2,F115W
3847,53.054154,-27.893572,8.72,-18.8,F115W
4324,53.050479,-27.876496,9.34,-18.4,F115W
6021,53.072481,-27.855353,10.19,-17.2,F115W
7130,53.030788,-27.897387,8.91,-18.0,F115W
7336,53.097493,-27.856774,9.23,-18.1,F115W
7681,53.074783,-27.844886,9.48,-18.0,F115W
7855,53.092072,-27.852781,9.81,-17.8,F115W
7888,53.067758,-27.864550,9.19,-18.3,F115W
8312,53.052493,-27.890993,10.38,-18.5,F115W
8325,53.097476,-27.856986,9.84,-18.7,F115W
8513,53.016536,-27.881945,10.17,-18.4,F115W
8550,53.083273,-27.872176,9.19,-17.4,F115W
8928,53.048874,-27.890448,9.73,-17.8,F115W
9044,53.085365,-27.850469,9.80,-17.8,F115W
9147,53.025232,-27.875202,9.38,-17.9,F115W
9259,53.058743,-27.885740,10.04,-17.2,F115W
9394,53.076075,-27.856023,10.27,-18.2,F115W
9498,53.023569,-27.879833,9.32,-17.8,F115W
9656,53.028783,-27.903229,9.42,-17.1,F115W
9779,53.049118,-27.876353,9.36,-17.7,F115W
9837,53.074763,-27.845422,9.67,-17.9,F115W
9927,53.033006,-27.871103,10.96,-17.4,F115W
9964,53.054224,-27.897382,10.26,-17.5,F115W
10119,53.079006,-27.863592,9.83,-17.4,F115W
10360,53.014799,-27.885428,8.94,-17.3,F115W
10428,53.060060,-27.891430,11.25,-17.9,F115W
10435,53.039625,-27.905555,9.28,-16.8,F115W
10464,53.098716,-27.860203,10.13,-17.8,F115W
10750,53.060203,-27.856259,9.83,-17.9,F115W
10760,53.039343,-27.872243,9.31,-17.0,F115W
10818,53.047650,-27.871382,9.77,-16.4,F115W
10835,53.072061,-27.841734,10.65,-17.2,F115W
10862,53.041130,-27.866054,9.15,-17.5,F115W
10926,53.039794,-27.906905,9.02,-16.9,F115W
10967,53.082847,-27.872647,10.75,-17.6,F115W
11076,53.048577,-27.888751,9.15,-17.2,F115W
11125,53.055733,-27.879239,10.61,-17.1,F115W
11326,53.041181,-27.864073,9.51,-17.2,F115W
11388,53.038105,-27.871414,9.31,-16.8,F115W
11402,53.038260,-27.872068,9.23,-17.4,F115W
11422,53.102865,-27.864197,10.49,-17.1,F115W
11452,53.085027,-27.874119,9.11,-16.4,F115W
11469,53.104561,-27.858701,10.84,-17.8,F115W
11516,53.052859,-27.892494,10.95,-18.1,F115W
11528,53.056808,-27.888986,9.74,-17.4,F115W
11572,53.031709,-27.903482,9.77,-17.1,F115W
11651,53.088960,-27.856506,9.00,-17.0,F115W
11698,53.052051,-27.879842,9.95,-16.8,F115W
11751,53.070893,-27.861733,10.01,-17.5,F115W
11790,53.070178,-27.858698,9.28,-17.3,F115W
11803,53.048739,-27.872818,10.59,-17.2,F115W
11819,53.033259,-27.882427,9.19,-16.5,F115W
11820,53.090747,-27.841356,10.03,-17.3,F115W
12070,53.034313,-27.906936,9.32,-17.1,F115W
12071,53.093087,-27.864537,9.16,-17.0,F115W
12123,53.059207,-27.885921,9.07,-17.1,F115W
12157,53.093087,-27.858781,9.32,-16.6,F115W
12175,53.031184,-27.901435,11.01,-17.4,F115W
12192,53.081005,-27.864859,9.12,-17.1,F115W
12271,53.034823,-27.892532,9.38,-17.0,F115W
12284,53.051485,-27.880150,9.76,-17.2,F115W
12400,53.076871,-27.853625,9.70,-17.1,F115W
12472,53.039067,-27.865064,9.26,-17.5,F115W
12492,53.031390,-27.872194,10.70,-17.4,F115W
12517,53.067973,-27.847511,10.10,-16.8,F115W
12520,53.072934,-27.844141,9.00,-16.2,F115W
12565,53.068289,-27.851329,9.58,-17.1,F115W
12791,53.025016,-27.899148,10.26,-17.0,F115W
12841,53.047352,-27.876659,10.02,-17.3,F115W
12848,53.085481,-27.848626,9.44,-16.8,F115W
12849,53.076229,-27.855053,10.49,-16.7,F115W
13115,53.089261,-27.862192,10.99,-17.3,F115W
13163,53.055651,-27.880432,9.35,-17.0,F115W
13180,53.075771,-27.863516,8.85,-17.3,F115W
13300,53.063242,-27.859205,9.00,-16.4,F115W
13314,53.063170,-27.850342,9.61,-16.5,F115W
13333,53.075889,-27.842700,10.14,-16.6,F115W
13344,53.063769,-27.852484,10.72,-17.3,F115W
13347,53.019686,-27.884420,9.29,-16.7,F115W
13489,53.043714,-27.898116,9.56,-16.6,F115W
13582,53.031764,-27.895955,9.36,-17.2,F115W
13645,53.046071,-27.879354,9.59,-16.6,F115W
13699,53.072766,-27.852096,9.85,-17.2,F115W
13730,53.063157,-27.852532,9.30,-16.5,F115W
13885,53.032910,-27.908439,9.26,-16.6,F115W
13914,53.101318,-27.856959,9.85,-16.9,F115W
13951,53.054871,-27.886090,10.66,-16.7,F115W
13978,53.088213,-27.859326,9.25,-16.7,F115W
13983,53.057599,-27.880560,9.47,-16.9,F115W
14008,53.044514,-27.886452,8.99,-16.9,F115W
14106,53.042201,-27.876426,9.15,-17.1,F115W
14158,53.060974,-27.854266,9.00,-16.4,F115W
14171,53.021715,-27.883518,9.55,-16.9,F115W
14459,53.055481,-27.882068,9.04,-17.0,F115W
14509,53.027725,-27.898277,9.00,-16.7,F115W
14666,53.033950,-27.874980,9.28,-16.3,F115W
14883,53.103240,-27.855974,9.47,-17.1,F115W
14918,53.057570,-27.886501,10.26,-16.6,F115W
14944,53.048647,-27.890656,9.72,-16.4,F115W
15101,53.092912,-27.846070,10.61,-17.4,F115W
15152,53.024202,-27.889315,9.92,-16.7,F115W
15347,53.060493,-27.856172,9.46,-16.6,F115W
15355,53.041968,-27.868206,9.14,-16.5,F115W
15634,53.050817,-27.885667,9.74,-16.8,F115W
15660,53.100503,-27.849021,9.30,-16.3,F115W
16023,53.059426,-27.854761,9.27,-16.6,F115W
16037,53.038720,-27.871565,10.29,-16.5,F115W
16056,53.029997,-27.878509,9.05,-17.1,F115W
16057,53.042712,-27.869748,9.24,-16.3,F115W
16196,53.051223,-27.897506,9.16,-16.6,F115W
16289,53.032589,-27.905758,9.44,-15.7,F115W
16439,53.033681,-27.894577,9.50,-16.7,F115W
16452,53.031858,-27.895427,10.83,-16.4,F115W
16474,53.026999,-27.898086,11.16,-16.9,F115W
