Experiment,Event,Syy [MPa],Syy error [MPa],Sxy [MPa],Sxy error [MPa],Lc [m],Lc error [m],A0 [m/sec^2],tc [sec],tc error [sec],A0 error [m/sec^2],slip nucleation [micron],slip nucleation error [micron,slip foreshock [micron],slip foreshock error [micron],Vmin [m/sec],Vmin error [m/sec]
'Nuc_100bar_FullStop_B',1,0.559952234,0.031781209,1.073569829,0.008518222,0.013907324,0.000579472,338.4279992,0.022674468,4.37E-05,20.64193139,4.41E-06,3.90E-07,4.17E-07,1.42E-07,2.19E-05,3.31E-07
'Nuc_100bar_FullStop_B',2,0.537353121,0.037207822,1.087978024,0.016193298,0.028706142,0.006151316,1731.056233,0.014803767,0.000407,173.4488695,4.69E-06,2.52E-07,5.58E-07,2.39E-07,4.21E-05,7.04E-07
'Nuc_100bar_FullStop_B',3,0.518103358,0.026200782,1.072167109,0.017785044,0.052152463,0.000445748,1252.349386,0.053832563,4.30E-05,178.4498253,9.37E-06,4.30E-07,4.89E-07,3.09E-07,1.65E-05,1.83E-07
'Nuc_100bar_FullStop_B',5,0.566953698,0.04952812,1.098705841,0.022829927,0.030243971,0.006574776,114.3750753,0.051583291,0.0004275,8.063805045,3.06E-06,5.13E-07,8.18E-08,6.80E-07,3.81E-06,3.41E-07
'Nuc_100bar_FullStop_B',6,0.588409134,0.045452655,1.156049012,0.018532019,0.002216002,0,2518.817153,0.016571795,0,252.2823453,1.38E-06,1.73E-06,8.26E-07,9.44E-07,-4.62E-06,3.28E-06
'Nuc_100bar_TopStop_B',10,0.702592012,0.035131805,1.117510175,0.017281883,0.053594777,0.012102046,895.6660537,0.040841928,0.00115675,97.16101863,4.24E-06,1.13E-06,3.04E-07,9.81E-07,-5.83E-06,7.81E-07
'Nuc_100bar_TopStop_B',11,0.63098961,0.020205121,1.1380174,0.005589898,0.054976591,0.015960946,957.3893293,0.034619825,0.00114875,98.99406397,1.80E-06,1.94E-06,6.52E-07,1.39E-06,-8.03E-06,1.44E-06
'Nuc_100bar_TopStop_B',1,0.643266061,0.089215354,1.017318086,0.009895545,0.005196143,0.000305655,2278.748376,0.005003392,1.83E-05,298.1210345,8.26E-07,6.40E-07,1.62E-07,2.48E-07,-6.33E-06,8.22E-06
'Nuc_100bar_TopStop_B',2,0.682272937,0.006073846,0.965119279,0.02382008,0.031581213,0.003123417,1308.236053,0.021323684,0.00021375,121.6608163,4.14E-06,4.47E-07,1.60E-07,5.07E-07,2.84E-06,6.94E-07
'Nuc_100bar_TopStop_B',3,0.698774828,0.026404598,0.994712158,0.008743505,0.029069108,0.009456216,1738.968967,0.026754414,0.0012485,191.3673036,2.55E-06,5.12E-07,4.11E-07,1.33E-07,1.14E-05,4.00E-07
'Nuc_100bar_TopStop_B',5,0.6984057,0.058953276,1.150225326,0.01998765,0.007362795,0.000883535,3992.659199,0.001133205,7.47E-05,391.5108019,1.68E-06,3.76E-07,1.52E-06,3.58E-07,0.000532671,5.47E-05
'Nuc_100bar_TopStop_B',6,0.684467495,0.020267439,1.103971803,0.016206579,0.02010003,0.005110177,661.5802078,0.007243577,0.00037825,90.72371557,1.91E-06,2.29E-07,2.28E-07,1.81E-07,5.28E-05,1.81E-06
'Nuc_100bar_TopStop_B',7,0.645889992,0.024108298,1.077376426,0.005255612,0.017442198,0.002907033,1658.500445,0.020129536,0.000235,176.0296759,4.70E-06,2.59E-07,6.58E-07,1.58E-07,1.75E-05,4.60E-07
'Nuc_100bar_TopStop_B',8,0.700591002,0.027475637,1.108824121,0.007060659,0.027793953,0.004573688,616.4445784,0.017226089,0.0003525,99.81051958,3.47E-06,4.57E-07,1.25E-07,2.27E-07,1.49E-05,6.18E-07
'Nuc_100bar_TopStop_B',9,0.692730831,0.028018061,1.160891284,0.022585025,0.014585496,0.001620611,2455.052385,0.006832159,0.000135,229.0105873,2.90E-06,4.25E-07,7.87E-07,3.77E-07,7.66E-05,3.53E-06
'Nuc_150bar_FullStop_B',1,2.693508737,0.055648516,1.515962106,0.010485554,0.03392139,0.008481939,1835.54568,0.015288171,0.00054775,196.5546827,7.75E-06,3.87E-07,4.54E-07,2.79E-07,5.30E-05,9.40E-07
'Nuc_150bar_FullStop_B',3,3.554360098,0.021418647,4.048343766,0.007013556,0,0,10480.03559,0,0,666.104303,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0
'Nuc_150bar_FullStop_B',4,2.721878709,0.038749924,1.607619899,0.016935912,0.030732702,0.002793882,411.9467074,0.027880489,0.00022425,49.79931035,6.27E-06,5.36E-07,4.43E-08,9.17E-07,-9.13E-06,1.64E-06
'Nuc_150bar_FullStop_B',5,2.750256472,0.024394716,1.618729626,0.025077781,0.041346271,0.020192365,646.5758072,0.034006714,0.00200125,73.43437917,7.50E-06,2.00E-06,-3.79E-07,1.44E-06,1.69E-05,1.30E-06
'Nuc_150bar_FullStop_B',6,2.820540933,0.051988628,1.628593272,0.020598013,0.045720962,0.013716288,1256.863333,0.043425038,0.00130775,65.06806794,8.80E-06,3.93E-06,3.74E-07,4.25E-06,4.22E-06,1.32E-06
'Nuc_150bar_TopStop_B',10,1.859420657,0.014554327,1.502319602,0.015348408,0.032316699,0.00646334,2234.713844,0.013679215,0.00042725,216.3610574,4.05E-06,9.39E-07,4.45E-07,4.73E-07,1.46E-05,1.07E-06
'Nuc_150bar_TopStop_B',11,1.871521701,0.021613617,1.594668477,0.012750089,0.008685709,0.002171427,3874.773736,0.003312872,0.00014875,373.0048709,1.18E-06,6.40E-07,8.60E-07,8.25E-07,7.22E-05,2.23E-05
'Nuc_150bar_TopStop_B',12,1.869561455,0.050205201,1.575572212,0.011746885,0.008042559,0.005361706,2776.925266,0.004694976,0.00468425,289.0893144,0,1.74E-06,-7.17E-06,1.68E-05,-0.000187168,6.57E-05
'Nuc_150bar_TopStop_B',2,1.822894313,0.024750752,1.447244663,0.017692348,0.017320475,0.002165059,3693.767398,0.003776919,0.00014775,438.6808801,1.94E-06,1.81E-07,9.94E-07,1.97E-07,0.000111751,5.93E-06
'Nuc_150bar_TopStop_B',3,1.816508864,0.019786753,1.430624681,0.013122942,0.011794798,0.00570716,1899.466292,0.008011204,0.00048325,225.1246647,2.44E-06,3.93E-07,6.88E-07,1.47E-07,5.81E-05,1.40E-06
'Nuc_150bar_TopStop_B',5,1.811967512,0.038110462,1.512331518,0.006124952,0.021133209,0.007044403,3756.651986,0.005463591,0.00048825,415.8918874,2.08E-06,6.07E-08,1.01E-06,1.15E-07,0.000108755,4.58E-06
'Nuc_150bar_TopStop_B',6,1.857519982,0.015872364,1.43028983,0.011744029,0.017995466,0.004498867,2308.313413,0.013056866,0.00034625,192.005382,3.51E-06,4.06E-07,7.19E-07,1.07E-07,3.75E-05,6.38E-07
'Nuc_150bar_TopStop_B',7,3.013324168,0.031254462,3.98484045,0.018648854,0,0,26649.06075,0,0,2227.590929,0,0,0,0,0,0
'Nuc_150bar_TopStop_B',9,1.871372613,0.065247656,1.612225759,0.02003631,0.006184747,0.000883535,5272.525488,0.000640058,7.90E-05,526.7499776,1.58E-06,4.20E-07,2.71E-06,3.10E-06,0.001113757,0.000222039
'Nuc_200bar_FullStop_A',1,3.921298816,0.028388609,2.112696841,0.01709961,0.054559501,0.016046912,2102.32906,0.029893379,0.0032065,321.0832387,8.96E-06,3.17E-07,4.93E-07,2.90E-07,1.99E-05,4.47E-07
'Nuc_200bar_FullStop_A',2,3.863007131,0.03866293,2.098109674,0.011492116,0.066823926,0,1216.370573,0.042994274,0,291.1805647,1.17E-05,7.80E-08,1.86E-07,4.90E-07,8.61E-06,2.46E-07
'Nuc_200bar_FullStop_A',3,3.925895642,0.046155094,2.164740321,0.014960218,0.04420542,0.003400417,1573.556008,0.046950784,0.00022375,242.9760732,1.35E-05,4.03E-07,6.36E-08,7.11E-07,6.06E-06,1.98E-07
'Nuc_200bar_FullStop_A',4,3.863428775,0.038397843,2.175796105,0.027438747,0.053830385,0.016705982,2840.553191,0.027196413,0.00151175,393.2375343,7.86E-06,9.84E-07,6.61E-07,8.28E-07,9.56E-06,5.49E-07
'Nuc_200bar_FullStop_A',5,3.891798452,0.031716821,2.271565321,0.010872235,0.011614907,0.003871636,3082.226902,0.008040049,0.00028725,269.9265304,2.11E-06,1.77E-06,5.40E-07,8.38E-07,4.60E-05,7.50E-06
'Nuc_200bar_FullStop_A',7,4.002591038,0.031943804,2.281211528,0.010521146,0.013305564,0.00380159,500.8235671,0.025226744,0.0002515,79.26624702,9.41E-07,2.29E-06,-1.88E-07,1.12E-06,5.95E-06,2.93E-06
'Nuc_200bar_TopStop_A',10,4.249572206,0.019488836,2.215347738,0.011879246,0.009233342,0.002308336,4731.960224,0.002191497,0.000173,542.0836693,2.98E-06,1.74E-07,1.50E-06,1.70E-07,0.00043634,1.58E-05
'Nuc_200bar_TopStop_A',11,4.290988388,0.037974807,2.239847947,0.012055264,0.006391702,0.003835021,4031.160398,0.002199054,0.0016535,436.5606465,1.10E-06,5.29E-07,1.09E-06,2.18E-07,0.000115364,2.30E-05
'Nuc_200bar_TopStop_A',12,4.372071911,0.026125886,2.372796116,0.014867414,0.016811051,0.00336221,4213.28269,0.005856163,0.000307,596.7340774,2.60E-06,5.64E-07,8.55E-07,4.61E-07,8.24E-05,7.30E-06
'Nuc_200bar_TopStop_A',5,0.290551547,0.029666124,1.536581976,0.002355163,0,0,5781.437969,0,0,687.4995085,0.00E+00,0.00E+00,2.46E-06,1.19E-06,0,0
'Nuc_200bar_TopStop_A',7,0.157565817,0.018827635,1.604698318,0.009185843,0.020326087,0.007488558,443.5390195,0.010855498,0.00057325,56.95897121,8.99E-07,4.60E-07,1.67E-07,2.18E-07,-2.61E-06,1.49E-06
