P_ID_NUMBER,NAME,REGION,DEPOSIT_TYPE,COMMODITY,REMAINING_RESOURCE,PRODUCTION_CAPACITY,STATUS,DISCOVERY_YEAR,START_YEAR,DEVELOPMENT_PROBABILITY,GRADE,RECOVERY,BROWNFIELD_TONNAGE_FACTOR,BROWNFIELD_GRADE_FACTOR,VALUE_NET,VALUE_RECOVERY_NET,MINE_COST_MODEL,MINE_COST_A,MINE_COST_B,MINE_COST_C,MINE_COST_D,REVENUE_MODEL,REVENUE_A,REVENUE_B,REVENUE_C,REVENUE_D,COST_MODEL,COST_A,COST_B,COST_C,COST_D,LATITUDE,LONGITUDE,TERRESTRIAL_BIODIVERSITY_CARBON_VALUE,MARINE_BIODIVERSITY_50KM_VALUE
1,Acoje,0_10,Laterite,Ni,69900000,,1,,-9999,1.0,0.0103,0.74717850218167,,,,,,,,,,,,,,,,,,,,15.71083,120.05778,10.0,0.8870169321695963
2,Aer-Kidd,30_100,Magmatic Sulphide,Ni,700623,,0,,,0.1,0.006710000000000001,0.7391421666329988,,,,,,,,,,,,,,,,,,,,46.39697,-81.42859,38.0,
3,Agata,0_10,Laterite,Ni,75571000,,1,,-9999,1.0,0.01053,0.7510176596511156,,,,,,,,,,,,,,,,,,,,9.28333,125.52944,10.0,0.9315712451934814
4,Aguablanca,30_100,Magmatic Sulphide,Ni,5325000,,0,,,0.1,0.0066,0.7378090949599357,,,,,,,,,,,,,,,,,,,,37.96111,-6.18528,41.0,
5,Ajax,10_30,Magmatic Sulphide,Ni,928182,,0,,,0.1,0.0034999999999999996,0.6866528954813061,,,,,,,,,,,,,,,,,,,,47.10386,-79.84477,27.0,
6,Al Hamurah,30_100,Magmatic Sulphide,Ni,1813998,,0,,,0.1,0.00382,0.6937086711688814,,,,,,,,,,,,,,,,,,,,13.32722,44.28306,62.0,
7,Alexo-Dundonald,10_30,Magmatic Sulphide,Ni,9291133,,0,,,0.1,0.005829999999999999,0.7278043728973504,,,,,,,,,,,,,,,,,,,,48.65369,-80.80783,18.0,
8,Alpha,0_10,Laterite,Ni,2721000,,0,,,0.1,0.013009999999999999,0.7877830754063591,,,,,,,,,,,,,,,,,,,,9.20961,118.22994,9.0,0.9371940493583679
9,Ambatovy,0_10,Laterite,Ni,254600000,,1,,-9999,1.0,0.00894,0.7225613142579089,,,,,,,,,,,,,,,,,,,,-18.8604,48.30255,7.0,0.9369558691978455
10,Americano do Brasil,10_30,Magmatic Sulphide,Ni,5000000,,1,,-9999,1.0,0.0062,0.732766890689748,,,,,,,,,,,,,,,,,,,,-16.22996,-50.05019,23.0,
11,Andover,30_100,Magmatic Sulphide,Ni,6000000,,0,,,0.1,0.0111,0.7797365308758849,,,,,,,,,,,,,,,,,,,,-20.85437,117.11804,50.0,0.9630428314208984
12,Araguaia,30_100,Laterite,Ni,205204000,,0,,,0.25,0.01252,0.7811091966823273,,,,,,,,,,,,,,,,,,,,-7.99542,-49.41298,56.0,
13,Aurora,10_30,Magmatic Sulphide,Ni,10057000,,0,,,0.1,0.0042,0.7013569467151818,,,,,,,,,,,,,,,,,,,,48.34509,-81.00002,26.0,
14,Aurora,10_30,Magmatic Sulphide,Ni,154426452,,0,,,0.1,0.00037,0.5054333632422137,,,,,,,,,,,,,,,,,,,,-23.56089,28.92318,20.0,
