event,region,river_clean,year,lat,lon,ph,cond_mscm,o2_mgl,ch4_avg_nmoll,ch4_min_nmoll,ch4_max_nmoll,d13c_pdb,dd_smow
MARCH4G_2021_NW1_GHG,NW,NW1,2021,77.719667,-69.019667,,,,0.4072062650743551,0.0,1.018219217092072,,
MARCH4G_2021_NW1_Chem,NW,NW1,2021,77.719667,-69.019667,6.9,8.0,14.7,0.83,,,,
MARCH4G_2021_NW2_GHG,NW,NW2,2021,77.71525,-68.91677,,,,13.8754664830864,8.306016063662849,19.444916902509945,,
MARCH4G_2022_NW3_GHG_a,NW,NW3,2022,72.65713,-54.0292,,,,179.69412083935097,116.77308542172354,326.81851289166923,-60.8,-284.5
MARCH4G_2022_NW3_GHG_b,NW,NW3,2022,72.65713,-54.0292,,,,351.15440381517215,,,,
MARCH4G_2022_NW4_GHG_a,NW,NW4,2022,72.35803,-53.5122,,,,62.836019780937065,50.36535098996784,81.70397359767888,-58.9,-262.2
MARCH4G_2022_NW4_GHG_b,NW,NW4,2022,72.35803,-53.5122,,,,16.089002205556724,13.983431207378134,18.19457320373532,,
MARCH4G_2022_CW1_GHG,CW,CW1,2022,69.77666,-50.32611,,,,43.247384298240256,,,,
MARCH4G_2022_CW2_GHG,CW,CW2,2022,69.7875,-50.21611,,,,3.8172555538076094,,,,
MARCH4G_2022_CW3_GHG,CW,CW3,2022,69.5775,-50.39416,,,,3.4109476880903618,,,,
MARCH4G_2021_CW4a_GHG-a,CW,CW4,2021,69.329768,-50.244147,,,,73.3105512782774,,,-62.1,-291.7
MARCH4G_2021_CW4a_GHG-b,CW,CW4,2021,69.329768,-50.244147,,,,38.17156199563971,34.8585556053365,41.48456838594293,,
MARCH4G_2021_CW4a_GHG-c,CW,CW4,2021,69.329768,-50.244147,,,,39.79858418819636,31.540244049826125,48.0569243265666,,
MARCH4G_2023_CW4b_GHG,CW,CW4,2023,69.33613,-50.23464,,,,34.425365513529485,29.514813656058568,39.3359173710004,-66.9,-290.0
MARCH4G_2022_CW4c_GHG,CW,CW4,2022,69.5369,-50.4138,,,,35.5109218375868,,,,
MARCH4G_2021_CW5_GHG,CW,CW5,2021,69.249883,-49.879465,,,,75.83559658041646,,,,
MARCH4G_2022_CW6_GHG,CW,CW6,2022,68.88638,-50.4675,,,,39.363314708072046,,,,
MARCH4G_2022_CW7_GHG,CW,CW7,2022,68.77972,-50.59417,,,,346.71239746501954,,,,
MARCH4G_2022_SW1_GHG,SW,SW1,2022,68.35416,-50.46639,,,,4229.163708245132,,,,
