Species,disp,scenario,Lat50,Ele50
Aglaia sapindina,Zoochor,5,-4.467,3.719
Chamelaucium virgatum,Zoochor,3,-2.41,6.019
Valeriana officinalis,Autochor,14,-0.675,1.128
Lemmaphyllum accedens,Anemochor,7,-11.401,4.021
Cremosperma congruens,Zoochor,5,-0.999,3.333
Pelargonium abrotanifolium,Anemochor,14,0.941,3.346
Festuca jacutica,Anemochor,11,-7.542,-8.156
Owenia acidula,Zoochor,10,3.28,5.384
Hosta kikutii,Zoochor,12,4.422,2.04
Reseda stricta,Hemerochor,13,0.674,2.985
Marsdenia sinensis,Anemochor,6,2.94,2.513
Hymenophyllum rufum,Anemochor,1,-0.582,3.309
Eucalyptus alba,Anemochor,3,-2.99,6.127
Rothmaleria granatensis,Anemochor,1,0.91,3.085
Ipomoea praecana,Autochor,4,-17.923,4.533
Minuria cunninghamii,Anemochor,10,1.911,5.336
Calotis lappulacea,Zoochor,6,2.535,4.703
Aniba citrifolia,Zoochor,2,0.01,6.431
Solanum douglasii,Zoochor,2,3.413,2.786
Phoradendron velutinum,Zoochor,3,-2.698,3.295
Dactyloctenium geminatum,Anemochor,3,0.095,5.662
Populus angustifolia,Anemochor,1,0.995,1.979
Euryops thunbergii,Anemochor,16,4.514,3.13
Protium robustum,Zoochor,2,3.907,6.994
Lonchocarpus santarosanus,Autochor,16,-5.928,5.489
Pseudobombax munguba,Anemochor,3,2.601,8.042
Abrus pulchellus,Nautochor,12,5.947,7.132
Mitrasacme galbina,Anemochor,4,3.67,8.422
Sarcandra glabra,Zoochor,16,3.784,2.895
Calamagrostis chalybaea,Autochor,14,-0.261,0.609
Rhynchospora tracyi,Autochor,15,6.498,6.211
Carex vanheurckii,Autochor,6,-4.165,-4.994
Atractylis humilis,Anemochor,12,1.254,2.662
Tilia cordata,Anemochor,16,-2.031,3.669
Andropogon leucostachyus,Autochor,2,1.672,5.561
Melaleuca cordata,Anemochor,15,0.888,5.739
Jatropha capensis,Autochor,7,-1.022,3.735
Dodonaea polyandra,Zoochor,7,-2.212,5.166
Tachia grandiflora,Autochor,11,-0.272,6.111
Elaeocarpus hildebrandtii,Zoochor,16,-0.435,3.677
Cuphea setosa,Autochor,16,-3.656,5.726
Boronia capitata,Autochor,14,-0.621,5.61
Plantago euryphylla,Zoochor,15,-2.024,3.657
Annona neglecta,Zoochor,12,-7.097,4.926
Trymalium floribundum,Zoochor,2,-1.057,4.843
Galium glabrescens,Zoochor,10,1.741,2.896
Sclerocarpus uniserialis,Anemochor,9,0.366,3.289
Maerua kaessneri,Zoochor,14,0.382,4.796
Lachnaea axillaris,Zoochor,9,-0.092,3.591
Montia chamissoi,Autochor,8,0.274,-1.029
Asplenium ritoense,Anemochor,13,3.88,2.274
Tetragonia robusta,Anemochor,12,3.356,3.838
Eucalyptus georgei,Anemochor,16,0.78,5.804
