Fatty acid,Missbach FT (SYN),Fischer-Tropsch (SYN) (McCollom & Seewald07),Enceladus abiotic (SYN) (Klenner+20b),EET 87770 (CR2) (Aponte+2011) (S),EET 87770 (CR2) (Aponte+2011) (B),ALH 84034 (CM1) (Aponte+2011) (S),ALH 84034 (CM1) (Aponte+2011) (B),ALH 84033 (CM2) (Aponte+2011) (S),ALH 84033 (CM2) (Aponte+2011) (B),MET 00430 (CV3) (Aponte+2011) (S),MET 00430 (CV3) (Aponte+2011) (B),WIS 91600 (C2) (Aponte+2011) (S),WIS 91600 (C2) (Aponte+2011) (B),Murchison (CM2) (S),Murchison (CM2) (B),LON 94101 (CM2) (Aponte+2014),Enceladus biotic (SYN) (Klenner+20a),E. coli (MIC) (Hildebrand & Law64),A. tumefaciens (MIC) (Hildebrand & Law64),C. butyricum (MIC) (Hildebrand & Law64),S. marcescens (MIC) (Hildebrand & Law64),Arabidopsis roots 2-weeks old (EUK) (Batsale+21),Geobacillus LC300 (MIC) (Cordova+17),Thermus thermophilus HB8 (MIC) (Cordova+17),Rhodothermus marinus DSM 4252 (MIC) (Cordova+17),PANGAEA_GeoB7702-3_15 (MIX),PANGAEA_GeoB7702-3_252 (MIX),PANGAEA_GeoB7702-3_396 (MIX),PANGAEA_GeoB7702-3_135 (MIX),PANGAEA_GeoB7702-3_324 (MIX),PANGAEA_SO242/2_202_PUC-46-61-79 (MIX),Gorka_p_AN (MIX),Gorka_p_FN (MIX),Gorka_p_GN (MIX)
Sample Class,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Stat Model,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,logn,t,t,t
Stat Model DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
C20,0.894151952,69.2,5.5,,,,,,,,,,,,,,3,0,0,0,0,15,,,,130,325,123,99,38,0,0,0,0
C22,0.772860951,53.8,0,,,,,,,,,,,,,,0,0,0,0,0,41.1,,,,124,423,97,92,41,0.1612,0,0,0
C23,0.731037331,48,0,,,,,,,,,,,,,,0,0,0,0,0,3.1,,,,48,141,44,33,12,0,0,0,0
C24,0.647177344,40.5,0,,,,,,,,,,,,,,0,0,0,0,0,37.9,,,,201,594,172,140,59,0,0,0,0
C25,0.620784162,31.4,0,,,,,,,,,,,,,,0,0,0,0,0,1.4,,,,66,147,65,44,16,0,0,0,0
C26,0.585017583,23.4,0,,,,,,,,,,,,,,0,0,0,0,0,1.9,,,,216,783,255,193,82,0,0,0,0
C19,0.933460147,76.6,5.5,,,,,,,,,,,,,,0.3,8,38,7,2,0,,,,21,90,22,24,20,0,0,0,0
C18,0.952657464,81.8,5.5,,,,,,,,,,,,,,18,0,0,0,0,0,0.23,0.48,1.18,409,856,203,329,85,0.0623,4.594792672,110.2140445,36.4576852
