modelo,tipo_top,familia,presion_pa,presion_hpa,tendencia_k_decada
EC-Earth3,high-top,CMIP6,100000.0,1000.0,0.38645548289227727
EC-Earth3,high-top,CMIP6,92500.0,925.0,0.369838111392799
EC-Earth3,high-top,CMIP6,85000.0,850.0,0.366441742722427
EC-Earth3,high-top,CMIP6,70000.0,700.0,0.380046106628398
EC-Earth3,high-top,CMIP6,60000.0,600.0,0.37887252435885194
EC-Earth3,high-top,CMIP6,50000.0,500.0,0.4114770787539454
EC-Earth3,high-top,CMIP6,40000.0,400.0,0.4554016140037792
EC-Earth3,high-top,CMIP6,30000.0,300.0,0.46031003691134464
EC-Earth3,high-top,CMIP6,25000.0,250.0,0.39532303085078013
EC-Earth3,high-top,CMIP6,20000.0,200.0,0.2642611984837019
EC-Earth3,high-top,CMIP6,15000.0,150.0,0.1921114263216361
EC-Earth3,high-top,CMIP6,10000.0,100.0,0.017470070532183572
EC-Earth3,high-top,CMIP6,7000.0,70.0,-0.35053310278132954
EC-Earth3,high-top,CMIP6,5000.0,50.0,-0.49737118335631225
EC-Earth3,high-top,CMIP6,3000.0,30.0,-0.5533347665474482
EC-Earth3,high-top,CMIP6,2000.0,20.0,-0.5809716718980171
EC-Earth3,high-top,CMIP6,1000.0,10.0,-0.6362155946164929
EC-Earth3,high-top,CMIP6,500.0,5.0,-0.7736124136249245
EC-Earth3,high-top,CMIP6,100.0,1.0,-1.0389816601393322
EC-Earth3-CC,high-top,CMIP6,100000.0,1000.0,0.30063228044318
EC-Earth3-CC,high-top,CMIP6,92500.0,925.0,0.29085724081651176
EC-Earth3-CC,high-top,CMIP6,85000.0,850.0,0.2890775623651147
EC-Earth3-CC,high-top,CMIP6,70000.0,700.0,0.31452888336595286
EC-Earth3-CC,high-top,CMIP6,60000.0,600.0,0.31927291168560923
EC-Earth3-CC,high-top,CMIP6,50000.0,500.0,0.34869616274586546
EC-Earth3-CC,high-top,CMIP6,40000.0,400.0,0.39519148224072065
EC-Earth3-CC,high-top,CMIP6,30000.0,300.0,0.4114886138692734
EC-Earth3-CC,high-top,CMIP6,25000.0,250.0,0.3633756747659478
EC-Earth3-CC,high-top,CMIP6,20000.0,200.0,0.24385592727014332
EC-Earth3-CC,high-top,CMIP6,15000.0,150.0,0.17361722999298276
EC-Earth3-CC,high-top,CMIP6,10000.0,100.0,0.01933619502224502
EC-Earth3-CC,high-top,CMIP6,7000.0,70.0,-0.35588390379092594
EC-Earth3-CC,high-top,CMIP6,5000.0,50.0,-0.510183394934988
EC-Earth3-CC,high-top,CMIP6,3000.0,30.0,-0.5627935258043352
EC-Earth3-CC,high-top,CMIP6,2000.0,20.0,-0.5872798127870862
EC-Earth3-CC,high-top,CMIP6,1000.0,10.0,-0.6552988333699497
EC-Earth3-CC,high-top,CMIP6,500.0,5.0,-0.7789741203100019
EC-Earth3-CC,high-top,CMIP6,100.0,1.0,-1.0386388301697682
E3SM-1-1,high-top,CMIP6,100000.0,1000.0,0.2561397456055908
E3SM-1-1,high-top,CMIP6,92500.0,925.0,0.2918663118296672
E3SM-1-1,high-top,CMIP6,85000.0,850.0,0.31412878750624346
E3SM-1-1,high-top,CMIP6,70000.0,700.0,0.328720524097212
E3SM-1-1,high-top,CMIP6,60000.0,600.0,0.3254364201079505
E3SM-1-1,high-top,CMIP6,50000.0,500.0,0.34160240294303756
E3SM-1-1,high-top,CMIP6,40000.0,400.0,0.3538234117691264
E3SM-1-1,high-top,CMIP6,30000.0,300.0,0.3294690462616897
E3SM-1-1,high-top,CMIP6,25000.0,250.0,0.2706921276511507
E3SM-1-1,high-top,CMIP6,20000.0,200.0,0.2114469391896023
