numero_onda_cm1,irf_w_m2_cm,erf_w_m2_cm
13.114719077120274,-2.792977863417569e-12,-1.283303954861346e-07
19.443037202063053,-1.9219227527815175e-12,-2.0917348660970353e-07
25.77135532700583,-2.7293682979402487e-12,-3.025612053525767e-07
32.09967345194861,-5.503837606480287e-13,-1.0076641935801773e-06
38.427991576891394,-2.1502993884179452e-14,-2.6836628609093748e-06
44.75630970183416,-2.0986980057459418e-14,-2.808831668153289e-06
51.084627826776945,-2.3934511057116528e-14,-3.7014294073167656e-06
57.41294595171972,-8.708816003413778e-15,-6.978340127371567e-06
63.7412640766625,-4.6901610199767685e-14,-5.3746184850995046e-06
70.06958220160527,-4.089016451824801e-14,-6.420476473180111e-06
76.39790032654805,-4.0595326579462304e-14,-1.0578292604172621e-05
82.72621845149084,-1.321549261083105e-13,-8.072781414381855e-06
89.0545365764336,7.671570627018619e-14,-1.1120222623069509e-05
95.3828547013764,-1.9833999893859034e-13,-1.363283519560466e-05
101.71117282631917,-1.306682626683875e-13,-2.68061952026349e-05
108.03949095126194,-3.5989592382656976e-13,-1.558099823410695e-05
114.36780907620474,-1.4178271404152733e-12,-4.915074472169086e-06
120.6961272011475,-4.805985145441006e-13,-2.3840309129965904e-05
127.02444532609029,-9.134030988164345e-13,-1.7728363641954453e-05
133.35276345103307,-1.1374864375066075e-12,-2.3418866000038043e-05
139.68108157597584,-1.0079701830145726e-12,-2.7246174467953993e-05
146.0093997009186,-3.763494225463016e-12,-1.561972223691221e-05
152.33771782586138,-1.1330070345469401e-12,-5.955176595938124e-05
158.6660359508042,-5.42916649137748e-12,-3.538423088050318e-05
164.99435407574697,-1.0179035826035632e-11,-9.399115080558727e-06
171.32267220068974,-2.8305818192825297e-12,-3.859792904218704e-05
177.6509903256325,-3.553122639859962e-12,-4.1937309039224666e-05
183.97930845057527,-2.3118658810244998e-11,-1.0395240745629572e-05
190.30762657551807,-3.088112669226428e-11,-1.871331222148265e-05
196.63594470046087,-2.9033015228052684e-11,-1.9291059774963637e-05
202.96426282540358,-1.3134572184221595e-11,-5.387140910677303e-05
209.2925809503464,-2.5575254219110946e-11,-3.525000037603572e-05
215.62089907528917,-6.508796500902249e-11,-1.816483529175049e-05
221.94921720023197,-4.731694307202883e-11,-2.8864675911855084e-05
228.27753532517474,-3.7371087084278605e-11,-6.12566704065665e-05
234.60585345011748,-1.894683029609115e-10,-1.5094173388651616e-05
240.9341715750603,-2.502660739669288e-10,-1.1134184622284791e-06
247.26248970000307,-6.212229853794216e-11,-7.521037197685254e-05
253.59080782494587,-1.1785327906719408e-10,-7.210536547289502e-05
259.9191259498886,-4.540601283853363e-10,-1.6751887358078343e-05
266.2474440748314,-4.3877797584537805e-10,-2.4323180287169058e-05
272.5757621997742,-6.317114143849361e-10,-2.2995693219848325e-06
278.904080324717,-1.4375916607307916e-10,-9.794810506326645e-05
285.23239844965974,-6.357404411499318e-10,-2.250857736322931e-05
291.56071657460245,-8.843752464290228e-10,-3.5924177746097216e-05
297.8890346995453,-1.2987445829719391e-09,-2.3313802567983454e-05
304.2173528244881,-9.876794773971271e-10,-3.8482293158896784e-05
310.54567094943087,-2.6641057820301494e-09,-6.799635621639998e-07
316.87398907437364,-2.3825070521055897e-09,-1.727722230153634e-05
323.20230719931635,-1.7337474647344948e-09,-3.80126644751286e-05
329.5306253242592,-2.846918070037452e-09,-3.3019832525082486e-05
335.858943449202,-3.3987053938561163e-09,-2.6212627093873816e-05
342.1872615741447,-5.003758487241716e-09,-2.1612745287297994e-05
348.5155796990875,-4.705048278850349e-09,-2.9978235675710494e-05
354.84389782403025,-3.3974823942465457e-09,-6.301858356390004e-05
361.1722159489731,-1.0389988699521098e-08,-1.603876346179065e-06
367.5005340739159,-1.1904443241329139e-08,-1.3058164106854619e-05
373.8288521988586,-9.641465240550415e-09,-7.96231116051132e-06
380.1571703238014,-1.963709863280795e-08,-3.561763622186333e-07
386.48548844874415,-1.7883061827032863e-08,-9.811780798273541e-06
392.813806573687,-2.521496791862109e-08,-2.577266178341135e-06
399.1421246986298,-1.1053593623766046e-07,-0.00010305097353419984
405.4704428235725,-5.136928619910337e-07,-1.1592246333918914e-06
411.7987609485153,-6.026736991981453e-07,-1.101057534742475e-06
418.12707907345805,-2.7979829925585745e-07,-0.0002466594882053123
424.4553971984009,-5.332528370555895e-07,-0.0001003175626758451
430.78371532334364,-8.740715613281443e-07,-1.4419426496861589e-05
437.1120334482864,-1.1267935546852362e-06,-2.5276875843054623e-06
443.4403515732292,-1.0259124285246467e-06,-0.00017653194587476193
449.76866969817195,-1.9665229780722535e-06,-0.00011538024522954804
456.0969878231148,-1.3891458820200833e-06,-6.302311759461823e-05
462.4253059480575,-3.0163123652371913e-06,-3.549150474452603e-06
468.7536240730003,-4.894562281347863e-06,-8.93528514427826e-06
475.0819421979431,-3.596161568517487e-06,-0.000672224760344369
481.41026032288585,-5.157366341938547e-06,-1.811125941003763e-05
487.7385784478287,-8.908702304238816e-06,-9.615071067623718e-06
494.0668965727714,-1.2412252762768888e-05,-1.6093425765591196e-05
500.3952146977142,-1.3131190206027571e-05,-2.155074601750814e-05
506.723532822657,-5.001710850089259e-05,-5.8558894363971124e-05
513.0518509475996,-8.942188021491843e-05,-8.933978627663876e-05
519.3801690725426,-8.760781172950259e-05,-0.00015368254412251921
525.7084871974853,-0.00029132992315493173,-0.0004644351715823963
532.0368053224281,-0.0009580698908084502,-0.0009562087534158367
538.3651234473709,-0.00047443877184499177,-0.0005199181794881807
544.6934415723138,-0.002502647786983157,-0.0025508874950839434
551.0217596972564,-0.0012134667552533345,-0.0012452122373186043
557.3500778221992,-0.0017116915526134433,-0.001730257216404461
563.678395947142,-0.002329063927614506,-0.002329068635657862
570.0067140720848,-0.004226502919060543,-0.004256955924410753
576.3350321970275,-0.009139082684868202,-0.009265295626519263
582.6633503219703,-0.01567645408296217,-0.016288482735569407
