sample,site,dentin_starting_mg,enamel_starting_mg,enamel_maldi_result
25S0296,Zhoukoudian,30,47,Negative
25S0297,Zhoukoudian,100,62,Positive
25S0298,Zhoukoudian,114,87,Positive
25S0299,Zhoukoudian,52,47,Negative
25S0300,Zhoukoudian,59,50,Positive
25S0301,Zhoukoudian,55,Etch,Negative
25S0302,Zhoukoudian,40,Etch,Negative
25S0304,Zhoukoudian,30,Etch,Negative
24S0351,Hexian,100,100,Negative
24S0352,Hexian,100,100,Negative
24S0353,Hexian,102,100,Negative
24S0354,Hexian,104,100,Negative
24S0355,Hexian,102,100,Negative
24S0356,Hexian,103,100,Negative
24S0357,Hexian,100,100,Negative
24S0358,Hexian,103,100,Negative
24S0359,Hexian,103,100,Negative
24S0360,Hexian,102,100,Negative
24S0362,Hexian,100,100,Negative
24S0363,Hexian,102,100,Negative
24S0364,Hexian,101,100,Negative
24S0365,Hexian,101,100,Negative
24S0366,Hexian,101,100,Negative
24S0367,Hexian,100,100,Negative
24S0368,Hexian,103,100,Positive
24S0369,Hexian,101,100,Negative
24S0370,Hexian,102,100,Positive
24S0371,Hexian,100,100,Negative
24S0372,Hexian,104,100,Negative
24S0373,Hexian,101,100,Positive
24S0374,Hexian,101,100,Negative
24S0375,Hexian,101,100,Positive
24S0376,Hexian,101,100,Negative
24S0377,Hexian,102,100,Positive
24S0378,Hexian,101,100,Positive
24S0379,Hexian,100,100,Positive
24S0380,Hexian,101,100,Negative
24S0381,Hexian,100,100,Negative
24S0382,Hexian,100,100,Positive
24S0383,Hexian,104,100,Positive
24S0384,Hexian,100,100,Positive
24S0385,Hexian,100,100,Positive
24S0387,Hexian,101,100,Negative
24S0388,Hexian,101,100,Negative
24S0389,Hexian,103,100,Positive
24S0390,Hexian,104,100,Positive
24S0391,Hexian,101,100,Positive
24S0392,Hexian,102,100,Negative
24S0002,Sunjiadong,100,100,Negative
24S0003,Sunjiadong,100,100,Negative
24S0004,Sunjiadong,100,100,Negative
24S0005,Sunjiadong,100,100,Negative
24S0006,Sunjiadong,100,100,Positive
24S0007,Sunjiadong,100,100,Negative
24S0008,Sunjiadong,100,100,Positive
24S0009,Sunjiadong,100,100,Negative
24S0010,Sunjiadong,100,100,Negative
24S0011,Sunjiadong,100,100,Negative
24S0012,Sunjiadong,100,100,Negative
24S0013,Sunjiadong,100,100,Positive
24S0014,Sunjiadong,100,100,Negative
24S0015,Sunjiadong,100,100,Negative
24S0016,Sunjiadong,100,100,Negative
24S0017,Sunjiadong,100,100,Negative
24S0018,Sunjiadong,100,100,Negative
24S0019,Sunjiadong,100,100,Negative
24S0020,Sunjiadong,100,100,Negative
24S0021,Sunjiadong,100,100,Negative
24S0022,Sunjiadong,100,100,Negative
24S0023,Sunjiadong,100,100,Negative
24S0024,Sunjiadong,100,100,Negative
24S0025,Sunjiadong,100,100,Negative
24S0026,Sunjiadong,100,100,Negative
24S0027,Sunjiadong,100,100,Positive
24S0028,Sunjiadong,100,100,Negative
24S0029,Sunjiadong,100,100,Negative
24S0030,Sunjiadong,100,100,Negative
24S0031,Sunjiadong,100,100,Negative
24S0032,Sunjiadong,100,100,Negative
24S0033,Sunjiadong,100,100,Negative
24S0034,Sunjiadong,100,100,Negative
24S0035,Sunjiadong,100,100,Negative
24S0036,Sunjiadong,100,100,Negative
24S0037,Sunjiadong,100,100,Negative
24S0038,Sunjiadong,100,100,Positive
