age_ka_bp,charcoal_acc_rate_n_per_cm2_yr,year_ce
-0.072,0.0,2022.0
-0.071,0.0,2021.0
-0.07,2.0,2020.0
-0.069,0.0,2019.0
-0.068,2.0,2018.0
-0.067,2.0,2017.0
-0.066,32.0,2016.0
-0.065,10.0,2015.0
-0.064,87.0,2014.0
-0.062,62.0,2012.0
-0.061,12.0,2011.0
-0.059,2.0,2009.0
-0.057,0.6667,2007.0
-0.054,3.0,2004.0
-0.052,0.0,2002.0
-0.05,3.0,2000.0
-0.048,2.0,1998.0
-0.045,1.0,1995.0
-0.043,2.0,1993.0
-0.041,1.0,1991.0
-0.039,2.0,1989.0
-0.036,2.0,1986.0
-0.034,6.0,1984.0
-0.032,3.0,1982.0
-0.03,4.0,1980.0
-0.028,3.3333,1978.0
-0.025,9.0,1975.0
-0.023,4.0,1973.0
-0.021,1.0,1971.0
-0.019,2.0,1969.0
-0.017,5.3333,1967.0
-0.014,13.0,1964.0
-0.012,14.6667,1962.0
-0.009,22.0,1959.0
-0.007,8.0,1957.0
-0.004,2.0,1954.0
-0.002,6.6667,1952.0
0.001,10.0,1949.0
0.003,10.6667,1947.0
0.006,2.0,1944.0
0.008,12.6667,1942.0
0.011,6.0,1939.0
0.014,9.3333,1936.0
0.017,16.0,1933.0
0.02,4.0,1930.0
0.024,10.0,1926.0
0.027,20.0,1923.0
0.03,4.0,1920.0
0.033,6.6667,1917.0
0.036,3.3333,1914.0
0.039,0.3846,1911.0
0.065,1.2593,1885.0
0.092,,1858.0
0.118,,1832.0
0.145,,1805.0
0.171,,1779.0
0.198,,1752.0
0.224,,1726.0
0.251,,1699.0
0.278,,1672.0
0.304,,1646.0
0.318,,1632.0
0.332,,1618.0
0.346,,1604.0
0.36,,1590.0
0.374,,1576.0
0.388,,1562.0
0.402,,1548.0
0.415,,1535.0
0.429,,1521.0
0.443,0.0082,1507.0
0.504,0.1083,1446.0
0.564,0.125,1386.0
0.624,0.1333,1326.0
0.684,0.0164,1266.0
0.745,0.3056,1205.0
0.763,0.0556,1187.0
0.781,0.0833,1169.0
0.799,0.3333,1151.0
0.817,1.0278,1133.0
0.835,0.45,1115.0
0.855,0.3095,1095.0
0.876,0.1429,1074.0
0.897,0.225,1053.0
0.917,0.1429,1033.0
0.938,0.025,1012.0
0.958,0.4286,992.0
0.979,0.025,971.0
0.999,0.3095,951.0
1.02,0.05,930.0
1.04,0.1316,910.0
1.059,0.2368,891.0
1.078,0.3947,872.0
1.097,0.1389,853.0
1.115,0.2368,835.0
1.134,0.4545,816.0
1.156,0.0227,794.0
1.178,0.4048,772.0
1.199,0.3636,751.0
1.221,0.4762,729.0
1.242,0.2619,708.0
1.263,0.1905,687.0
1.284,0.225,666.0
1.304,1.3095,646.0
1.325,0.1429,625.0
1.346,0.075,604.0
1.366,0.225,584.0
1.386,0.2,564.0
1.406,0.4286,544.0
1.427,0.4,523.0
1.447,0.075,503.0
1.467,0.3095,483.0
1.488,0.3,462.0
1.508,0.225,442.0
1.528,0.2143,422.0
1.549,0.1163,401.0
1.592,0.025,358.0
1.612,0.0263,338.0
1.631,0.1,319.0
1.651,0.1,299.0
1.671,0.275,279.0
1.691,0.3947,259.0
1.71,0.3,240.0
1.73,0.381,220.0
1.751,0.2273,199.0
1.773,0.2391,177.0
1.796,0.1522,154.0
1.819,0.0227,131.0
1.841,0.5455,109.0
1.863,0.3333,87.0
1.884,0.3409,66.0
1.906,0.5238,44.0
1.927,0.4524,23.0
1.948,0.2955,2.0
1.97,0.037,-20.0
1.997,0.0,-47.0
2.024,0.0536,-74.0
2.052,0.4074,-102.0
2.079,0.16,-129.0
2.104,0.2619,-154.0
2.125,0.4286,-175.0
2.146,0.0714,-196.0
2.167,0.2273,-217.0
2.189,0.125,-239.0
2.209,0.1667,-259.0
2.227,0.1053,-277.0
2.246,0.1944,-296.0
2.264,0.1053,-314.0
2.283,0.1944,-333.0
2.301,0.1667,-351.0
2.319,0.0556,-369.0
2.337,0.1765,-387.0
2.354,0.2222,-404.0
2.372,0.1842,-422.0
2.391,0.2174,-441.0
2.414,0.2391,-464.0
2.437,0.0435,-487.0
2.46,0.0217,-510.0
2.483,0.2045,-533.0
2.505,0.1176,-555.0
2.522,0.0588,-572.0
2.539,0.0556,-589.0
2.557,0.2059,-607.0
2.574,0.2353,-624.0
2.591,0.1667,-641.0
2.606,0.3125,-656.0
2.614,0.0333,-664.0
2.629,0.0312,-679.0
2.645,0.0333,-695.0
2.66,0.0625,-710.0
2.676,0.1667,-726.0
2.691,0.0625,-741.0
2.707,0.0,-757.0
2.723,0.1,-773.0
2.738,0.1333,-788.0
2.753,0.0667,-803.0
2.768,0.0714,-818.0
2.782,0.0,-832.0
2.797,0.0714,-847.0
2.811,0.0588,-861.0
2.828,0.2059,-878.0
2.845,0.0,-895.0
2.862,0.0588,-912.0
2.879,0.1176,-929.0
2.896,0.0588,-946.0
2.913,0.0882,-963.0
2.93,0.0,-980.0
2.947,0.0312,-997.0
2.963,0.0882,-1013.0
2.98,0.0,-1030.0
2.997,0.0312,-1047.0
3.013,0.0588,-1063.0
3.03,0.0312,-1080.0
3.046,0.0588,-1096.0
3.063,0.0312,-1113.0
3.079,0.0,-1129.0
3.095,0.1875,-1145.0
3.111,0.0312,-1161.0
3.127,0.0333,-1177.0
3.142,0.0938,-1192.0
3.158,0.1562,-1208.0
3.174,0.1667,-1224.0
3.189,0.0625,-1239.0
3.205,0.0625,-1255.0
3.221,0.0312,-1271.0
3.237,0.0588,-1287.0
3.254,0.0,-1304.0
3.271,0.0588,-1321.0
3.288,0.1111,-1338.0
3.306,0.0455,-1356.0
3.317,0.2,-1367.0
3.327,0.0,-1377.0
3.337,0.4,-1387.0
3.347,0.1,-1397.0
3.357,0.1,-1407.0
3.367,0.05,-1417.0
3.377,0.0,-1427.0
3.387,0.05,-1437.0
3.397,0.0556,-1447.0
3.406,0.0,-1456.0
3.417,0.1667,-1467.0
3.429,0.0909,-1479.0
3.44,0.0455,-1490.0
3.451,0.125,-1501.0
3.463,0.15,-1513.0
3.473,0.25,-1523.0
3.483,0.15,-1533.0
3.493,0.1,-1543.0
3.503,0.15,-1553.0
3.513,0.2,-1563.0
3.523,0.5,-1573.0
3.533,0.15,-1583.0
3.543,0.25,-1593.0
3.553,0.0,-1603.0
3.563,0.3,-1613.0
3.573,0.0,-1623.0
3.582,0.05,-1632.0
3.592,0.1,-1642.0
3.602,0.1667,-1652.0
3.611,0.6,-1661.0
3.621,0.15,-1671.0
3.631,0.0,-1681.0
3.64,0.05,-1690.0
3.65,0.0,-1700.0
3.66,0.0,-1710.0
3.669,0.0556,-1719.0
3.678,0.0,-1728.0
3.688,0.2222,-1738.0
3.697,0.2,-1747.0
3.707,0.0455,-1757.0
3.718,0.2273,-1768.0
3.729,0.0455,-1779.0
3.74,0.1818,-1790.0
3.751,0.375,-1801.0
3.763,0.1176,-1813.0
3.78,0.0,-1830.0
3.8,0.05,-1850.0
3.82,0.025,-1870.0
3.84,0.0263,-1890.0
3.859,0.0714,-1909.0
3.873,0.0556,-1923.0
3.891,0.0556,-1941.0
3.909,0.1944,-1959.0
3.927,0.1111,-1977.0
3.945,0.25,-1995.0
3.963,0.0278,-2013.0
3.981,0.0556,-2031.0
3.999,0.1316,-2049.0
4.018,0.3889,-2068.0
4.036,0.1579,-2085.9999999999995
4.055,0.0,-2104.9999999999995
4.075,0.025,-2125.0
4.095,0.0,-2144.9999999999995
4.116,0.075,-2166.0
4.136,0.2105,-2186.0
4.155,0.0789,-2205.0
4.174,0.0556,-2224.0
4.192,0.0526,-2242.0
4.211,0.0526,-2261.0
4.23,0.0,-2280.0
4.25,0.1667,-2300.0
4.271,0.0952,-2321.0
4.292,0.0682,-2342.0
4.314,0.0714,-2364.0
4.335,0.0625,-2385.0
4.359,0.0741,-2409.0
4.386,0.037,-2436.0
4.413,0.0926,-2463.0
4.44,0.0,-2490.0
4.467,0.2593,-2517.0
4.494,0.1923,-2544.0
4.52,0.0962,-2570.0
4.546,0.0962,-2596.0
4.572,0.0577,-2622.0
4.598,0.2115,-2648.0
4.624,0.1346,-2674.0
4.65,0.12,-2700.0
4.675,0.0577,-2725.0
4.701,0.0769,-2751.0
4.727,0.0625,-2777.0
4.751,0.0625,-2801.0
4.775,0.0,-2825.0
4.798,0.0833,-2848.0
4.822,0.087,-2872.0
4.845,0.3269,-2895.0
4.871,0.2857,-2921.0
4.899,0.2143,-2949.0
4.926,0.0893,-2976.0
4.954,0.1071,-3004.0
4.982,0.1786,-3032.0
5.01,0.1111,-3060.0
5.038,0.4821,-3088.0
5.065,0.5926,-3115.0
5.093,0.5926,-3143.0
5.12,0.1071,-3170.0
5.147,0.0556,-3197.0
5.175,0.0,-3225.0
5.202,0.037,-3252.0
5.229,0.1481,-3279.0
5.256,0.0185,-3306.0
5.283,0.0,-3333.0
5.31,0.0,-3360.0
5.337,0.0185,-3387.0
5.364,0.05,-3414.0
5.391,0.0781,-3441.0
5.421,0.0625,-3471.0
5.453,0.0758,-3503.0
5.485,0.0625,-3535.0
5.518,0.0806,-3568.0
5.55,0.1429,-3600.0
5.581,0.0357,-3631.0
5.609,0.0345,-3659.0
5.637,0.0357,-3687.0
5.666,0.069,-3716.0
5.694,0.0741,-3744.0
5.723,0.0357,-3773.0
5.75,0.1071,-3800.0
5.778,0.25,-3828.0
5.806,0.1379,-3856.0
5.834,0.0484,-3884.0
5.863,0.0968,-3913.0
5.894,0.1833,-3944.0
5.925,0.2258,-3975.0
5.955,0.15,-4005.0
5.986,0.1379,-4036.0
6.016,0.15,-4066.0
6.045,0.2414,-4095.0
6.075,0.2931,-4125.0
6.104,0.1019,-4154.0
6.133,0.0455,-4183.0
6.187,0.0769,-4237.0
6.264,0.0649,-4314.0
6.342,0.0769,-4392.0
6.419,0.0746,-4469.0
6.497,0.0833,-4547.0
6.564,0.1161,-4614.0
6.648,0.1339,-4698.0
6.704,0.0625,-4754.0
6.76,0.1081,-4810.0
6.816,0.1892,-4866.0
6.853,0.1486,-4903.0
6.89,0.1053,-4940.0
6.927,0.1757,-4977.0
6.965,0.1892,-5015.0
7.002,0.0921,-5052.0
7.039,0.2297,-5089.0
7.077,0.1579,-5127.0
7.114,0.1316,-5164.0
7.152,0.0978,-5202.0
7.19,0.2234,-5240.0
7.236,0.163,-5286.0
7.283,0.2128,-5333.0
7.329,0.0,-5379.0
7.376,0.0233,-5426.0
7.422,0.0116,-5472.0
7.465,0.0581,-5515.0
7.508,0.0349,-5558.0
7.551,0.0227,-5601.0
7.594,0.0179,-5644.0
7.638,0.0175,-5688.0
7.694,0.0088,-5744.0
7.751,0.0804,-5801.0
7.808,0.0088,-5858.0
7.864,0.0648,-5914.0
7.921,0.0472,-5971.0
7.975,0.0556,-6025.0
8.028,0.037,-6078.000000000001
8.082,0.0566,-6132.000000000001
8.136,0.0571,-6185.999999999999
8.189,0.5286,-6239.0
8.224,0.0882,-6274.0
8.259,0.0143,-6309.0
8.293,0.0714,-6343.0
8.328,0.0076,-6378.0
8.363,0.0075,-6413.0
8.429,0.0448,-6479.0
8.496,0.0373,-6546.0
8.563,0.0455,-6613.0
8.63,0.1545,-6680.0
8.696,0.0,-6746.0
8.751,0.0278,-6801.0
8.805,0.0092,-6855.0
8.859,0.0405,-6909.0
8.968,0.0068,-7018.0
9.042,0.0342,-7092.0
9.115,0.0068,-7165.0
9.189,0.0,-7239.0
9.262,0.0274,-7312.0
9.335,0.0,-7385.0
9.394,0.0085,-7444.0
9.453,0.0085,-7503.0
9.512,0.0,-7562.0
9.571,0.0,-7621.0
9.63,0.0,-7680.0
9.666,0.0714,-7716.0
9.701,0.0143,-7751.0
9.736,0.0139,-7786.0
9.772,0.0143,-7822.0
9.807,0.0,-7857.0
9.845,0.0,-7895.0
9.883,0.0135,-7933.0
9.92,0.1579,-7970.0
9.958,0.0263,-8008.0
9.996,0.0641,-8046.0
10.035,0.0769,-8085.0
10.074,0.0513,-8124.0
10.113,0.0641,-8163.0
10.152,0.0385,-8202.0
10.191,0.0125,-8241.0
10.231,0.0375,-8281.0
10.271,0.05,-8321.0
10.311,0.0769,-8361.0
10.35,0.075,-8400.0
10.39,0.0349,-8440.0
10.433,0.0114,-8483.0
10.477,0.0465,-8527.0
10.52,0.0114,-8570.0
10.564,0.0116,-8614.0
10.607,0.0147,-8657.0
10.641,0.0,-8691.0
10.674,0.0441,-8724.0
10.708,0.0147,-8758.0
10.742,0.0441,-8792.0
10.776,0.0208,-8826.0
10.8,0.0,-8850.0
10.824,0.0652,-8874.0
10.848,0.0,-8898.0
10.871,0.0385,-8921.0
10.895,0.0,-8945.0
10.921,0.0192,-8971.0
10.947,0.0192,-8997.0
10.973,0.0385,-9023.0
10.999,0.0217,-9049.0
11.025,0.0217,-9075.0
11.048,0.1739,-9098.0
11.071,0.0435,-9121.0
11.094,0.0,-9144.0
11.117,0.1458,-9167.0
11.14,0.2391,-9190.0
11.164,0.0652,-9214.0
11.187,0.1667,-9237.0
11.21,0.0435,-9260.0
11.234,0.0,-9284.0
11.257,0.3333,-9307.0
11.269,0.3333,-9319.0
11.281,0.3333,-9331.0
11.293,0.5417,-9343.0
11.308,0.0455,-9358.0
11.32,0.2,-9370.0
11.331,0.1364,-9381.0
11.341,0.0,-9391.0
11.352,0.1,-9402.0
11.363,0.0,-9413.0
11.373,0.0455,-9423.0
11.385,0.0455,-9435.0
11.396,0.0909,-9446.0
11.407,0.0455,-9457.0
11.418,0.0455,-9468.0
11.429,0.3636,-9479.0
11.44,0.0909,-9490.0
11.451,0.0,-9501.0
11.462,0.3182,-9512.0
11.473,0.55,-9523.0
11.484,0.1364,-9534.0
11.494,0.4,-9544.0
11.505,0.0909,-9555.0
11.515,0.0,-9565.0
11.526,0.4,-9576.0
11.536,0.3636,-9586.0
11.546,0.5,-9596.0
11.557,0.65,-9607.0
11.567,0.05,-9617.0
11.577,0.0,-9627.0
