year,n_studies,n_participants
1975,2,289410.0
1976,2,16806.0
1977,3,88157.0
1978,4,40825.0
1979,10,91137.0
1980,20,364429.0
1981,17,185921.0
1982,23,191425.0
1983,32,246915.0
1984,38,740593.0
1985,74,1373463.0
1986,50,780617.0
1987,37,776334.0
1988,58,806443.0
1989,42,787340.0
1990,48,1377806.0
1991,65,1019785.0
1992,68,946765.0
1993,64,1091008.0
1994,52,770266.0
1995,64,1478024.0
1996,76,1071339.0
1997,78,918346.0
1998,86,1614465.0
1999,81,1548332.0
2000,91,2199448.0
2001,100,4006627.0
2002,88,6960834.0
2003,126,1314280.0
2004,129,11304741.0
2005,137,2415938.0
2006,130,12135576.0
2007,162,3316572.0
2008,147,15221447.0
2009,135,3286490.0
2010,156,34006949.0
2011,171,3522850.0
2012,141,19475180.0
2013,147,4288510.0
2014,160,20908031.0
2015,187,7337125.0
2016,140,22023922.0
2017,115,3832305.0
2018,123,24722102.0
2019,120,3193281.0
2020,40,1026553.0
2021,54,1213177.0
2022,75,1898487.0
2023,55,1976408.0
2024,25,1545489.0
2025,2,6271.0
