year,sex,obesity_pct,obesity_lo95,obesity_hi95
1980,Women,6.75,6.25,7.3
1981,Women,6.85,6.38,7.34
1982,Women,6.94,6.51,7.39
1983,Women,7.04,6.65,7.46
1984,Women,7.14,6.78,7.53
1985,Women,7.25,6.92,7.6
1986,Women,7.37,7.06,7.69
1987,Women,7.5,7.21,7.79
1988,Women,7.63,7.36,7.9
1989,Women,7.76,7.51,8.02
1990,Women,7.91,7.67,8.15
1991,Women,8.06,7.84,8.29
1992,Women,8.22,8.01,8.43
1993,Women,8.38,8.18,8.58
1994,Women,8.56,8.36,8.75
1995,Women,8.74,8.55,8.93
1996,Women,8.94,8.75,9.12
1997,Women,9.15,8.97,9.32
1998,Women,9.36,9.19,9.53
1999,Women,9.58,9.42,9.75
2000,Women,9.81,9.65,9.97
2001,Women,10.05,9.9,10.21
2002,Women,10.29,10.14,10.44
2003,Women,10.52,10.37,10.68
2004,Women,10.76,10.61,10.92
2005,Women,11.01,10.85,11.16
2006,Women,11.26,11.1,11.41
2007,Women,11.52,11.36,11.67
2008,Women,11.77,11.62,11.93
2009,Women,12.04,11.89,12.2
2010,Women,12.32,12.16,12.48
2011,Women,12.6,12.44,12.76
2012,Women,12.89,12.73,13.06
2013,Women,13.19,13.03,13.36
2014,Women,13.51,13.33,13.68
2015,Women,13.83,13.65,14.02
2016,Women,14.18,13.98,14.37
2017,Women,14.52,14.31,14.74
2018,Women,14.88,14.64,15.12
2019,Women,15.25,14.96,15.52
2020,Women,15.62,15.28,15.94
2021,Women,16.0,15.61,16.39
2022,Women,16.39,15.93,16.86
2023,Women,16.8,16.26,17.35
2024,Women,17.24,16.58,17.89
1980,Men,3.2,2.89,3.55
1981,Men,3.3,3.01,3.62
1982,Men,3.4,3.13,3.69
1983,Men,3.51,3.26,3.77
1984,Men,3.62,3.38,3.87
1985,Men,3.73,3.51,3.97
1986,Men,3.86,3.64,4.09
1987,Men,3.99,3.78,4.21
1988,Men,4.13,3.93,4.34
1989,Men,4.27,4.08,4.47
1990,Men,4.42,4.24,4.62
1991,Men,4.59,4.4,4.78
1992,Men,4.76,4.58,4.94
1993,Men,4.94,4.76,5.12
1994,Men,5.13,4.95,5.3
1995,Men,5.33,5.16,5.5
1996,Men,5.54,5.37,5.71
1997,Men,5.76,5.6,5.93
1998,Men,5.99,5.83,6.15
1999,Men,6.23,6.08,6.39
2000,Men,6.49,6.34,6.64
2001,Men,6.75,6.6,6.91
2002,Men,7.02,6.88,7.17
2003,Men,7.29,7.15,7.45
2004,Men,7.57,7.42,7.72
2005,Men,7.85,7.7,8.0
2006,Men,8.13,7.98,8.28
2007,Men,8.42,8.26,8.57
2008,Men,8.7,8.54,8.85
2009,Men,8.97,8.81,9.13
2010,Men,9.23,9.07,9.39
2011,Men,9.49,9.33,9.65
2012,Men,9.75,9.59,9.91
2013,Men,10.01,9.84,10.17
2014,Men,10.28,10.11,10.45
2015,Men,10.56,10.38,10.75
2016,Men,10.86,10.66,11.05
2017,Men,11.14,10.93,11.36
2018,Men,11.42,11.18,11.68
2019,Men,11.71,11.43,12.0
2020,Men,12.0,11.67,12.35
2021,Men,12.31,11.91,12.74
2022,Men,12.65,12.16,13.16
2023,Men,13.0,12.41,13.62
2024,Men,13.37,12.66,14.11
