country,n,median_eur,mean_eur,max_eur,p25_eur,p75_eur
Kosovo,48,2279.82,3448.22,18808.48,1139.91,2992.26
Poland,12,1464.8,1843.79,5161.68,641.72,2235.57
Latvia,184,918.87,1649.09,7350.99,918.87,1837.75
Bosnia and Herzegovina,41,881.35,1638.02,11751.33,176.27,2350.27
Moldova,373,713.12,664.96,1782.81,534.84,891.41
Serbia,320,513.57,1675.94,26819.53,119.2,1787.97
Russian Federation,332,389.73,2107.59,29423.55,111.62,1337.43
Slovenia,24,381.11,690.85,4573.33,91.47,707.78
Croatia,456,375.63,1100.3,15651.45,156.51,845.18
Switzerland,128,337.22,945.81,6718.17,134.36,674.43
Slovak Republic,1032,328.87,1307.06,54812.27,219.25,1096.25
Romania,174,289.54,1438.29,42894.79,88.47,1072.37
Lithuania,77,280.82,1208.94,11864.52,117.01,1049.13
Finland,371,265.99,826.46,10296.63,88.66,799.03
Spain,3259,231.33,1124.69,93883.71,95.44,752.56
North Macedonia,136,229.89,1642.77,34483.31,114.94,919.55
Montenegro,76,163.99,942.92,10932.4,59.36,1311.89
Hungary,1676,82.23,169.03,9322.25,41.11,82.23
Belarus,47,80.34,755.78,5355.72,40.17,401.68
Ukraine,571,28.88,842.16,15138.52,4.77,96.07
Estonia,204,11.99,79.45,907.16,4.54,36.29
Armenia,308,9.51,770.58,190171.12,5.71,61.81
Georgia,26,6.71,272.84,3732.88,0.45,84.94
Bulgaria,96,5.54,211.0,2770.87,1.66,31.87
