material,source,condition,modulus_mpa,work_of_fracture_jm3,approximate
Agarose,Experimental data,1 wv% Agarose,0.03,2.7,0
Agarose,Experimental data,2 wv% Agarose,0.27,9.3,0
Agarose,Experimental data,4 wv% Agarose,0.51,17.4,0
Agarose,Experimental data,6 wv% Agarose,0.93,34.1,0
Agarose,Experimental data,8 wv% Agarose,1.43,32.6,0
PEG diacrylate,Experimental data,14 wv% PEGDA,0.16,3.1,0
PEG diacrylate,Experimental data,21 wv% PEGDA,0.93,3.2,0
PEG diacrylate,Experimental data,28 wv% PEGDA,1.88,4.3,0
Pluronic F127 acrylate,Experimental data,"30 wv% F127, 25 wt% acrylated F127",0.02,7.8,0
Pluronic F127 acrylate,Experimental data,"30 wv% F127, 50 wt% acrylated F127",0.06,32.9,0
Pluronic F127 acrylate,Experimental data,"30 wv% F127, 75 wt% acrylated F127",0.19,67.1,0
Pluronic F127 acrylate,Experimental data,"30 wv% F127, 100 wt% acrylated F127",0.42,66.5,0
Alginate,Sun 2012,"3 wt% Alginate, 10 wt% CaSO4/Alginate",0.02,3,1
Alginate,Sun 2012,"3 wt% Alginate, 13.3 wt% CaSO4/Alginate",0.05,4,1
Alginate,Sun 2012,"3 wt% Alginate, 16.6 wt% CaSO4/Alginate",0.10,6,1
Alginate,Sun 2012,"3 wt% Alginate, 19.9 wt% CaSO4/Alginate",0.14,8,1
Alginate,Sun 2012,"3 wt% Alginate, 23.3 wt% CaSO4/Alginate",0.15,10,1
Alginate,Sun 2012,"3 wt% Alginate, 26.6 wt% CaSO4/Alginate",0.17,8,1
Polyacrylamide,Sun 2012,"13.6 wt% Acrylamide, 0.015 wt% MBAA/Acrylamide",0.007,60,1
Polyacrylamide,Sun 2012,"13.6 wt% Acrylamide, 0.031 wt% MBAA/Acrylamide",0.013,100,1
Polyacrylamide,Sun 2012,"13.6 wt% Acrylamide, 0.038 wt% MBAA/Acrylamide",0.014,100,1
Polyacrylamide,Sun 2012,"13.6 wt% Acrylamide, 0.046 wt% MBAA/Acrylamide",0.016,100,1
Polyacrylamide,Sun 2012,"13.6 wt% Acrylamide, 0.062 wt% MBAA/Acrylamide",0.016,80,1
