colony,element,n_mutations
1,ChPy CDS,1
2,ChPy CDS,1
3,ChPy CDS,2
4,ChPy CDS,1
5,ChPy CDS,1
6,ChPy CDS,2
7,ChPy CDS,1
8,ChPy CDS,1
9,ChPy CDS,4
10,ChPy CDS,1
10,Promoter,3
11,ChPy CDS,0
11,Promoter,3
12,ChPy CDS,1
13,ChPy CDS,3
14,ChPy CDS,1
15,ChPy CDS,1
16,ChPy CDS,1
17,ChPy CDS,1
18,Promoter,1
19,Promoter,2
20,ChPy CDS,1
20,Promoter,2
21,Promoter,3
24,ChPy CDS,1
24,Promoter,3
25,ChPy CDS,2
25,Promoter,3
26,ChPy CDS,2
26,Promoter,1
27,Promoter,3
28,ChPy CDS,1
29,ChPy CDS,1
30,ChPy CDS,1
31,ChPy CDS,1
32,ChPy CDS,1
33,ChPy CDS,1
