cs_ratio_obs,f4_observado,cs_ratio_pred,f4_predicho,ci_80_upper,ci_80_lower
0,0.35178,0,0.26085,0.63506,-0.11336
0.0104,0.10206,0.00207,0.25694,0.62115,-0.10728
0.0204,0.38215,0.00414,0.25131,0.60776,-0.10514
0.0278,0.1458,0.00621,0.24424,0.59494,-0.10646
0.0444,0.37129,0.00827,0.23607,0.58271,-0.11057
0.0526,0.75917,0.01034,0.22724,0.57123,-0.11674
0.0537,0.60565,0.01241,0.21828,0.5607,-0.12414
0.0554,0.63686,0.01448,0.20978,0.55148,-0.13192
0.0556,0.71663,0.01655,0.20239,0.54401,-0.13923
0.0588,1.42988,0.01862,0.19683,0.53886,-0.1452
0.0633,1.08089,0.02069,0.19381,0.5366,-0.14899
0.1111,0.23815,0.02276,0.19405,0.53786,-0.14976
0.2048,0.24579,0.02482,0.19824,0.5432,-0.14672
