tiempo_h,pce_cs4_norm,pce_cs8_norm,pce_cs12_norm
0,1,1,1
10.00177,0.9987,0.99874,0.99248
20.00355,0.99638,0.99797,0.97995
30.00535,0.99185,0.99717,0.9683
40.00712,0.98833,0.99628,0.95751
50.00898,0.98691,0.99568,0.94784
60.0109,0.98203,0.99517,0.93206
70.01271,0.9799,0.99495,0.91318
80.01456,0.9717,0.99439,0.8978
90.01638,0.96695,0.99365,0.88378
100.01814,0.96374,0.99316,0.86911
110.0199,0.95415,0.99275,0.8539
120.0217,0.94973,0.99171,0.83823
130.02352,0.94063,0.99191,0.81965
140.02534,0.9338,0.9915,0.77863
150.02713,0.93015,0.99094,0.78036
160.02894,0.921,0.99044,0.76111
170.0307,0.91071,0.99032,0.74453
180.03245,0.9021,0.99003,0.72979
190.03421,0.89426,0.98959,0.71137
200.03598,0.88663,0.98924,0.6955
210.03778,0.87986,0.98919,0.68419
220.03944,0.87031,0.9881,0.67387
230.04121,0.8618,0.98816,0.66445
240.04296,0.85468,0.98845,0.65666
250.04464,0.84803,0.98787,0.65079
260.04637,0.83747,0.98804,0.64292
270.04815,0.826,0.98758,0.63611
280.04991,0.81579,0.98866,0.62927
290.05163,0.80683,0.98934,0.62251
300.05332,0.7987,0.9876,0.61595
310.05506,0.79442,0.98682,0.60907
320.05681,0.78895,0.98607,0.60218
330.05851,0.78137,0.98757,0.5941
340.06026,0.77507,0.98793,0.58719
350.06202,0.76768,0.98806,0.5808
360.06376,0.76059,0.98693,0.57441
370.06552,0.75429,0.98683,0.56714
380.06729,0.74794,0.98622,0.56088
390.06912,0.73823,0.98587,0.54772
400.07091,0.72922,0.98559,0.54074
410.07266,0.72447,0.98587,0.53417
420.07437,0.71793,0.98563,0.52591
430.0761,0.71107,0.98514,0.51665
440.07787,0.70512,0.98438,0.50709
450.07959,0.70068,0.98413,0.49842
460.08128,0.69473,0.98362,0.48992
470.083,0.68938,0.98449,0.48148
480.08479,0.68399,0.98391,0.47433
490.08655,0.67868,0.98332,0.46655
500.08827,0.67413,0.98327,0.45935
510.09005,0.66925,0.9824,0.45263
520.09178,0.66441,0.98264,0.4456
530.09347,0.65905,0.98234,0.43821
540.09521,0.65442,0.98206,0.42887
550.09693,0.65042,0.98128,0.42479
560.09866,0.6466,0.9819,0.41747
570.10038,0.64249,0.9821,0.41327
580.10204,0.63943,0.98134,0.40391
590.10377,0.6304,0.98126,0.39605
600.10551,0.62709,0.98005,0.38812
610.10729,0.62449,0.98062,0.38051
620.10902,0.62112,0.98083,0.37444
630.11078,0.61734,0.98157,0.36766
640.11251,0.61321,0.98131,0.36038
650.02469,0.61016,0.98069,0.35453
660.02642,0.6066,0.98077,0.34872
670.02816,0.60313,0.98039,0.34129
680.02996,0.60024,0.98001,0.33613
690.03169,0.59606,0.97983,0.33072
700.03346,0.59186,0.97947,0.32551
710.03522,0.58819,0.97949,0.3205
720.03696,0.58383,0.97939,0.3114
730.03865,0.57941,0.97889,0.30681
740.04046,0.5722,0.97894,0.30032
750.0422,0.57206,0.97884,0.29545
760.04402,0.56855,0.97866,0.29071
770.04572,0.56746,0.97861,0.28535
780.04762,0.56128,0.97833,0.27953
790.04935,0.55646,0.97785,0.27387
800.05113,0.55211,0.97788,0.26864
810.0529,0.54851,0.97781,0.26373
820.05468,0.54625,0.97716,0.26267
830.05646,0.54305,0.97702,0.26117
840.05834,0.53917,0.97702,0.25871
850.06013,0.53611,0.97666,0.25653
860.06196,0.53248,0.97597,0.25528
870.06378,0.52675,0.97589,0.25335
880.06555,0.52359,0.97598,0.25216
890.06732,0.52001,0.97504,0.24904
900.06909,0.51669,0.97605,0.24724
910.07081,0.51326,0.97534,0.24544
920.07255,0.50444,0.97507,0.24425
930.07431,0.50057,0.97496,0.24387
940.07609,0.4947,0.97325,0.24188
950.07787,0.49014,0.97284,0.24054
960.07973,0.48494,0.97205,0.24031
970.08164,0.47908,0.97133,0.2385
980.08343,0.47319,0.97086,0.23609
990.08519,0.46773,0.97138,0.23397
1000.08702,0.46258,0.9714,0.23197
