T_C,sample,tiempo_min,water_content_pct
65,Sample_1,0,100.0153
65,Sample_1,5,44.1244
65,Sample_1,10,10.76651
65,Sample_1,15,5.88325
65,Sample_1,20,2.94163
65,Sample_2,0,99.89777
65,Sample_2,5,42.9943
65,Sample_2,10,8.52983
65,Sample_2,15,4.24137
65,Sample_2,20,2.43347
65,Sample_3,0,99.06571
65,Sample_3,5,43.8146
65,Sample_3,10,9.35471
65,Sample_3,15,4.42893
65,Sample_3,20,2.57006
70,Sample_1,0,100.0
70,Sample_1,5,31.42857
70,Sample_1,10,7.71429
70,Sample_1,15,2.85714
70,Sample_1,20,0.14167
70,Sample_2,0,99.84654
70,Sample_2,5,30.07564
70,Sample_2,10,6.57611
70,Sample_2,15,2.54681
70,Sample_2,20,0.0
70,Sample_3,0,99.34712
70,Sample_3,5,29.77842
70,Sample_3,10,6.04538
70,Sample_3,15,2.31884
70,Sample_3,20,0.05476
80,Sample_1,0,100.00008
80,Sample_1,5,15.88235
80,Sample_1,10,3.94118
80,Sample_1,15,0.0
80,Sample_1,20,0.0
80,Sample_2,0,99.99997
80,Sample_2,5,17.00041
80,Sample_2,10,3.23337
80,Sample_2,15,0.15103
80,Sample_2,20,0.0
80,Sample_3,0,99.91556
80,Sample_3,5,18.79983
80,Sample_3,10,4.99685
80,Sample_3,15,0.40861
80,Sample_3,20,0.0
