subgrupo,auc_roc,auc_roc_lower,auc_roc_upper,auc_pr,auc_pr_lower,auc_pr_upper,f1,f1_lower,f1_upper
Overall,0.973,0.964,0.981,0.99,0.985,0.993,0.956,0.949,0.962
BI-RADS 4A,0.85,0.76,0.97,0.749,0.564,0.859,0.812,0.736,0.887
BI-RADS 4B,0.959,0.938,0.975,0.95,0.93,0.965,0.947,0.938,0.965
BI-RADS 4C,0.982,0.975,0.988,0.996,0.992,0.999,0.968,0.958,0.978
Age < 50,0.951,0.938,0.963,0.979,0.97,0.987,0.941,0.931,0.951
Age >= 50,0.975,0.956,0.989,0.988,0.975,0.995,0.97,0.962,0.977
T stage 1,0.959,0.947,0.969,0.98,0.972,0.988,0.941,0.931,0.95
T stage 2,0.967,0.956,0.977,0.977,0.965,0.987,0.965,0.955,0.975
T stage 3,0.965,0.946,0.98,0.878,0.807,0.94,0.901,0.842,0.927
Subtype 0,0.955,0.94,0.969,0.935,0.905,0.961,0.876,0.85,0.9
Subtype 1,0.96,0.948,0.969,0.983,0.975,0.989,0.964,0.954,0.974
Subtype 2,0.975,0.961,0.987,0.889,0.819,0.951,0.779,0.727,0.827
Subtype 3,0.953,0.928,0.974,0.844,0.771,0.912,0.77,0.715,0.821
