,year,CLASS-CTEM_GFDL-ESM2M_S2,CLASS-CTEM_HadGEM2-ES_S2,CLASS-CTEM_IPsL-CM5A-LR_S2,CLASS-CTEM_MIROC5_S2,ELM_GFDL-ESM2M_S2,ELM_HadGEM2-ES_S2,ELM_IPsL-CM5A-LR_S2,ELM_MIROC5_S2,JULES-ES-cs_GFDL-ESM2M_S2,JULES-ES-cs_HadGEM2-ES_S2,JULES-ES-cs_IPsL-CM5A-LR_S2,JULES-ES-cs_MIROC5_S2,JULES-ES-npp_GFDL-ESM2M_S2,JULES-ES-npp_HadGEM2-ES_S2,JULES-ES-npp_IPsL-CM5A-LR_S2,JULES-ES-npp_MIROC5_S2,JULES-ES-resps_GFDL-ESM2M_S2,JULES-ES-resps_HadGEM2-ES_S2,JULES-ES-resps_IPsL-CM5A-LR_S2,JULES-ES-resps_MIROC5_S2,LPJ_GFDL-ESM2M_S2,LPJ_HadGEM2-ES_S2,LPJ_IPsL-CM5A-LR_S2,LPJ_MIROC5_S2,VISIT_GFDL-ESM2M_S2,VISIT_HadGEM2-ES_S2,VISIT_IPsL-CM5A-LR_S2,VISIT_MIROC5_S2
1,2006,77.55668073,97.40180247,94.47930384,100.4720718,262.6355252,264.5736206,281.878915,273.7028967,204.0647165,226.2884708,216.0975153,225.5443381,194.7474765,227.0429629,219.1504667,234.9857626,194.3867523,224.8477627,217.9968073,231.5224655,117.7232656,147.6347286,138.1080062,151.0008509,187.8264335,201.3365252,209.6918329,203.4957281
2,2007,92.12993929,103.2033805,91.93632188,99.03057428,277.0893966,266.4670425,286.5168708,262.1262304,230.1909237,230.5256949,223.2542717,220.330964,219.7203236,233.1682584,228.0229552,228.7677087,232.5164577,235.2336448,224.6422638,222.9137241,136.2594109,156.9464333,137.2744596,144.2661748,193.256144,202.831075,208.3513743,200.4743376
3,2008,102.5577793,101.5868984,91.96871845,95.98828699,268.8159102,263.1663,286.9744545,261.8877402,237.9436182,227.1521078,219.191435,222.1111479,246.8815982,225.6541843,218.9872032,223.4186707,242.8821293,227.7742844,219.0208816,223.1635415,130.0621961,151.9724128,133.915611,143.4310323,205.5457281,201.3386141,207.996762,198.4091309
4,2009,91.19670239,107.0525189,92.55964369,93.56944182,267.1209195,269.4268669,291.1886997,267.8125266,224.8087195,227.5753857,214.9777747,224.0853221,225.5830513,228.5816236,212.8799117,218.7279306,222.0410647,231.0738465,213.9027809,221.3641185,122.4798378,158.8348535,131.9896022,147.6731317,197.8288464,204.95723,198.6890509,187.4001125
5,2010,90.46747985,104.7011154,98.5399609,105.6601241,274.1409085,265.8093339,283.4141389,285.7201266,220.4621213,229.5023011,226.2013569,231.5462843,209.2763853,225.6424088,220.2404073,231.2115008,215.3499716,226.7781205,225.0079924,236.1846722,125.0008175,149.8468165,144.1013634,156.7443085,191.3849492,201.9001369,210.2630634,199.0372163
6,2011,99.91066354,114.5563578,104.0106456,106.5943071,280.0626974,276.2562238,297.7499822,271.4388323,229.4205516,227.1181709,238.1732645,234.300364,229.1805227,228.0583238,241.654258,239.6392177,232.7122909,231.5892484,240.6787891,237.1955937,139.856147,157.3113548,153.6932971,150.850949,196.7812388,206.4510466,220.6068843,201.0972561
7,2012,97.11837009,114.823934,99.11788505,105.9104588,278.4852619,266.1810636,287.9192108,264.622982,233.6044366,241.6495382,235.0580352,224.9803034,239.0769273,249.6589819,234.8288404,226.1703628,230.5121822,249.4640386,230.5675551,224.2920019,123.8400347,159.4182885,142.381733,144.8742631,203.3116625,217.3698994,225.5521917,199.5572139
8,2013,88.3150989,115.9535078,102.0183117,100.0918362,270.3789767,271.0040872,293.5608514,282.220286,216.0299608,240.6643805,231.1288727,225.293832,208.544586,246.439078,230.1070344,211.3120531,210.2362042,240.1467004,229.5475819,218.1309884,120.5994102,150.3744149,143.6466355,145.953477,189.8468901,207.9523811,212.7403832,192.0069459
9,2014,83.75480792,115.0387601,105.7430367,118.598941,268.3824373,265.9216255,297.6126136,290.9565259,202.7495265,234.8330635,236.1198352,238.0793593,192.8855894,231.5594555,238.4942452,230.8971012,194.3975539,230.9583879,236.4684746,241.357934,115.7260282,150.7154255,136.6450834,173.6055669,182.8970221,208.2577813,209.8121871,203.5202781
10,2015,96.82943173,119.3267066,101.3296627,118.5720933,288.3079284,276.6058045,298.8697673,279.8734507,219.2599387,237.2945714,233.7761289,240.3684908,202.7740186,234.2220664,233.0508985,254.5445876,216.3040347,240.4939185,230.223588,245.713052,137.9912321,157.848547,137.9206878,150.1311779,188.627362,210.1766087,214.8019044,208.6725078
11,2016,99.12273094,110.3207894,101.1445846,114.2773082,276.0657644,274.9984963,288.5108123,270.8163773,237.0959682,231.648489,237.6063162,236.9824459,243.0748407,232.0034288,229.9427105,254.1731437,239.7441851,231.5516946,232.3629472,240.723451,135.0280133,153.0271142,142.5368659,144.8989589,204.4873925,207.9314311,212.9372307,205.5513982
12,2017,93.60233291,109.1834818,101.4383111,101.609817,281.7661078,282.7897923,298.8492907,274.7477634,221.5323308,235.7116556,232.7205206,234.6716322,218.3741798,234.6443191,225.7809181,237.9714792,218.1305315,236.5285158,231.9038568,233.027978,137.4595741,153.7331759,151.2299606,141.6989495,201.2669977,204.0705869,214.8854073,199.461268
13,2018,98.56987772,106.1974987,100.0546137,103.337442,291.5294724,268.8498656,302.7152942,278.0756673,232.6866902,235.3892688,234.6938625,234.0196305,234.2681661,233.1646722,235.8930387,223.5309303,237.3248018,235.6706491,235.8015833,227.9936086,143.2620781,155.1473154,144.8332154,154.5407109,205.4438258,206.8010831,218.0946127,199.3535712
14,2019,96.31992144,103.5787618,98.08499252,105.6442592,285.9307091,281.135457,301.3382824,290.2859017,241.666303,240.5431902,233.4112124,238.1610104,251.8771951,242.2744482,230.1405065,228.4475504,241.7394614,239.6859321,229.5840878,239.0486787,124.8796084,155.2893226,146.2466166,165.4800871,209.8362279,208.5118616,217.2369958,202.7153314
15,2020,88.62543308,104.1522155,99.89396744,114.9640844,281.5909758,276.2641284,298.6122258,280.9346068,225.056828,236.5532313,237.7087539,237.6684885,224.3485472,236.0133785,233.7214957,247.762431,222.142343,232.7638708,233.3437132,244.0399551,127.9669298,153.9802563,148.5051646,158.2919732,193.7354113,211.0300496,215.089963,211.4248471
16,2021,93.30162147,111.8461398,98.5935307,108.3881292,288.6388381,277.2152931,312.2079996,282.8638731,225.9101789,243.9725018,232.1327106,237.5521544,213.8475979,242.6600118,235.9747288,248.1466771,221.7080285,240.6341443,233.3991663,240.19962,130.3522186,160.2986318,141.5060158,145.771788,191.1169288,218.6808491,221.550989,204.2445737
17,2022,99.43318304,105.0603609,98.34062262,102.762157,297.1243389,279.1891303,312.4330587,277.1471314,229.7751829,243.3301978,233.2839482,234.7055341,223.559448,237.5241266,230.504314,235.1329223,231.0738823,238.7394608,230.4752372,230.5634317,140.9712496,157.6770948,142.6814917,148.8989687,203.0454798,210.4418053,226.8019717,204.2569897
18,2023,94.2170762,102.614501,100.9758232,98.48902563,297.1385959,285.9572051,300.1532063,286.8089304,233.3093621,231.2773594,230.3861843,239.9558865,239.5781556,224.4503719,228.85952,232.3728476,234.1703825,228.1544181,230.4707637,234.9703848,135.27141,160.9041767,150.0444091,153.3394316,212.8684011,207.9644994,221.6081369,202.3439956
19,2024,93.4834107,110.5834383,103.0630087,102.5853808,281.1031663,297.1592761,302.5347428,285.245258,233.5362392,244.6893216,240.5797017,240.2273308,235.5703262,245.7400616,243.1589668,230.8991843,229.5555506,245.9844651,239.960781,237.7556738,134.8459614,165.0963616,139.3577007,157.5194265,209.8656549,217.7145949,227.1890375,199.4462168
