condicion,tratamiento,replica,cfu_per_ml
Control,Sin Bip-FK9,1,113000000
Control,Sin Bip-FK9,2,52800000
Control,Sin Bip-FK9,3,119000000
Bip-FK9,Con Bip-FK9,1,4000
Bip-FK9,Con Bip-FK9,2,94000
Bip-FK9,Con Bip-FK9,3,20000
Lysyl-PG,Sin Bip-FK9,1,29000000
Lysyl-PG,Sin Bip-FK9,2,119000000
Lysyl-PG,Sin Bip-FK9,3,82600000
Lysyl-PG,Con Bip-FK9,1,146000
Lysyl-PG,Con Bip-FK9,2,886000
Lysyl-PG,Con Bip-FK9,3,120000
CL,Sin Bip-FK9,1,48200000
CL,Sin Bip-FK9,2,178000000
CL,Sin Bip-FK9,3,72400000
CL,Con Bip-FK9,1,14000
CL,Con Bip-FK9,2,728000
CL,Con Bip-FK9,3,427000
PA,Sin Bip-FK9,1,31200000
PA,Sin Bip-FK9,2,124000000
PA,Sin Bip-FK9,3,98600000
PA,Con Bip-FK9,1,62000
PA,Con Bip-FK9,2,55000
PA,Con Bip-FK9,3,412000
PG,Sin Bip-FK9,1,132000000
PG,Sin Bip-FK9,2,86000000
PG,Sin Bip-FK9,3,69600000
PG,Con Bip-FK9,1,79200000
PG,Con Bip-FK9,2,77800000
PG,Con Bip-FK9,3,103000000
