tracto,CN_FA_media,MS_FA_media,diferencia_FA,cohens_d,p_mannwhitney,CN_n,MS_n
T_OCC_right,0.4509,0.4162,0.0348,1.25,2.6285769503753632e-06,38,33
ST_OCC_right,0.4693,0.4363,0.033,1.25,2.7809944301715797e-06,38,33
T_OCC_left,0.4619,0.4355,0.0264,1.21,4.3721382003629016e-05,38,33
OR_left,0.4629,0.4344,0.0285,1.21,4.3721382003629016e-05,38,33
OR_right,0.4555,0.4201,0.0354,1.21,5.126306413871143e-06,38,33
ST_OCC_left,0.4771,0.4499,0.0273,1.18,2.0460236212026807e-05,38,33
IFO_right,0.4478,0.4251,0.0227,1.08,6.801568668571365e-05,38,33
ILF_left,0.4502,0.4246,0.0256,1.04,6.801568668571365e-05,38,33
IFO_left,0.4545,0.4319,0.0226,1.02,5.595824029522852e-05,38,33
FX_right,0.4897,0.4381,0.0516,0.95,0.0011165532961624086,37,30
CC_6,0.5013,0.4814,0.0199,0.89,0.0016156577286479316,38,33
MLF_right,0.4126,0.3949,0.0177,0.86,0.001965329072799583,38,33
CC_7,0.5257,0.4946,0.0311,0.85,0.0018178686500834869,38,33
ILF_right,0.4414,0.4227,0.0187,0.78,0.0022936924887404886,38,33
CC,0.4763,0.4583,0.018,0.72,0.009976684071032482,38,33
FX_left,0.4764,0.4302,0.0461,0.71,0.006583638010002085,37,30
CA,0.4036,0.3706,0.033,0.7,0.01587007337221162,37,33
MLF_left,0.4165,0.4017,0.0148,0.65,0.020806402593101497,38,33
CC_1,0.4657,0.4452,0.0205,0.63,0.00517907659360837,38,33
UF_left,0.388,0.3737,0.0142,0.61,0.013841501871495234,38,33
CC_5,0.496,0.4755,0.0205,0.61,0.030648427476890026,38,33
ST_PAR_right,0.4315,0.4203,0.0112,0.55,0.07872920362197747,38,33
ST_PAR_left,0.4263,0.4153,0.011,0.54,0.06765782471039516,38,33
CC_4,0.4921,0.4766,0.0155,0.52,0.043045853246843346,38,33
CC_2,0.4568,0.4414,0.0153,0.49,0.06940865857089269,38,33
T_PAR_right,0.4287,0.4199,0.0088,0.42,0.20681247922981794,38,33
UF_right,0.3835,0.3751,0.0084,0.41,0.07678776935429922,38,33
