sample_id,potential_source_area,site,sr87_sr86,epsilon_nd,reference
,Australia,Simpson Desert,0.732072,-15.4,"Revel-Roland et al., 2006"
AU-C10,Australia,Fowler's gap,0.721822,-11.7,"Grousset et al., 1992"
,Australia,Marryat,0.71455,-11.5,"Revel-Roland et al., 2006"
,Australia,Uluru,0.72098,-11,"Revel-Roland et al., 2006"
,Australia,Simpson desert,0.719079,-10.8,"Revel-Roland et al., 2006"
,Australia,Brown's Creek Australia,0.719663,-10.01,"Delmonte et al., 2004"
AU-C10<5um,Australia,Fowler's gap,0.740074,-9.9,"Grousset et al., 1992"
,Australia,Wagga Wagga,0.716907,-9.4,"Revel-Roland et al., 2006"
,Australia,Wagga Wagga,0.717251,-9,"Revel-Roland et al., 2006"
,Australia,Wagga Wagga,0.719244,-8.8,"Revel-Roland et al., 2006"
,Australia,Wagga Wagga,0.718368,-8.7,"Revel-Roland et al., 2006"
,Australia,Brown's Creek,0.714385,-8,"Revel-Roland et al., 2006"
,Australia,Brown's Creek,0.714161,-8,"Revel-Roland et al., 2006"
,Australia,Coober Pedy,0.71188,-8,"Revel-Roland et al., 2006"
,Australia,Canberra,0.717,-7.16,"Delmonte et al., 2004"
,Australia,Canberra,0.712141,-6.8,"Revel-Roland et al., 2006"
,Australia,Woomera,0.715622,-6.6,"Revel-Roland et al., 2006"
,Australia,Eastern Tasman Sea,0.711128,-5.6,"Revel-Roland et al., 2006"
,Australia,Eastern Tasman Sea,0.711945,-4.6,"Revel-Roland et al., 2006"
,Australia,Lake Eyre Williams Point unit,0.709867,-4,"Revel-Roland et al., 2006"
AUE12-M,Australia,Fowler's gap,0.723238,-3.7,"Grousset et al., 1992"
AUE6-L,Australia,Great Sandy Desert,0.732307,-3.7,"Grousset et al., 1992"
,Australia,Lake Eyre Griffbo,0.709033,-3.3,"Revel-Roland et al., 2006"
,Australia,Lake Eyre Selly Island Unit,0.70926,-3,"Revel-Roland et al., 2006"
,Australia,Lake Eyre Franck Site,0.709527,-2.9,"Revel-Roland et al., 2006"
A1,Dry Valleys,Pearse Valley,0.713913,-12.5,"Delmonte et al., 2004"
A9,Dry Valleys,Bull pass,0.7156,-9.93,"Delmonte et al., 2004"
,Dry Valleys,Dry Valleys,0.712148,-8.114888088672778,"Delmonte et al., 2013"
,Dry Valleys,Dry Valleys,0.712705,-7.685735353212264,"Delmonte et al., 2013"
,Dry Valleys,Dry Valleys,0.712705,-7.646721468171913,"Delmonte et al., 2013"
LVD5,Dry Valleys,"Dry Valleys, dunes (Augustinus)",0.7121379866737064,-7.628919903734249,"Blakowski et al., 2016"
,Dry Valleys,Dry Valleys,0.712244,-7.588200640609166,"Delmonte et al., 2013"
DV1,Dry Valleys,Dry Valleys,0.71154404,-7.288964142339038,"Blakowski et al., 2016"
TAYLOR-2,Dry Valleys,Taylor Valley - Goldman Ponds,0.71166206,-7.28,"Blakowski et al., 2016"
DV2,Dry Valleys,Dry Valleys,0.71414667,-7.084726454146262,"Blakowski et al., 2016"
A7,Dry Valleys,Lake Hoarse,0.711757,-6.48,"Delmonte et al., 2004"
,Dry Valleys,Dry Valleys (Mt. Gran),0.713736,-5.735041101128102,"Delmonte et al., 2013"
A8,Dry Valleys,South Shore,0.708914,-5.11,"Delmonte et al., 2004"
,Dry Valleys,Dry Valleys (Mt. Peleus),0.715768,-3.959909331732181,"Delmonte et al., 2013"
DV3,Dry Valleys,Dry Valleys,0.7116149903555086,-3.695268132522949,"Blakowski et al., 2016"
TAYLOR-4,Dry Valleys,Taylor Valley,0.71134432,-3.602932283600646,"Blakowski et al., 2016"
A3,Dry Valleys,Hanson Ridge,0.709797,-2.85,"Delmonte et al., 2004"
A4,Dry Valleys,Hanson Ridge,0.710038,-1.03,"Delmonte et al., 2004"
TAYLOR-1,Dry Valleys,Taylor Valley - Marr Glacier,0.71240262,0.51155977,"Blakowski et al., 2016"
TAYLOR-5,Dry Valleys,Taylor Valley,0.7106944,2.4734803116421844,"Blakowski et al., 2016"
,Marie Byrd Land,Takahe,0.703597,2.613930297792333,"P. Kyle, unpublished (from Panter et al., 2000)"
,Marie Byrd Land,Takahe,0.70341,2.965055263166594,"P. Kyle, unpublished (from Panter et al., 2000)"
,Marie Byrd Land,Mt. Sidley,0.705202,3.2966732860217896,"Panter et al., 1997"
,Marie Byrd Land,Mt. Sidley,0.705332,3.413714941145063,"Panter et al., 1997"
,Marie Byrd Land,Mt. Sidley,0.704119,3.628291308874765,"Panter et al., 1997"
,Marie Byrd Land,Mt. Sidley,0.703201,3.725826021478973,"Panter et al., 1997"
,Marie Byrd Land,Mt. Sidley,0.703337,3.842867676606687,"Panter et al., 1997"
,Marie Byrd Land,Mt. Sidley,0.703165,4.154978756938377,"Panter et al., 1997"
,Marie Byrd Land,Mt. Sidley,0.703124,4.233006527021299,"Panter et al., 1997"
,Marie Byrd Land,Mt. Sidley,0.704044,4.3110342971042215,"Panter et al., 1997"
9d,Marie Byrd Land,Mt. Flint,0.7029,4.330541239625507,"Hole & LeMasurier, 1994"
,Marie Byrd Land,Mt. Sidley,0.703016,4.447582894753221,"Panter et al., 1997"
pt67d,Marie Byrd Land,Mt. Petras,0.70309,4.525610664836144,"Hole & LeMasurier, 1994"
,Marie Byrd Land,Mt. Waesche,0.702732,4.662159262480703,"Panter et al., 1997"
,Marie Byrd Land,Mt. Sidley,0.709201,4.701173147521054,"Panter et al., 1997"
