outcome,algorithmic_mean,algorithmic_se,algorithmic_n,control_mean,control_se,control_n,diff,cohens_d,p_value
blame_prescriptive,4.10485651214128,0.05476388973161452,906,3.955043859649123,0.05310605832286936,912,0.14981265249215747,0.0921269090713293,0.02982235437791993
praise_prescriptive,5.71523178807947,0.038739827233070546,906,5.619517543859649,0.03990421898868787,912,0.09571424421982133,0.08071725092534089,0.10503646273044355
emotion_prescriptive,5.21523178807947,0.041951670761113634,906,5.025219298245614,0.04280658934661153,912,0.19001248983385643,0.14869445919756882,0.0013514641012430965
poli_prescriptive,5.374172185430464,0.046856153955620684,906,5.235745614035087,0.046910370934530404,912,0.13842657139537629,0.09792996441854643,0.022372280903491113
blame_descriptive,54.40176600441501,0.6645782393248036,906,55.75,0.6256537013156689,912,-1.348233995584991,-0.06929981775613896,0.1202450728186095
praise_descriptive,56.70860927152318,0.6674617539158878,906,49.86513157894737,0.6429379928108712,912,6.84347769257581,0.34641474253487325,1.1324637101307054e-13
emotion_descriptive,47.205298013245034,0.7693101465001616,906,44.03947368421053,0.785711978032289,912,3.165824329034507,0.1350334992493079,0.004037008914295858
political_descriptive,79.82560706401766,0.5257234189771539,906,77.27741228070175,0.5152936883287137,912,2.548194783315907,0.1623780723653247,6.351426817351239e-06
affect_polarization,3.162251655629139,0.03423788842169659,906,3.2960526315789473,0.034485483843989154,912,-0.13380097594980844,-0.12914790144608704,0.0030658392982016312
poli_extreme,2.7428256070640176,0.03720698976510365,906,2.9451754385964914,0.032935794534627055,912,-0.20234983153247388,-0.19108910585683955,0.00016749197433986373
