year,month,lat,lon,mucape_jkg,shr6_ms,tcw_kgm2,hmelt_m,flh_m
2014,4,14.25,104.75,2261,2.14,49.96,4708,4823
2014,4,6.25,290.75,2713,1.35,56.0,4787,4880
2014,4,8.25,80.25,1904,2.6,52.07,4744,4832
2014,4,1.25,11.5,2876,12.14,45.29,4192,4841
2014,4,10.0,354.5,2071,5.25,46.27,4486,4831
2014,4,2.0,14.25,4697,7.08,48.15,4416,5008
2014,4,0.75,15.0,3094,7.61,48.24,4572,5018
2014,4,-0.75,16.5,3665,8.04,49.5,4689,5002
2014,4,2.5,23.75,2420,9.32,45.67,4441,4903
2014,4,7.5,357.0,1137,8.78,51.92,4737,4993
2014,4,8.5,286.0,2612,12.99,44.17,4983,5108
2014,4,2.25,290.25,1773,3.77,51.02,4813,5003
2014,4,6.0,7.25,2576,8.78,55.53,4743,4923
2014,4,7.0,5.75,2342,7.1,56.01,4683,4851
2014,4,4.0,14.75,2421,7.34,49.47,4285,4923
2014,4,-3.5,302.75,642,3.27,59.45,4526,4627
2014,4,11.75,107.25,2130,2.21,47.9,4697,5026
2014,4,-14.75,126.0,1561,4.49,55.89,4664,4852
2014,4,15.5,99.75,2501,3.43,48.43,4678,4785
2014,4,5.0,9.0,1935,11.33,50.94,4602,4981
2014,4,3.25,11.25,2770,14.68,46.62,4304,5015
2014,4,2.0,11.75,2102,10.24,46.3,4359,4975
2014,4,17.25,106.25,1757,6.05,47.06,4413,4932
2014,4,8.75,354.25,3026,7.83,47.87,4456,4794
2014,4,7.25,352.75,1872,8.31,47.63,4508,4817
2014,4,5.75,355.75,3016,9.82,57.98,4685,4753
2014,4,6.25,25.5,2442,5.2,48.6,4339,4996
2014,4,6.25,27.5,2823,4.79,49.3,4412,4991
2014,4,5.0,28.0,1803,6.49,47.08,4380,5022
2014,4,14.5,101.0,2008,2.53,52.57,4833,4952
2014,4,13.5,101.5,2549,4.17,53.36,4935,5007
2014,4,-5.5,18.5,3024,1.41,46.88,4346,4991
2014,4,1.25,118.0,2279,6.42,50.35,4933,5111
