anio,dpco2_undersaturated_uatm,dpco2_supersaturated_uatm,dpco2_prestorm_uatm
1993,-12.091525162260016,18.368457733256527,12.9900332710622
1994,-12.751851249403332,18.888936602464334,13.770761272724322
1995,-19.06934561040089,21.503363591373066,15.187464319548873
1996,-16.162337136512004,19.528288743205714,11.903523830903636
1997,-14.212726096958745,17.601706099531487,10.250360728871597
1998,-12.099864920975616,22.73073254909168,16.750700811993422
1999,-11.198838201169702,19.552811604998908,14.468843982883838
2000,-15.342083671151247,19.622271964827416,13.26402346067306
2001,-15.305429024266155,20.226529455134344,12.884218710162013
2002,-18.52091970636477,19.677507867067884,11.528873762965409
2003,-18.04130677212274,18.746095874228136,9.173250469412467
2004,-18.01987580690412,19.379511416624194,10.770633326196306
2005,-15.49436725926299,19.248828370213186,11.653428565339786
2006,-15.763187821092442,18.012430116268,10.937930281843439
2007,-15.373362233782183,17.678654453896478,10.375193081886597
2008,-14.470761124680129,17.782268717163042,11.15415398317721
2009,-14.821463990767098,16.986182910883844,10.35028470610125
2010,-15.414174582281428,19.757934791766054,13.207471018132921
2011,-17.035135136205895,18.661069086260845,10.320714817759765
2012,-16.789393085454034,19.052704511823247,10.072429876193691
2013,-13.065458315209716,17.99846648018687,12.413550101138735
2014,-19.886032279360098,19.723626960291636,10.858248045592907
2015,-15.64542617504658,19.037114968852624,12.23684946092366
2016,-15.233165662238164,22.19344867534607,14.208381039336823
2017,-16.208950706542698,21.071500424457916,13.027534103612139
2018,-17.0095519376155,18.046997280402618,9.319851453695927
2019,-15.927481402053477,20.355041087650683,13.37546573476782
2020,-17.94732199548834,23.749336777762956,15.215669278369072
