ligand,log_conc_M,response_pct,replicate
dGP1_035,-13.0,109.663,1
dGP1_035,-13.0,103.326,2
dGP1_035,-13.0,102.677,3
dGP1_035,-12.0,130.371,1
dGP1_035,-12.0,137.162,2
dGP1_035,-12.0,106.478,3
dGP1_035,-11.0,120.881,1
dGP1_035,-11.0,97.61,2
dGP1_035,-11.0,84.278,3
dGP1_035,-10.0,104.815,1
dGP1_035,-10.0,134.216,2
dGP1_035,-10.0,96.354,3
dGP1_035,-9.0,74.607,1
dGP1_035,-9.0,139.997,2
dGP1_035,-9.0,47.368,3
dGP1_035,-8.0,64.322,1
dGP1_035,-8.0,49.46,2
dGP1_035,-8.0,31.313,3
dGP1_035,-7.0,8.987,1
dGP1_035,-7.0,0.661,2
dGP1_035,-7.0,5.922,3
dGP1_035,-6.0,-15.797,1
dGP1_035,-6.0,-13.579,2
dGP1_035,-6.0,0.542,3
dGP1_040,-13.0,109.663,1
dGP1_040,-13.0,103.326,2
dGP1_040,-13.0,102.677,3
dGP1_040,-12.0,161.985,1
dGP1_040,-12.0,99.9,2
dGP1_040,-12.0,91.886,3
dGP1_040,-11.0,150.895,1
dGP1_040,-11.0,107.084,2
dGP1_040,-11.0,102.847,3
dGP1_040,-10.0,151.107,1
dGP1_040,-10.0,90.765,2
dGP1_040,-10.0,132.366,3
dGP1_040,-9.0,118.189,1
dGP1_040,-9.0,132.83,2
dGP1_040,-9.0,105.685,3
dGP1_040,-8.0,31.81,1
dGP1_040,-8.0,75.323,2
dGP1_040,-8.0,32.455,3
dGP1_040,-7.0,-5.355,1
dGP1_040,-7.0,13.557,2
dGP1_040,-7.0,5.304,3
dGP1_040,-6.0,-27.779,1
dGP1_040,-6.0,-11.784,2
dGP1_040,-6.0,-0.095,3
exendin_9_39,-6.0,0.0,1
exendin_9_39,-6.0,0.0,2
exendin_9_39,-6.477,1.79,1
exendin_9_39,-6.477,1.669,2
exendin_9_39,-6.954,9.997,1
exendin_9_39,-6.954,8.369,2
exendin_9_39,-7.431,30.001,1
exendin_9_39,-7.431,23.818,2
exendin_9_39,-7.908,54.062,1
exendin_9_39,-7.908,56.548,2
exendin_9_39,-8.386,78.502,1
exendin_9_39,-8.386,76.192,2
exendin_9_39,-8.863,89.792,1
exendin_9_39,-8.863,93.816,2
exendin_9_39,-9.34,90.345,1
exendin_9_39,-9.34,97.609,2
exendin_9_39,-9.817,103.546,1
exendin_9_39,-9.817,105.912,2
exendin_9_39,-10.294,101.994,1
exendin_9_39,-10.294,102.022,2
exendin_9_39,-10.771,103.182,1
exendin_9_39,-10.771,114.359,2
exendin_9_39,-11.248,100.0,1
exendin_9_39,-11.248,100.0,2
mGl1_008,-4.796,3.352,2
mGl1_008,-5.273,9.334,2
mGl1_008,-5.75,20.696,2
mGl1_008,-6.227,26.497,2
mGl1_008,-6.704,38.47,2
mGl1_008,-7.181,63.224,2
mGl1_008,-7.659,78.769,2
mGl1_008,-8.136,102.954,2
mGl1_008,-8.613,116.045,2
mGl1_008,-9.09,113.259,2
mGl1_008,-9.567,121.194,2
mGl1_008,-10.044,114.589,2
