timepoint,group,lineages_count,mouse_id
15 min,Control,15.0,m1
15 min,Control,26.4,m2
15 min,Control,14.52,m3
15 min,Control,11.2,m4
15 min,Control,33.9,m5
15 min,AMD3100,1276.0,m1
15 min,AMD3100,1524.0,m2
15 min,AMD3100,2508.0,m3
15 min,AMD3100,2145.0,m4
15 min,AMD3100,1386.0,m5
15 min,dCX1_001,6248.0,m1
15 min,dCX1_001,2057.0,m2
15 min,dCX1_001,1392.0,m3
15 min,dCX1_001,2178.0,m4
15 min,dCX1_001,3267.0,m5
30 min,Control,15.0,m1
30 min,Control,26.4,m2
30 min,Control,14.52,m3
30 min,Control,11.2,m4
30 min,Control,33.9,m5
30 min,AMD3100,900.0,m1
30 min,AMD3100,2208.0,m2
30 min,AMD3100,833.0,m3
30 min,AMD3100,8580.0,m4
30 min,AMD3100,10285.0,m5
30 min,dCX1_001,8952.0,m1
30 min,dCX1_001,4068.0,m2
30 min,dCX1_001,13944.0,m3
30 min,dCX1_001,15810.0,m4
30 min,dCX1_001,928.0,m5
45 min,Control,15.0,m1
45 min,Control,26.4,m2
45 min,Control,14.52,m3
45 min,Control,11.2,m4
45 min,Control,33.9,m5
45 min,AMD3100,2002.0,m1
45 min,AMD3100,1980.0,m2
45 min,AMD3100,3740.0,m3
45 min,AMD3100,2622.0,m4
45 min,AMD3100,2541.0,m5
45 min,dCX1_001,6600.0,m1
45 min,dCX1_001,4692.0,m2
45 min,dCX1_001,9163.0,m3
45 min,dCX1_001,4296.0,m4
45 min,dCX1_001,1392.0,m5
1 h,Control,15.0,m1
1 h,Control,26.4,m2
1 h,Control,14.52,m3
1 h,Control,11.2,m4
1 h,Control,33.9,m5
1 h,AMD3100,6148.0,m1
1 h,AMD3100,2667.0,m2
1 h,AMD3100,1254.0,m3
1 h,AMD3100,495.0,m4
1 h,AMD3100,1254.0,m5
1 h,dCX1_001,14040.0,m1
1 h,dCX1_001,1694.0,m2
1 h,dCX1_001,1160.0,m3
1 h,dCX1_001,7326.0,m4
1 h,dCX1_001,19602.0,m5
3 h,Control,15.0,m1
3 h,Control,26.4,m2
3 h,Control,14.52,m3
3 h,Control,11.2,m4
3 h,Control,33.9,m5
3 h,AMD3100,1959.2,m1
3 h,AMD3100,1929.0,m2
3 h,AMD3100,1587.8,m3
3 h,AMD3100,2186.2,m4
3 h,AMD3100,2084.0,m5
3 h,dCX1_001,1419.6,m1
3 h,dCX1_001,1432.9,m2
3 h,dCX1_001,1350.3,m3
3 h,dCX1_001,1117.8,m4
3 h,dCX1_001,710.4,m5
6 h,Control,15.0,m1
6 h,Control,26.4,m2
6 h,Control,14.52,m3
6 h,Control,11.2,m4
6 h,Control,33.9,m5
6 h,AMD3100,900.2,m1
6 h,AMD3100,1074.4,m2
6 h,AMD3100,836.4,m3
6 h,AMD3100,712.6,m4
6 h,AMD3100,633.6,m5
6 h,dCX1_001,585.2,m1
6 h,dCX1_001,743.6,m2
6 h,dCX1_001,710.4,m3
6 h,dCX1_001,605.7,m4
6 h,dCX1_001,760.8,m5
24 h,Control,15.0,m1
24 h,Control,26.4,m2
24 h,Control,14.52,m3
24 h,Control,11.2,m4
24 h,Control,33.9,m5
24 h,AMD3100,440.4,m1
24 h,AMD3100,391.6,m2
24 h,AMD3100,427.2,m3
24 h,AMD3100,462.8,m4
24 h,AMD3100,388.8,m5
24 h,dCX1_001,310.5,m1
24 h,dCX1_001,388.8,m2
24 h,dCX1_001,326.9,m3
24 h,dCX1_001,501.6,m4
24 h,dCX1_001,433.8,m5
48 h,Control,15.0,m1
48 h,Control,26.4,m2
48 h,Control,14.52,m3
48 h,Control,11.2,m4
48 h,Control,33.9,m5
48 h,AMD3100,72.9,m1
48 h,AMD3100,92.8,m2
48 h,AMD3100,42.8,m3
48 h,AMD3100,48.72,m4
48 h,AMD3100,69.6,m5
48 h,dCX1_001,198.1,m1
48 h,dCX1_001,159.0,m2
48 h,dCX1_001,121.5,m3
48 h,dCX1_001,165.0,m4
48 h,dCX1_001,163.8,m5
72 h,Control,12.3,m1
72 h,Control,24.8,m2
72 h,Control,20.04,m3
72 h,Control,13.1,m4
72 h,Control,39.3,m5
72 h,AMD3100,116.9,m1
72 h,AMD3100,15.6,m2
72 h,AMD3100,53.4,m3
72 h,AMD3100,19.8,m4
72 h,AMD3100,35.6,m5
72 h,dCX1_001,130.9,m1
72 h,dCX1_001,126.0,m2
72 h,dCX1_001,19.8,m3
72 h,dCX1_001,38.6,m4
72 h,dCX1_001,53.6,m5
