timepoint,group_vs_control,mean_diff,ci_95,significant,stars,p_adjusted
15 min,AMD3100,-1748.0,-2578 to -917.6,Yes,**,0.0037
15 min,dCX1_001,-3008.0,-6000 to -16.76,Yes,*,0.0491
30 min,AMD3100,-4541.0,-11580 to 2498,No,ns,0.1683
30 min,dCX1_001,-8720.0,-18566 to 1126,No,ns,0.0723
45 min,AMD3100,-2557.0,-3669 to -1444,Yes,**,0.0026
45 min,dCX1_001,-5208.0,-9696 to -720.5,Yes,*,0.031
1 h,AMD3100,-2343.0,-5857 to 1170,No,ns,0.1553
1 h,dCX1_001,-8744.0,-21179 to 3691,No,ns,0.1362
3 h,AMD3100,-1929.0,-2282 to -1577,Yes,****,<0.0001
3 h,dCX1_001,-1186.0,-1660 to -711.9,Yes,**,0.0019
6 h,AMD3100,-811.2,-1077 to -545.3,Yes,***,0.0009
6 h,dCX1_001,-660.9,-785.6 to -536.3,Yes,****,<0.0001
24 h,AMD3100,-402.0,-449.9 to -354.0,Yes,****,<0.0001
24 h,dCX1_001,-372.1,-493.4 to -250.8,Yes,***,0.0008
48 h,AMD3100,-45.16,-75.04 to -15.28,Yes,**,0.0088
48 h,dCX1_001,-141.3,-182.0 to -100.5,Yes,***,0.0002
72 h,AMD3100,-26.35,-88.66 to 35.95,No,ns,0.4077
72 h,dCX1_001,-51.87,-130.2 to 26.50,No,ns,0.1648
