ligand,log_conc_M,response_pct,replicate
mM1_034,-5.0,95.001,1
mM1_034,-5.0,99.398,2
mM1_034,-5.0,95.565,3
mM1_060,-5.0,19.095,1
mM1_060,-5.0,19.015,2
mM1_060,-5.0,27.909,3
mM1_068,-5.0,95.912,1
mM1_068,-5.0,96.005,2
mM1_068,-5.0,91.791,3
BAM(8-22),-7.0,95.232,1
BAM(8-22),-7.0,98.491,2
BAM(8-22),-7.0,98.999,3
mM1_034,-5.4771,101.387,1
mM1_034,-5.4771,97.393,2
mM1_034,-5.4771,91.906,3
mM1_060,-5.4771,20.138,1
mM1_060,-5.4771,18.318,2
mM1_060,-5.4771,28.272,3
mM1_068,-5.4771,96.635,1
mM1_068,-5.4771,96.116,2
mM1_068,-5.4771,90.05,3
BAM(8-22),-7.4771,102.833,1
BAM(8-22),-7.4771,101.509,2
BAM(8-22),-7.4771,101.511,3
mM1_034,-5.9542,63.423,1
mM1_034,-5.9542,50.641,2
mM1_034,-5.9542,52.673,3
mM1_060,-5.9542,7.314,1
mM1_060,-5.9542,0.816,2
mM1_060,-5.9542,7.978,3
mM1_068,-5.9542,100.363,1
mM1_068,-5.9542,89.844,2
mM1_068,-5.9542,85.391,3
BAM(8-22),-7.9542,91.963,1
BAM(8-22),-7.9542,93.114,2
BAM(8-22),-7.9542,97.143,3
mM1_034,-6.4314,8.494,1
mM1_034,-6.4314,7.184,2
mM1_034,-6.4314,4.271,3
mM1_060,-6.4314,-0.484,1
mM1_060,-6.4314,-1.647,2
mM1_060,-6.4314,-3.487,3
mM1_068,-6.4314,53.328,1
mM1_068,-6.4314,40.728,2
mM1_068,-6.4314,40.197,3
BAM(8-22),-8.4314,53.379,1
BAM(8-22),-8.4314,61.607,2
BAM(8-22),-8.4314,62.315,3
mM1_034,-6.9085,1.847,1
mM1_034,-6.9085,0.858,2
mM1_034,-6.9085,-3.006,3
mM1_060,-6.9085,-0.003,1
mM1_060,-6.9085,-0.967,2
mM1_060,-6.9085,-2.539,3
mM1_068,-6.9085,13.028,1
mM1_068,-6.9085,10.495,2
mM1_068,-6.9085,7.432,3
BAM(8-22),-8.9085,20.678,1
BAM(8-22),-8.9085,24.979,2
BAM(8-22),-8.9085,28.876,3
mM1_034,-7.3856,0.677,1
mM1_034,-7.3856,0.261,2
mM1_034,-7.3856,-2.095,3
mM1_060,-7.3856,0.89,1
mM1_060,-7.3856,-0.174,2
mM1_060,-7.3856,-3.147,3
mM1_068,-7.3856,4.08,1
mM1_068,-7.3856,4.263,2
mM1_068,-7.3856,0.916,3
BAM(8-22),-9.3856,4.717,1
BAM(8-22),-9.3856,7.607,2
BAM(8-22),-9.3856,9.201,3
mM1_034,-7.8627,-0.105,1
mM1_034,-7.8627,-0.032,2
mM1_034,-7.8627,-1.618,3
mM1_060,-7.8627,0.86,1
mM1_060,-7.8627,-0.235,2
mM1_060,-7.8627,-3.726,3
mM1_068,-7.8627,-0.04,1
mM1_068,-7.8627,0.525,2
mM1_068,-7.8627,-1.038,3
BAM(8-22),-9.8627,-0.005,1
BAM(8-22),-9.8627,2.094,2
BAM(8-22),-9.8627,0.358,3
mM1_034,-8.3398,-0.357,1
mM1_034,-8.3398,-1.043,2
mM1_034,-8.3398,-2.513,3
mM1_060,-8.3398,1.029,1
mM1_060,-8.3398,-0.429,2
mM1_060,-8.3398,-1.815,3
mM1_068,-8.3398,0.847,1
mM1_068,-8.3398,-0.396,2
mM1_068,-8.3398,-1.431,3
BAM(8-22),-10.3398,-0.43,1
BAM(8-22),-10.3398,2.102,2
BAM(8-22),-10.3398,-0.684,3
mM1_034,-8.817,-0.387,1
mM1_034,-8.817,-0.424,2
mM1_034,-8.817,-1.704,3
mM1_060,-8.817,0.062,1
mM1_060,-8.817,-0.048,2
mM1_060,-8.817,-2.184,3
mM1_068,-8.817,0.151,1
mM1_068,-8.817,0.048,2
mM1_068,-8.817,-1.522,3
BAM(8-22),-10.817,-1.239,1
BAM(8-22),-10.817,1.129,2
BAM(8-22),-10.817,-0.929,3
mM1_034,-9.2941,-0.812,1
mM1_034,-9.2941,-0.873,2
mM1_034,-9.2941,-2.455,3
mM1_060,-9.2941,-0.081,1
mM1_060,-9.2941,-0.207,2
mM1_060,-9.2941,-1.893,3
mM1_068,-9.2941,0.554,1
mM1_068,-9.2941,-0.388,2
mM1_068,-9.2941,-2.882,3
BAM(8-22),-11.2941,-0.876,1
BAM(8-22),-11.2941,1.474,2
BAM(8-22),-11.2941,-0.972,3
