programa,cohorte,tipo_celular,effect_size,neg_log10_p
HSC-I,Joven,B cell,-0.40918852,0.45968209
HSC-I,Joven,Naive T cell,-1.08699341,1.45080765
HSC-I,Joven,NK,-1.10969169,2.34938889
HSC-I,Joven,CD14 Monocyte,-0.96592038,2.05250185
HSC-I,Joven,DC,-1.05467309,2.15305688
HSC-I,Joven,CD16 Monocyte,-1.32874933,3.29270561
HSC-iM,Joven,B cell,0.89306404,3.30243505
HSC-iM,Joven,Naive T cell,0.97339144,2.5171693
HSC-iM,Joven,NK,0.34856052,0.70065723
HSC-iM,Joven,CD14 Monocyte,0.31634308,0.70065723
HSC-iM,Joven,DC,0.80905334,2.5171693
HSC-iM,Joven,CD16 Monocyte,0.4638333,0.73148698
HSC-I,Mayor,B cell,-0.96180878,0.92233015
HSC-I,Mayor,Naive T cell,-0.51079696,0.30682162
HSC-I,Mayor,NK,-0.5692419,0.39061305
HSC-I,Mayor,CD14 Monocyte,-0.28616405,0.21637102
HSC-I,Mayor,DC,0.16744514,0.15880666
HSC-I,Mayor,CD16 Monocyte,-0.3477083,0.21637102
HSC-iM,Mayor,B cell,0.34604068,0.39061305
HSC-iM,Mayor,Naive T cell,0.56707586,0.68244
HSC-iM,Mayor,NK,0.2348875,0.21637102
HSC-iM,Mayor,CD14 Monocyte,-0.10381081,0.15880666
HSC-iM,Mayor,DC,0.11642927,0.15880666
HSC-iM,Mayor,CD16 Monocyte,0.58384797,0.64457026
