oxido,concentracion_ppm,incertidumbre_ppm,below_detection_limit
Na2O,46,,1
MgO,4228,3068,0
Cl,76,,1
K2O,3481,349,0
Sc2O3,0.294,0.02,0
TiO2,3203,,1
V2O5,44,,1
Cr2O3,18.3,0.4,0
MnO2,103,2,0
Fe2O3,2631,83,0
CoO,0.06,,1
CuO,73,44,0
ZnO,0.9,,1
As2O3,2.88,0.08,0
SeO3,1.3,,1
Br,0.196,0.017,0
Rb2O,1.9,,1
SrO,238,,1
MoO3,6.2,0.3,0
Ag2O,0.04,,1
CdO,7.7,1.0,0
Sb2O5,7.2,0.4,0
Cs2O,0.027,0.006,0
BaO,8.2,5.2,0
La2O3,2.97,0.15,0
CeO2,1.01,0.06,0
Nd2O3,0.9,,1
Sm2O3,1.01,0.05,0
Eu2O3,0.049,0.042,0
Tb4O7,0.054,0.005,0
Dy2O3,0.72,0.06,0
Yb2O3,0.42,0.02,0
Lu2O3,0.038,0.002,0
HfO2,0.75,0.04,0
Ta2O5,7.7,1.7,0
WO3,14.0,1.5,0
Au2O,0.022,0.001,0
ThO2,1.73,0.09,0
U3O8,0.26,,1
