origen,tipo_feedstock,Li2O_grade_pct,Li_yield_pct,Al_yield_pct,Si_yield_pct
Australia,High-grade concentrate,6.8,100,97,100
USA,Test concentrate,6.0,100,100,100
USA,Test concentrate (blended),6.1,99,95,100
USA,Hand-picked ore,5.9,98,97,80
USA,Hand-picked ore,7.2,99,,
Canada,Commercial concentrate,6.0,100,104,99
Australia,Low-grade concentrate,4.6,100,132,77
Brazil,Commercial concentrate,5.4,96,104,96
Brazil,Beneficiation tailings,0.8,100,,
Australia,High-grade concentrate,7.1,98,95,94
Australia,Commercial concentrate,5.6,95,102,97
Australia,Run-of-mine 500um,0.8,95,,
Australia,Milled run-of-mine 100um,0.8,103,,
Australia,Milled run-of-mine 25um,1.3,95,,
Australia,Coarse concentrate 500um,5.4,101,115,103
Australia,Coarse concentrate 250um,5.4,97,108,98
Australia,Lepidolite ore sample,3.0,98,,
