huc2,region,n_subwatersheds,wetland_1985_ha,wetland_2023_ha,wetland_change_ha,cost_hist_loss_m,cost_ci_low,cost_ci_up,marginal_npv_dr2_m,bcr_above_1,bcr_n_valid,wetland_change_pct,bcr_pct_above1
12,Tejas-Golfo,4171,2578251.6000,2508524.2800,-50740.6500,4636166720.1056,3696552414.1162,5682835260.6237,67235150.7368,557,4170,-1.9680,13.3573
03,Sureste,7701,15391071.9000,15107023.8900,-227697.0300,3548095741.3057,2851207750.6144,4118419165.3076,90035186.0216,1096,7683,-1.4794,14.2653
08,Misisipi Bajo,2641,5952665.6100,5936360.2200,10851.1200,1656586523.6660,1375021470.3728,1950898634.9834,35156290.6170,299,2636,0.1823,11.3429
02,Mid-Atlántico,3095,1805988.1500,1779932.7900,-13489.4700,225699018.6643,158273203.9167,254891787.7294,213217347.3890,1531,3090,-0.7469,49.5469
07,Misisipi Alto,5731,4451525.3700,4477374.2700,-11330.7300,14829771.4546,10331128.9223,17494567.6893,67054612.7368,817,5731,-0.2545,14.2558
04,Grandes Lagos,4040,6372194.4900,6368141.3400,-27409.1400,10307009.4961,7094935.3580,11837826.8566,71833613.3577,1351,4040,-0.4301,33.4406
01,Nueva Inglaterra,1869,1850262.4800,1859536.5300,-8901.9000,7114308.0248,5215560.3116,8176376.8931,48063900.8044,662,1868,-0.4811,35.4390
11,Arkansas-White-Red,6493,1441759.1400,1421044.8300,-6901.4700,5278131.9951,4210397.9662,6260866.7693,20438316.7274,371,6493,-0.4787,5.7138
10,Misuri,13502,2953317.5100,2834338.0500,-2853.2700,4845338.7458,3529434.1340,5690220.2162,32396984.8836,510,13502,-0.0966,3.7772
17,Noroeste Pacífico,8274,1236352.7700,1248407.9100,-20959.1100,4614695.4292,3895376.6542,5359757.8076,101828832.2306,1880,8274,-1.6952,22.7218
05,Ohio,5278,535358.1600,519681.3300,-9494.1000,3914276.6866,2643330.5512,4522085.1857,335707773.5955,2258,5278,-1.7734,42.7814
18,California,4423,613450.7100,629662.4100,6568.2900,3573905.4996,2429444.1492,4064895.7811,99060420.7398,857,4423,1.0707,19.3760
06,Tennessee,1075,215420.0400,206485.4700,-8686.6200,1531073.4635,1078192.2324,1773410.9569,107992330.1110,757,1075,-4.0324,70.4186
09,Souris-Red-Rainy,1579,3242708.3700,3186084.5100,343.0800,1027826.2607,381420.4244,1183099.0164,1028325.9132,55,1579,0.0106,3.4832
16,Gran Cuenca,3200,406758.4200,428615.8200,-25763.4000,304309.1044,257815.4256,389165.7512,4429934.5825,81,3200,-6.3338,2.5312
13,Río Grande,3274,260796.4200,275935.5000,6072.4800,122349.9077,103757.6964,155751.8272,3600414.6589,83,3274,2.3284,2.5351
15,Colorado Bajo,3834,168347.3400,180191.4300,-503.6400,114711.8124,99698.8675,142929.3930,5317416.0988,90,3834,-0.2992,2.3474
14,Colorado Alto,3179,383249.6100,385766.1000,-1380.3300,6570.0127,5497.0021,8155.8824,7534044.2985,121,3179,-0.3602,3.8062
