cell_id,group,pre,during,post
left_a_001,left_a,0.27547,10.75009,5.11394
left_a_002,left_a,0.22477,10.47631,3.6335
left_a_003,left_a,0.33462,11.13034,2.47585
left_a_004,left_a,0.45968,11.13203,1.1154
left_a_005,left_a,0.17576,8.49394,0.62361
left_a_006,left_a,0.53911,12.15448,0.4394
left_a_007,left_a,1.11202,10.69195,0.43264
left_a_008,left_a,0.64389,11.04584,0.38194
left_a_009,left_a,0.77233,9.26289,0.3887
left_a_010,left_a,0.925106,11.61199,0.38532
left_b_001,left_b,0.6929,1.2506,0.1521
left_b_002,left_b,0.676,1.5379,0.2704
left_b_003,left_b,0.6084,2.5519,0.2873
left_b_004,left_b,0.7098,2.4336,0.338
left_b_005,left_b,0.2197,1.6224,0.4563
left_b_006,left_b,0.2028,1.5548,0.5746
left_b_007,left_b,0.2366,0.9802,0.89401
left_b_008,left_b,0.2704,1.8928,1.8928
left_b_009,left_b,0.2197,2.1294,1.4703
left_b_010,left_b,0.3211,2.535,1.0816
right_a_001,right_a,0.333333,0.6,0.3
right_a_002,right_a,0.0,0.3,0.0
right_a_003,right_a,0.0,0.4,0.0
right_a_004,right_a,0.0,0.6,0.0
right_a_005,right_a,0.0,0.4,0.0
right_a_006,right_a,0.0,0.1,0.0
right_a_007,right_a,0.0,0.2,0.0
right_a_008,right_a,0.0,0.4,0.0
right_a_009,right_a,0.0,0.7,0.0
right_a_010,right_a,0.0,0.5,0.0
right_a_011,right_a,0.0,0.4,0.0
right_a_012,right_a,0.0,0.6,0.0
right_a_013,right_a,0.0,0.6,0.0
right_a_014,right_a,0.0,0.7,0.0
right_a_015,right_a,0.444444,1.3,0.4
right_a_016,right_a,0.0,0.9,0.2
right_a_017,right_a,0.0,0.7,0.0
right_a_018,right_a,0.0,0.5,0.0
right_a_019,right_a,0.0,0.5,0.0
right_a_020,right_a,0.0,0.7,0.0
right_a_021,right_a,0.0,0.7,0.0
right_a_022,right_a,0.0,0.7,0.0
right_a_023,right_a,0.0,0.7,0.0
right_a_024,right_a,0.0,0.4,0.0
right_a_025,right_a,0.0,0.6,0.0
right_a_026,right_a,0.0,0.6,0.0
right_a_027,right_a,0.0,0.8,0.0
right_a_028,right_a,0.0,0.5,0.0
right_a_029,right_a,0.0,0.5,0.0
right_a_030,right_a,0.0,0.5,0.0
right_a_031,right_a,0.0,0.4,0.0
right_a_032,right_a,0.0,0.6,0.0
right_a_033,right_a,0.444444,0.8,0.0
right_a_034,right_a,0.111111,0.9,0.0
right_a_035,right_a,0.0,0.8,0.0
right_a_036,right_a,0.0,0.8,0.0
right_a_037,right_a,0.0,0.7,0.0
right_a_038,right_a,0.0,0.9,0.0
right_a_039,right_a,0.0,0.8,0.0
right_a_040,right_a,0.0,0.8,0.0
right_a_041,right_a,0.0,0.9,0.0
right_a_042,right_a,0.0,0.8,0.0
right_a_043,right_a,0.0,0.8,0.0
right_a_044,right_a,0.0,0.8,0.0
right_a_045,right_a,0.0,0.8,0.0
right_a_046,right_a,0.0,0.8,0.0
right_a_047,right_a,0.0,0.9,0.0
right_a_048,right_a,0.111111,1.2,0.2
right_a_049,right_a,0.0,0.9,0.0
right_a_050,right_a,0.0,1.1,0.0
right_a_051,right_a,0.0,1.0,0.0
right_a_052,right_a,0.0,0.9,0.0
right_a_053,right_a,0.0,0.9,0.0
right_a_054,right_a,0.0,1.0,0.0
right_a_055,right_a,0.0,1.0,0.0
right_a_056,right_a,0.0,1.1,0.0
right_a_057,right_a,0.0,1.1,0.0
right_a_058,right_a,0.0,0.9,0.0
right_a_059,right_a,0.0,0.9,0.0
right_a_060,right_a,0.0,0.9,0.0
right_a_061,right_a,0.0,0.7,0.0
right_a_062,right_a,0.0,0.7,0.0
right_a_063,right_a,0.222222,0.8,0.1
right_a_064,right_a,0.222222,0.8,0.1
right_a_065,right_a,0.0,0.8,0.0
right_a_066,right_a,0.0,0.9,0.0
right_a_067,right_a,0.0,1.0,0.0
right_a_068,right_a,0.0,1.0,0.0
right_a_069,right_a,0.0,1.0,0.0
right_a_070,right_a,0.0,1.3,0.0
right_a_071,right_a,0.0,0.9,0.0
right_a_072,right_a,0.0,0.4,0.0
right_a_073,right_a,0.0,0.4,0.0
right_a_074,right_a,0.0,0.4,0.0
right_a_075,right_a,0.0,0.2,0.0
right_a_076,right_a,0.0,0.3,0.0
right_b_001,right_b,0.0,1.9,0.1
right_b_002,right_b,0.0,2.1,0.0
right_b_003,right_b,0.0,2.2,0.1
right_b_004,right_b,0.0,1.6,0.0
right_b_005,right_b,0.0,1.8,0.0
right_b_006,right_b,0.0,2.1,0.0
right_b_007,right_b,0.0,2.1,0.0
right_b_008,right_b,0.0,2.0,0.0
right_b_009,right_b,0.0,0.7,0.0
right_b_010,right_b,0.0,1.9,0.0
right_b_011,right_b,0.0,1.9,0.0
right_b_012,right_b,0.7,2.0,1.0
right_b_013,right_b,0.0,2.0,0.1
right_b_014,right_b,0.0,2.3,0.1
right_b_015,right_b,0.0,1.8,0.0
right_b_016,right_b,0.0,1.6,0.1
right_b_017,right_b,0.0,2.2,0.1
right_b_018,right_b,0.0,1.7,0.1
right_b_019,right_b,0.0,2.2,0.1
right_b_020,right_b,0.0,1.4,0.1
right_b_021,right_b,0.0,1.1,0.1
right_b_022,right_b,0.0,2.2,0.1
right_b_023,right_b,0.0,2.4,0.1
right_b_024,right_b,0.0,2.2,0.1
right_b_025,right_b,0.0,1.9,0.0
right_b_026,right_b,0.0,1.1,0.0
right_b_027,right_b,0.0,1.3,0.0
right_b_028,right_b,0.0,2.3,0.0
right_b_029,right_b,0.0,2.2,0.0
right_b_030,right_b,0.0,1.9,0.0
right_b_031,right_b,0.0,2.1,0.0
right_b_032,right_b,0.0,1.4,0.0
right_b_033,right_b,0.0,2.3,0.0
right_b_034,right_b,1.4,1.9,1.2
right_b_035,right_b,0.0,1.8,0.0
right_b_036,right_b,0.0,2.3,0.1
right_b_037,right_b,0.0,2.0,0.1
