individuo,grado,payoff_uniforme,payoff_equitativo
0,1,-0.767588,0.156465
1,33,5.605620,0.156465
2,5,0.021928,0.156465
3,2,-0.503733,0.156465
4,1,-0.767588,0.156465
5,1,-0.729309,0.156465
6,1,-0.767588,0.156465
7,2,-0.542012,0.156465
8,1,-0.767588,0.156465
9,1,-0.767588,0.156465
10,3,-0.316436,0.156465
11,4,-0.090860,0.156465
12,1,-0.767588,0.156465
13,1,-0.661636,0.156465
14,1,-0.718030,0.156465
15,2,-0.542012,0.156465
16,1,-0.718030,0.156465
17,2,-0.542012,0.156465
18,1,-0.767588,0.156465
19,1,-0.767588,0.156465
20,1,-0.661636,0.156465
21,1,-0.767588,0.156465
22,1,-0.729309,0.156465
23,1,-0.767588,0.156465
24,1,-0.767588,0.156465
25,1,-0.767588,0.156465
26,1,-0.729309,0.156465
27,2,-0.542012,0.156465
28,2,-0.654800,0.156465
29,1,-0.699232,0.156465
30,1,-0.767588,0.156465
31,1,-0.767588,0.156465
32,1,-0.767588,0.156465
33,1,-0.767588,0.156465
34,2,-0.436060,0.156465
35,1,-0.699232,0.156465
36,1,-0.767588,0.156465
37,1,-0.767588,0.156465
38,1,-0.718030,0.156465
39,1,-0.661636,0.156465
40,1,-0.767588,0.156465
41,1,-0.767588,0.156465
42,1,-0.767588,0.156465
43,1,-0.767588,0.156465
44,1,-0.767588,0.156465
45,1,-0.767588,0.156465
46,1,-0.767588,0.156465
47,1,-0.661636,0.156465
48,1,-0.661636,0.156465
49,1,-0.661636,0.156465
