degree_variance,equitable_bcr,uniform_bcr,equitable_gini,uniform_gini
29.0786,1.945319,1.934083,1.193988e-16,0.100407
29.9120,1.945355,1.933752,1.200203e-16,0.102559
30.6455,1.945383,1.933451,1.202056e-16,0.104477
32.1242,1.945447,1.932891,1.203667e-16,0.108250
33.8124,1.945486,1.932240,1.206167e-16,0.112511
35.4574,1.945516,1.931578,1.204024e-16,0.116632
37.1864,1.945535,1.930920,1.203632e-16,0.120876
39.1314,1.945538,1.930228,1.209848e-16,0.125364
41.2647,1.945516,1.929402,1.223730e-16,0.130601
43.4352,1.945493,1.928587,1.236482e-16,0.135553
45.6385,1.945460,1.927829,1.234111e-16,0.140430
48.2939,1.945399,1.926939,1.234624e-16,0.146118
51.1501,1.945324,1.925998,1.235641e-16,0.152178
53.9048,1.945251,1.925140,1.233834e-16,0.157673
56.9671,1.945137,1.924234,1.233896e-16,0.163767
60.4953,1.944985,1.923209,1.241288e-16,0.170909
64.0013,1.944832,1.922310,1.251765e-16,0.177603
67.7101,1.944657,1.921450,1.256749e-16,0.184590
71.9823,1.944453,1.920592,1.263605e-16,0.192304
76.3633,1.944256,1.919865,1.270344e-16,0.199926
80.7774,1.944077,1.919319,1.276574e-16,0.206886
85.4108,1.943896,1.918897,1.274673e-16,0.214129
90.1934,1.943699,1.918655,1.271714e-16,0.221421
94.8851,1.943518,1.918603,1.270945e-16,0.228450
99.9984,1.943353,1.918825,1.261996e-16,0.235636
105.0249,1.943179,1.919190,1.260896e-16,0.242973
110.0181,1.943037,1.919827,1.260320e-16,0.249861
115.2021,1.942938,1.920780,1.257651e-16,0.256586
120.2837,1.942863,1.921840,1.255601e-16,0.262974
124.6330,1.942790,1.922957,1.259106e-16,0.268614
129.0378,1.942752,1.924287,1.250846e-16,0.273943
133.6316,1.942710,1.925878,1.242683e-16,0.279602
137.7811,1.942723,1.927597,1.242257e-16,0.284308
141.9294,1.942717,1.929408,1.234894e-16,0.289148
146.0858,1.942773,1.931476,1.243068e-16,0.293575
150.3340,1.942830,1.933656,1.234418e-16,0.297971
153.8286,1.942914,1.935644,1.245980e-16,0.301312
157.1565,1.942994,1.937557,1.242641e-16,0.304659
160.5843,1.943140,1.939815,1.242919e-16,0.307548
163.7082,1.943232,1.941886,1.217226e-16,0.310454
166.5994,1.943328,1.943944,1.219473e-16,0.313181
168.8786,1.943386,1.945566,1.196012e-16,0.315367
171.6701,1.943476,1.947764,1.188551e-16,0.317924
173.6782,1.943501,1.949346,1.182379e-16,0.320052
176.1295,1.943611,1.951365,1.182051e-16,0.322169
178.0708,1.943670,1.953061,1.177739e-16,0.323939
181.0520,1.943823,1.955742,1.174437e-16,0.326303
183.4804,1.943965,1.957993,1.176025e-16,0.328160
185.0000,1.944058,1.959376,1.170752e-16,0.329283
186.1366,1.944088,1.960469,1.172035e-16,0.330299
