buffer,rel_year,mean_cum_loss_pct,excess_vs_tm1,n_obs
1km,-5.0,2.838,-1.473,9864
1km,-4.0,3.154,-1.157,10984
1km,-3.0,3.594,-0.717,11946
1km,-2.0,4.022,-0.288,13094
1km,-1.0,4.311,0.0,15255
1km,0.0,6.975,2.664,15255
1km,1.0,8.316,4.005,14957
1km,2.0,9.487,5.176,14636
1km,3.0,10.666,6.355,14276
1km,4.0,11.683,7.372,13693
1km,5.0,12.815,8.504,13240
1km,6.0,13.962,9.651,12768
1km,7.0,14.949,10.638,12091
1km,8.0,15.974,11.663,11325
1km,9.0,17.05,12.739,10743
1km,10.0,17.98,13.669,9739
5km,-5.0,2.976,-1.205,9895
5km,-4.0,3.276,-0.906,11015
5km,-3.0,3.673,-0.509,11980
5km,-2.0,4.033,-0.149,13131
5km,-1.0,4.181,0.0,15301
5km,0.0,5.452,1.271,15301
5km,1.0,6.245,2.064,15002
5km,2.0,7.027,2.846,14679
5km,3.0,7.86,3.678,14317
5km,4.0,8.473,4.292,13729
5km,5.0,9.284,5.102,13275
5km,6.0,10.074,5.893,12803
5km,7.0,10.795,6.614,12126
5km,8.0,11.517,7.336,11358
5km,9.0,12.383,8.202,10772
5km,10.0,13.057,8.876,9766
10km,-5.0,2.869,-1.031,9899
10km,-4.0,3.134,-0.766,11019
10km,-3.0,3.476,-0.425,11984
10km,-2.0,3.8,-0.1,13135
10km,-1.0,3.9,0.0,15305
10km,0.0,4.906,1.006,15305
10km,1.0,5.555,1.655,15005
10km,2.0,6.201,2.301,14682
10km,3.0,6.892,2.992,14320
10km,4.0,7.381,3.481,13732
10km,5.0,8.04,4.14,13278
10km,6.0,8.668,4.768,12806
10km,7.0,9.204,5.304,12128
10km,8.0,9.753,5.853,11360
10km,9.0,10.485,6.585,10774
10km,10.0,10.983,7.083,9768
20km,-5.0,2.768,-0.912,9899
20km,-4.0,3.007,-0.674,11019
20km,-3.0,3.316,-0.364,11984
20km,-2.0,3.613,-0.067,13135
20km,-1.0,3.68,0.0,15305
20km,0.0,4.543,0.863,15305
20km,1.0,5.101,1.421,15005
20km,2.0,5.632,1.952,14682
20km,3.0,6.237,2.557,14320
20km,4.0,6.648,2.968,13732
20km,5.0,7.223,3.543,13278
20km,6.0,7.775,4.095,12806
20km,7.0,8.233,4.553,12128
20km,8.0,8.7,5.019,11360
20km,9.0,9.355,5.675,10774
20km,10.0,9.776,6.096,9768
