grupo,animal_id,fase,etapa,episodios
Control,1,Pre,NREM,195
Control,2,Pre,NREM,202
Control,3,Pre,NREM,187
Control,4,Pre,NREM,160
Control,5,Pre,NREM,172
Control,1,Pre,REM,56
Control,2,Pre,REM,62
Control,3,Pre,REM,70
Control,4,Pre,REM,58
Control,5,Pre,REM,57
Control,1,Pre,Wake/MA,196
Control,2,Pre,Wake/MA,201
Control,3,Pre,Wake/MA,185
Control,4,Pre,Wake/MA,159
Control,5,Pre,Wake/MA,170
Control,1,Post,NREM,210
Control,2,Post,NREM,179
Control,3,Post,NREM,186
Control,4,Post,NREM,141
Control,5,Post,NREM,150
Control,1,Post,REM,62
Control,2,Post,REM,57
Control,3,Post,REM,63
Control,4,Post,REM,49
Control,5,Post,REM,46
Control,1,Post,Wake/MA,209
Control,2,Post,Wake/MA,177
Control,3,Post,Wake/MA,185
Control,4,Post,Wake/MA,139
Control,5,Post,Wake/MA,149
CFC,1,Pre,NREM,181
CFC,2,Pre,NREM,175
CFC,3,Pre,NREM,156
CFC,4,Pre,NREM,153
CFC,5,Pre,NREM,182
CFC,6,Pre,NREM,159
CFC,7,Pre,NREM,158
CFC,1,Pre,REM,57
CFC,2,Pre,REM,43
CFC,3,Pre,REM,35
CFC,4,Pre,REM,42
CFC,5,Pre,REM,67
CFC,6,Pre,REM,59
CFC,7,Pre,REM,45
CFC,1,Pre,Wake/MA,180
CFC,2,Pre,Wake/MA,175
CFC,3,Pre,Wake/MA,156
CFC,4,Pre,Wake/MA,153
CFC,5,Pre,Wake/MA,181
CFC,6,Pre,Wake/MA,159
CFC,7,Pre,Wake/MA,157
CFC,1,Post,NREM,190
CFC,2,Post,NREM,208
CFC,3,Post,NREM,217
CFC,4,Post,NREM,162
CFC,5,Post,NREM,201
CFC,6,Post,NREM,187
CFC,7,Post,NREM,259
CFC,1,Post,REM,56
CFC,2,Post,REM,37
CFC,3,Post,REM,37
CFC,4,Post,REM,34
CFC,5,Post,REM,74
CFC,6,Post,REM,53
CFC,7,Post,REM,57
CFC,1,Post,Wake/MA,189
CFC,2,Post,Wake/MA,207
CFC,3,Post,Wake/MA,216
CFC,4,Post,Wake/MA,163
CFC,5,Post,Wake/MA,202
CFC,6,Post,Wake/MA,187
CFC,7,Post,Wake/MA,258
