vote,credence,response_label,discipline,timestamp
4,0.25,Disagree,Astrobiologists,2025-10-03 20:20:14.577000
3,0.5,Neutral,Astrobiologists,2025-10-03 14:26:12.920000
1,0.95,Strongly agree,Astrobiologists,2025-10-02 15:34:39.171000
4,0.25,Disagree,Astrobiologists,2025-10-02 13:47:54.242000
2,0.75,Agree,Astrobiologists,2025-10-02 10:34:34.532000
3,0.5,Neutral,Astrobiologists,2025-10-02 00:02:00.179000
3,0.5,Neutral,Astrobiologists,2025-10-01 17:39:27.118000
4,0.25,Disagree,Astrobiologists,2025-10-01 15:17:58.074000
3,0.5,Neutral,Astrobiologists,2025-10-01 14:53:55.051000
3,0.5,Neutral,Astrobiologists,2025-10-01 14:41:48.218000
3,0.5,Neutral,Astrobiologists,2025-10-01 14:09:10.786000
3,0.5,Neutral,Astrobiologists,2025-10-01 11:57:24.247000
2,0.75,Agree,Astrobiologists,2025-10-01 11:04:11.045000
4,0.25,Disagree,Astrobiologists,2025-10-01 09:53:59.646000
4,0.25,Disagree,Astrobiologists,2025-10-01 09:30:21.961000
5,0.05,Strongly disagree,Astrobiologists,2025-10-01 08:57:40.303000
3,0.5,Neutral,Astrobiologists,2025-10-01 08:52:58.707000
2,0.75,Agree,Astrobiologists,2025-10-01 08:12:15.669000
3,0.5,Neutral,Astrobiologists,2025-10-01 08:02:33.407000
4,0.25,Disagree,Astrobiologists,2025-10-01 07:29:09.963000
3,0.5,Neutral,Astrobiologists,2025-10-01 06:06:32.320000
1,0.95,Strongly agree,Astrobiologists,2025-10-01 05:42:21.190000
3,0.5,Neutral,Astrobiologists,2025-10-01 03:54:13.406000
3,0.5,Neutral,Astrobiologists,2025-10-01 01:20:40.729000
4,0.25,Disagree,Astrobiologists,2025-10-01 01:15:28.420000
4,0.25,Disagree,Astrobiologists,2025-10-01 00:06:01.572000
2,0.75,Agree,Astrobiologists,2025-09-30 23:48:19.334000
3,0.5,Neutral,Astrobiologists,2025-09-30 23:27:22.987000
4,0.25,Disagree,Astrobiologists,2025-09-30 23:09:11.284000
4,0.25,Disagree,Astrobiologists,2025-09-30 22:51:53.056000
3,0.5,Neutral,Astrobiologists,2025-09-30 22:36:11.649000
2,0.75,Agree,Astrobiologists,2025-09-30 22:14:12.773000
4,0.25,Disagree,Astrobiologists,2025-09-30 21:14:20.394000
1,0.95,Strongly agree,Astrobiologists,2025-09-30 20:52:17.905000
3,0.5,Neutral,Astrobiologists,2025-09-30 20:33:54.564000
3,0.5,Neutral,Astrobiologists,2025-09-30 19:07:39.352000
3,0.5,Neutral,Astrobiologists,2025-09-30 18:54:19.004000
1,0.95,Strongly agree,Astrobiologists,2025-09-30 18:27:36.970000
2,0.75,Agree,Astrobiologists,2025-09-30 17:31:54.359000
1,0.95,Strongly agree,Astrobiologists,2025-09-30 17:05:53.947000
4,0.25,Disagree,Astrobiologists,2025-09-30 16:57:22.257000
3,0.5,Neutral,Astrobiologists,2025-09-30 16:56:31.874000
4,0.25,Disagree,Astrobiologists,2025-09-30 16:54:52.788000
2,0.75,Agree,Astrobiologists,2025-09-30 16:49:56.558000
4,0.25,Disagree,Astrobiologists,2025-09-30 16:24:12.477000
4,0.25,Disagree,Astrobiologists,2025-09-30 16:18:44.820000
3,0.5,Neutral,Astrobiologists,2025-09-30 16:18:31.800000
5,0.05,Strongly disagree,Astrobiologists,2025-09-30 16:15:06.534000
4,0.25,Disagree,Astrobiologists,2025-09-30 16:04:13.326000
3,0.5,Neutral,Astrobiologists,2025-09-30 16:02:20.789000
3,0.5,Neutral,Astrobiologists,2025-09-30 16:00:08.437000
3,0.5,Neutral,Astrobiologists,2025-09-30 15:53:23.262000
2,0.75,Agree,Astrobiologists,2025-09-30 15:52:17.119000
4,0.25,Disagree,Astrobiologists,2025-09-30 15:49:12.752000
3,0.5,Neutral,Astrobiologists,2025-09-30 15:43:26.400000
4,0.25,Disagree,Astrobiologists,2025-09-30 15:42:05.592000
3,0.5,Neutral,Astrobiologists,2025-09-30 15:40:41.700000
4,0.25,Disagree,Astrobiologists,2025-09-30 15:39:40.851000
4,0.25,Disagree,Astrobiologists,2025-09-30 15:37:49.921000
5,0.05,Strongly disagree,Astrobiologists,2025-09-30 15:33:55.731000
5,0.05,Strongly disagree,Astrobiologists,2025-09-30 15:31:42.313000
4,0.25,Disagree,Astrobiologists,2025-09-30 15:26:24.451000
3,0.5,Neutral,Astrobiologists,2025-09-30 15:25:38.741000
3,0.5,Neutral,Astrobiologists,2025-09-30 15:23:55.506000
3,0.5,Neutral,Astrobiologists,2025-09-30 15:23:41.111000
5,0.05,Strongly disagree,Astrobiologists,2025-09-30 15:21:09.874000
4,0.25,Disagree,Astrobiologists,2025-09-30 15:19:02.532000
4,0.25,Disagree,Astrobiologists,2025-09-30 15:15:54.782000
5,0.05,Strongly disagree,Astrobiologists,2025-09-30 15:15:36.751000
3,0.5,Neutral,Astrobiologists,2025-09-30 15:15:34.176000
5,0.05,Strongly disagree,Astrobiologists,2025-09-30 15:14:44.856000
2,0.75,Agree,Astrobiologists,2025-09-30 15:14:19.552000
3,0.5,Neutral,Astrobiologists,2025-09-30 15:14:03.248000
3,0.5,Neutral,Astrobiologists,2025-09-30 15:11:14.509000
3,0.5,Neutral,Astrobiologists,2025-09-30 15:09:56.222000
4,0.25,Disagree,Astrobiologists,2025-09-30 15:09:26.310000
4,0.25,Disagree,Astrobiologists,2025-09-30 15:08:52.551000
5,0.05,Strongly disagree,Astrobiologists,2025-09-30 15:06:55.399000
4,0.25,Disagree,Astrobiologists,2025-09-30 15:06:44.741000
4,0.25,Disagree,Astrobiologists,2025-09-30 15:05:08.971000
2,0.75,Agree,Astrobiologists,2025-09-30 15:02:39.971000
3,0.5,Neutral,Astrobiologists,2025-09-30 15:01:15.382000
5,0.05,Strongly disagree,Astrobiologists,2025-09-30 15:00:30.274000
4,0.25,Disagree,Astrobiologists,2025-09-30 14:59:46.316000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:53:03.426000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:52:33.875000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:52:19.525000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:51:54.883000
4,0.25,Disagree,Astrobiologists,2025-09-30 14:51:41.483000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:51:31.304000
5,0.05,Strongly disagree,Astrobiologists,2025-09-30 14:50:18.298000
4,0.25,Disagree,Astrobiologists,2025-09-30 14:50:09.475000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:49:59.665000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:49:03.827000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:48:38.742000
4,0.25,Disagree,Astrobiologists,2025-09-30 14:48:04.750000
2,0.75,Agree,Astrobiologists,2025-09-30 14:47:26.540000
4,0.25,Disagree,Astrobiologists,2025-09-30 14:47:18.318000
2,0.75,Agree,Astrobiologists,2025-09-30 14:46:06.601000
4,0.25,Disagree,Astrobiologists,2025-09-30 14:46:02.604000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:44:51.301000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:44:42.441000
4,0.25,Disagree,Astrobiologists,2025-09-30 14:42:09.700000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:40:14.908000
3,0.5,Neutral,Astrobiologists,2025-09-30 14:40:06.150000
2,0.75,Agree,Astrobiologists,2025-09-30 14:33:45.838000
1,0.95,Strongly agree,Astrobiologists,2025-09-30 01:25:14.039000
4,0.25,Disagree,Astrobiologists,2025-09-30 00:42:09.735000
3,0.5,Neutral,Astrobiologists,2025-09-29 20:31:32.037000
4,0.25,Disagree,Astrobiologists,2025-09-29 15:50:45.948000
4,0.25,Disagree,Astrobiologists,2025-09-29 14:10:54.776000
4,0.25,Disagree,Astrobiologists,2025-09-29 13:07:41.663000
2,0.75,Agree,Astrobiologists,2025-09-29 09:17:35.769000
3,0.5,Neutral,Astrobiologists,2025-09-29 06:46:46.264000
2,0.75,Agree,Astrobiologists,2025-09-28 19:38:53.003000
3,0.5,Neutral,Astrobiologists,2025-09-27 13:07:11.408000
3,0.5,Neutral,Astrobiologists,2025-09-26 16:22:05.487000
4,0.25,Disagree,Astrobiologists,2025-09-26 13:17:24.250000
3,0.5,Neutral,Astrobiologists,2025-09-26 13:04:30.965000
4,0.25,Disagree,Astrobiologists,2025-09-26 12:41:48.172000
1,0.95,Strongly agree,Astrobiologists,2025-09-26 08:23:53.310000
3,0.5,Neutral,Astrobiologists,2025-09-26 01:52:39.787000
3,0.5,Neutral,Astrobiologists,2025-09-25 20:14:34.932000
3,0.5,Neutral,Astrobiologists,2025-09-25 17:51:34.928000
3,0.5,Neutral,Astrobiologists,2025-09-25 17:38:01.773000
3,0.5,Neutral,Astrobiologists,2025-09-25 15:47:15.260000
4,0.25,Disagree,Astrobiologists,2025-09-25 15:38:44.216000
4,0.25,Disagree,Astrobiologists,2025-09-25 14:19:28.687000
4,0.25,Disagree,Astrobiologists,2025-09-25 13:45:23.212000
3,0.5,Neutral,Astrobiologists,2025-09-25 13:10:10.025000
5,0.05,Strongly disagree,Astrobiologists,2025-09-25 10:13:34.578000
3,0.5,Neutral,Astrobiologists,2025-09-25 09:03:08.282000
5,0.05,Strongly disagree,Astrobiologists,2025-09-25 08:53:50.192000
4,0.25,Disagree,Astrobiologists,2025-09-25 07:48:29.897000
5,0.05,Strongly disagree,Astrobiologists,2025-09-25 07:12:30.767000
4,0.25,Disagree,Astrobiologists,2025-09-25 07:00:39.959000
3,0.5,Neutral,Astrobiologists,2025-09-25 06:44:47.837000
5,0.05,Strongly disagree,Astrobiologists,2025-09-25 06:40:14.633000
3,0.5,Neutral,Astrobiologists,2025-09-25 06:35:18.983000
5,0.05,Strongly disagree,Astrobiologists,2025-09-25 04:20:47.538000
3,0.5,Neutral,Astrobiologists,2025-09-24 22:00:28.601000
3,0.5,Neutral,Astrobiologists,2025-09-24 18:57:00.921000
