cepa,condicion,dia,supervivencia_pct,n_gusanos
C1559,DMSO,0,100.0,68
C1559,DMSO,1,97.06,68
C1559,DMSO,2,95.44,68
C1559,DMSO,3,92.21,68
C1559,DMSO,4,64.71,68
C1559,DMSO,5,55.0,68
C1559,DMSO,6,19.41,68
C1559,DMSO,7,19.41,68
C1559,Uninfected,0,100.0,106
C1559,Uninfected,1,99.06,106
C1559,Uninfected,2,97.01,106
C1559,Uninfected,3,94.97,106
C1559,Uninfected,4,89.87,106
C1559,Uninfected,5,77.61,106
C1559,Uninfected,6,67.4,106
C1559,Uninfected,7,64.34,106
C1559,MKM_64,0,100.0,105
C1559,MKM_64,1,98.1,105
C1559,MKM_64,2,96.11,105
C1559,MKM_64,3,90.17,105
C1559,MKM_64,4,86.2,105
C1559,MKM_64,5,83.23,105
C1559,MKM_64,6,49.54,105
C1559,MKM_64,7,46.57,105
C1559,PolymyxinB_25,0,100.0,99
C1559,PolymyxinB_25,1,98.99,99
C1559,PolymyxinB_25,2,92.74,99
C1559,PolymyxinB_25,3,91.7,99
C1559,PolymyxinB_25,4,88.57,99
C1559,PolymyxinB_25,5,67.73,99
C1559,PolymyxinB_25,6,55.23,99
C1559,PolymyxinB_25,7,53.14,99
ATCC_33495,DMSO,0,100.0,73
ATCC_33495,DMSO,1,95.89,73
ATCC_33495,DMSO,2,83.2,73
ATCC_33495,DMSO,3,76.15,73
ATCC_33495,DMSO,4,62.05,73
ATCC_33495,DMSO,5,47.95,73
ATCC_33495,DMSO,6,8.46,73
ATCC_33495,DMSO,7,0.0,73
ATCC_33495,Uninfected,0,100.0,102
ATCC_33495,Uninfected,1,99.02,102
ATCC_33495,Uninfected,2,97.97,102
ATCC_33495,Uninfected,3,92.7,102
ATCC_33495,Uninfected,4,85.33,102
ATCC_33495,Uninfected,5,77.95,102
ATCC_33495,Uninfected,6,76.9,102
ATCC_33495,Uninfected,7,71.63,102
ATCC_33495,MKM_64,0,100.0,118
ATCC_33495,MKM_64,1,95.76,118
ATCC_33495,MKM_64,3,92.01,118
ATCC_33495,MKM_64,4,86.37,118
ATCC_33495,MKM_64,5,64.78,118
ATCC_33495,MKM_64,6,49.76,118
ATCC_33495,MKM_64,7,41.31,118
ATCC_33495,PolymyxinB_25,0,100.0,111
ATCC_33495,PolymyxinB_25,1,98.2,111
ATCC_33495,PolymyxinB_25,2,96.33,111
ATCC_33495,PolymyxinB_25,3,89.78,111
ATCC_33495,PolymyxinB_25,4,87.91,111
ATCC_33495,PolymyxinB_25,5,79.49,111
ATCC_33495,PolymyxinB_25,6,66.4,111
ATCC_33495,PolymyxinB_25,7,59.85,111
