driver,area_km2,pct_perdida_total
Shifting agriculture,47692.9,17.2
Pasture,41564.0,14.99
Fire,34206.1,12.33
Forestry/Clearcut,25180.6,9.08
Cropland,17807.9,6.42
Selective logging,9509.8,3.43
Palm plantation,5379.3,1.94
Non-timber tree plantation,5061.0,1.82
Clearing with uncertain purpose,4936.7,1.78
Insects,4903.8,1.77
Hurricanes/Windfalls,3432.2,1.24
Mining,3012.8,1.09
Road,2135.2,0.77
Timber tree plantation,1939.2,0.7
Settlement,1054.2,0.38
Commercial construction,946.7,0.34
Flood natural incl. river meandering,274.8,0.1
Energy infrastructure,48.3,0.02
Flood dams,17.4,0.01
Other natural,7.1,0.0
