sitio,hora_local,horas_desde_inicio,agua_hora_ml,agua_acumulada_ml
Austin,08:00:00,0.0,0.0,0.0
Austin,09:00:00,1.0,26.0,26.0
Austin,10:00:00,2.0,87.0,113.0
Austin,11:00:00,3.0,156.0,269.0
Austin,12:00:00,4.0,176.0,445.0
Austin,13:00:00,5.0,152.0,578.0
Austin,14:00:00,6.0,152.0,724.0
Austin,15:00:00,7.0,48.0,772.0
Austin,16:00:00,8.0,154.0,951.0
Austin,17:00:00,9.0,168.0,1119.0
Austin,18:00:00,10.0,136.0,1255.0
Austin,18:51:00,10.85,43.0,1298.0
Chihuahuan,07:45:00,0.0,0.0,0.0
Chihuahuan,09:00:00,1.25,26.0,26.0
Chihuahuan,10:00:00,2.25,62.0,88.0
Chihuahuan,11:00:00,3.25,81.0,169.0
Chihuahuan,12:00:00,4.25,59.0,228.0
Chihuahuan,13:00:00,5.25,40.0,268.0
Chihuahuan,14:00:00,6.25,88.0,356.0
Chihuahuan,15:00:00,7.25,80.0,436.0
Chihuahuan,16:00:00,8.25,42.0,478.0
Chihuahuan,17:00:00,9.25,64.0,542.0
Chihuahuan,18:00:00,10.25,52.0,594.0
Chihuahuan,18:51:00,11.1,16.0,610.0
