iso3,year,emi,emi_std
SYR,1990,30713.932,8662.574
SYR,1991,21906.742,5680.986
SYR,1992,24191.383,5604.45
SYR,1993,25575.383,6032.9614
SYR,1994,24696.973,3034.8562
SYR,1995,26192.582,3150.7073
SYR,1996,34022.133,9928.954
SYR,1997,50258.086,22687.361
SYR,1998,36485.605,10977.018
SYR,1999,46377.34,28396.83
SYR,2000,42135.97,9638.947
SYR,2001,45475.21,8597.574
SYR,2002,49238.89,8565.63
SYR,2003,71343.0,18791.012
SYR,2004,134823.27,37932.5
SYR,2005,142631.64,56128.246
SYR,2006,230672.22,67024.87
SYR,2007,217611.72,52190.832
SYR,2008,260301.0,61981.848
SYR,2009,220988.31,56120.81
SYR,2010,240953.6,83008.56
SYR,2011,346454.2,278848.0
SYR,2012,1835215.8,502381.44
SYR,2013,2160007.0,421995.16
SYR,2014,1468453.5,262604.88
SYR,2015,1621152.6,212168.83
SYR,2016,1099645.9,226725.89
SYR,2017,731001.1,194710.05
SYR,2018,309146.5,124723.414
SYR,2019,158161.11,14100.521
SYR,2020,166331.58,20493.986
SYR,2021,219716.34,25840.895
SYR,2022,268885.25,32631.914
SYR,2023,784628.1,156597.77
UKR,1990,308222.53,161987.58
UKR,1991,230213.12,67896.38
UKR,1992,177239.9,54258.613
UKR,1993,288776.94,84965.62
UKR,1994,288337.66,84539.27
UKR,1995,326625.03,89752.65
UKR,1996,344693.56,78491.18
UKR,1997,176799.94,52159.316
UKR,1998,180778.31,84457.96
UKR,1999,156846.48,43822.457
UKR,2000,144898.22,39734.77
UKR,2001,143395.9,26127.824
UKR,2002,129892.01,21725.691
UKR,2003,126316.22,14663.935
UKR,2004,143891.42,20007.037
UKR,2005,127059.625,19280.193
UKR,2006,144872.73,17635.543
UKR,2007,160439.77,23701.63
UKR,2008,148602.1,25481.275
UKR,2009,193124.12,44146.16
UKR,2010,136268.16,19324.89
UKR,2011,140218.03,17948.744
UKR,2012,129403.22,16269.348
UKR,2013,138228.75,19809.121
UKR,2014,221607.14,37093.426
UKR,2015,304555.9,62817.586
UKR,2016,222128.16,43310.656
UKR,2017,245645.81,51531.332
UKR,2018,240182.95,40332.188
UKR,2019,255020.06,39468.47
UKR,2020,222994.95,51914.047
UKR,2021,265153.75,49971.227
UKR,2022,3693710.5,382394.56
UKR,2023,2126032.5,324997.5
VEN,1990,45879.188,8788.053
VEN,1991,40234.977,6353.5195
VEN,1992,41792.117,6738.5347
VEN,1993,45537.195,6639.589
VEN,1994,49413.793,12191.955
VEN,1995,46074.65,5739.804
VEN,1996,58456.527,12530.629
VEN,1997,51594.773,7120.411
VEN,1998,60780.21,13059.685
VEN,1999,71686.08,14406.535
VEN,2000,59717.47,10484.829
VEN,2001,56362.297,11518.424
VEN,2002,71342.85,9766.033
VEN,2003,80783.266,17281.46
VEN,2004,70641.03,22874.93
VEN,2005,63689.164,14226.145
VEN,2006,75760.07,17306.967
VEN,2007,77980.336,14337.011
VEN,2008,71464.33,11787.373
VEN,2009,74231.516,11783.833
VEN,2010,90165.81,14873.99
VEN,2011,89340.0,17488.516
VEN,2012,79766.66,13774.381
VEN,2013,91057.25,18354.916
VEN,2014,97269.41,15169.016
VEN,2015,145695.5,46995.1
VEN,2016,275999.25,129868.65
VEN,2017,593062.9,172922.42
VEN,2018,2269064.5,241307.98
VEN,2019,1731823.2,120644.01
VEN,2020,602855.25,55810.652
VEN,2021,844814.4,79115.805
VEN,2022,856346.0,70638.17
VEN,2023,1840395.8,266929.06
