number,dive_site,date,longitude_deg,latitude_deg,depth_m,bones_observed,stage
1,FDZ159,2023/01/21,101.3643,-33.6183,5998.6,6,Whale fossil
2,FDZ159,2023/01/21,101.3642,-33.6186,7000.5,2,Whale fossil
3,FDZ159,2023/01/21,101.3642,-33.6189,7000.3,1,Whale fossil
4,FDZ159,2023/01/21,101.3643,-33.619,7000.1,1,Whale fossil
5,FDZ159,2023/01/21,101.3644,-33.622,7001.1,2,Whale fossil
6,FDZ159,2023/01/21,101.3667,-33.6198,6979.4,2,Whale fossil
7,FDZ159,2023/01/21,101.3699,-33.6181,6937.8,1,Whale fossil
8,FDZ159,2023/01/21,101.3705,-33.618,6929.3,1,Whale fossil
9,FDZ159,2023/01/21,101.3728,-33.6175,6896.8,1,Whale fossil
10,FDZ159,2023/01/21,101.3729,-33.6175,6894.2,1,Whale fossil
11,FDZ160,2023/01/22,101.4504,-33.2233,6511.9,2,Whale fossil
12,FDZ160,2023/01/22,101.4499,-33.223,6512.4,3,Whale fossil
13,FDZ160,2023/01/22,101.4455,-33.2141,6508.3,1,Whale fossil
14,FDZ161,2023/01/23,101.362,-33.6179,6999.8,1,Whale fossil
15,FDZ161,2023/01/23,101.3616,-33.6183,6998.5,2,Whale fossil
16,FDZ161,2023/01/23,101.3617,-33.6183,6999.4,1,Whale fossil
17,FDZ161,2023/01/23,101.3591,-33.6193,6998.9,1,Whale fossil
18,FDZ161,2023/01/23,101.3493,-33.6173,6998.7,6,Whale fossil
19,FDZ161,2023/01/23,101.3458,-33.6148,6990.4,1,Whale fossil
20,FDZ161,2023/01/23,101.3349,-33.604,6911.7,15,Whale fossil
21,FDZ163,2023/01/24,101.555,-33.4688,6788,1,Reef stage
22,FDZ163,2023/01/24,101.5548,-33.4682,6788.4,1,Reef stage
23,FDZ163,2023/01/24,101.555,-33.468,6787.8,1,Reef stage
24,FDZ163,2023/01/24,101.5574,-33.4594,6771.9,~40,Reef stage
25,FDZ163,2023/01/24,101.5593,-33.4539,6752.3,1,Reef stage
26,FDZ163,2023/01/24,101.5596,-33.452,6740.6,1,Reef stage
27,FDZ163,2023/01/24,101.5597,-33.4517,6738.3,1,Whale fossil
28,FDZ163,2023/01/24,101.5597,-33.4517,6738.5,~10,Whale fossil
29,FDZ164,2023/01/25,101.2615,-33.4295,6656.5,14,Whale fossil
30,FDZ164,2023/01/25,101.2615,-33.4293,6655,3,Reef stage
31,FDZ164,2023/01/25,101.2617,-33.429,6651.6,1,Whale fossil
32,FDZ164,2023/01/25,101.2616,-33.4287,6665.1,2,Reef stage
33,FDZ164,2023/01/25,101.2616,-33.4285,6650.3,1,Reef stage
34,FDZ164,2023/01/25,101.2616,-33.4282,6648.5,2,Reef stage
35,FDZ164,2023/01/25,101.2612,-33.4279,6647.9,7,Reef stage
36,FDZ164,2023/01/25,101.2612,-33.4277,6646.4,3,Reef stage
37,FDZ164,2023/01/25,101.2613,-33.4273,6644.8,4,Reef stage
38,FDZ164,2023/01/25,101.2612,-33.4266,6642.5,1,Whale fossil
39,FDZ164,2023/01/25,101.2612,-33.4262,6641,~10,Whale fossil
40,FDZ164,2023/01/25,101.2612,-33.4262,6641.1,4,Reef stage
41,FDZ164,2023/01/25,101.2615,-33.4254,6634.1,4,Reef stage
