station,lat,lon,step_mm,p2p_mm,rise_time_s,dist_km
0001,45.403,141.75,0.0198,0.2389,,688.3
0002,44.4337,143.224,0.0343,0.1966,,564.9
0003,44.3979,141.756,0.0214,0.2484,,579.9
0004,43.9157,144.676,-0.0027,0.1525,,514.8
0005,43.5079,144.449,0.0028,0.1546,,467.0
0007,43.5897,142.482,0.0312,0.2423,,479.0
0008,43.854,141.51,0.0364,0.2611,,528.2
0009,43.0701,145.13,0.0025,0.1694,,432.7
0010,42.9633,144.432,0.0305,0.1771,,407.1
0011,43.0286,143.459,-0.0389,0.2135,,408.0
0012,42.9805,142.402,0.0336,0.2769,,414.3
0013,43.1779,141.031,0.0428,0.3042,,474.5
0014,42.9833,141.731,0.0222,0.3244,,431.3
0015,42.3216,143.331,0.0783,0.2429,,329.9
0016,42.3569,142.365,0.0471,0.2967,,348.3
0017,42.4507,139.858,0.099,0.3736,,464.0
0018,42.3742,140.942,0.0967,0.4097,,401.4
0019,42.0059,143.157,0.0248,0.2512,,296.3
0020,42.1535,139.52,0.1222,0.4074,,461.3
0021,42.0081,140.107,0.1032,0.4457,,414.6
0022,41.8261,140.748,0.1458,0.4833,,363.2
0023,41.4664,140.041,0.2016,0.5108,126.0,379.6
0024,41.3008,141.213,0.2055,0.5934,132.0,294.1
0026,40.779,140.273,0.3576,0.6598,118.0,321.8
0027,40.1334,141.789,0.8227,1.4103,99.0,174.9
0028,39.5724,141.94,2.261,2.6492,95.0,141.9
0029,39.1106,141.204,2.4233,2.7657,92.0,205.6
0030,39.9679,139.776,0.501,0.7878,112.0,331.7
0031,39.3987,140.048,0.8526,1.1426,104.0,302.7
0032,38.8946,139.809,0.9549,1.3424,103.0,328.5
0033,38.7586,140.319,1.1706,1.6233,100.0,288.5
0035,38.331,140.366,1.2444,1.8456,96.0,300.1
0036,38.4492,141.441,3.3391,3.91,81.0,210.2
0037,38.3175,140.954,2.4494,2.8633,87.0,254.5
0038,37.8007,140.908,3.0421,3.4139,86.0,289.1
0040,37.6437,139.792,1.0563,1.3714,103.0,380.1
0041,37.0907,140.903,1.7205,2.1303,101.0,343.4
0042,36.5399,140.612,0.9084,1.3251,106.0,406.9
0043,36.4018,139.726,0.4682,0.8837,122.0,471.1
0044,36.697,138.906,0.4017,0.7605,120.0,504.4
0045,36.259,138.865,0.2472,0.6017,127.0,538.1
0046,36.4998,137.851,0.2453,0.5558,131.0,593.7
0047,35.9236,137.944,0.1553,0.4501,,625.4
0048,35.5903,138.583,0.1591,0.415,,607.6
0049,38.2307,139.51,0.8483,1.2739,104.0,373.6
