time_s,disp_mm
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.00537
6,0.01038
7,0.01736
8,0.0256
9,0.0339
10,0.04552
11,0.05391
12,0.06015
13,0.06353
14,0.06369
15,0.06997
16,0.07318
17,0.07835
18,0.08579
19,0.09494
20,0.11055
21,0.12463
22,0.13837
23,0.15042
24,0.1598
25,0.17137
26,0.18002
27,0.18929
28,0.20054
29,0.21488
30,0.23804
31,0.26441
32,0.29537
33,0.33335
34,0.37076
35,0.41386
36,0.4513
37,0.4836
38,0.51307
39,0.53385
40,0.55849
41,0.57812
42,0.60008
43,0.63289
44,0.67201
45,0.73643
46,0.8084
47,0.89241
48,0.98716
49,1.08268
50,1.18356
51,1.27432
52,1.35595
53,1.42912
54,1.49267
55,1.563
56,1.629
57,1.69929
58,1.77646
59,1.85588
60,1.94398
61,2.02326
62,2.09069
63,2.14474
64,2.17712
65,2.18978
66,2.18395
67,2.16686
68,2.15447
69,2.14801
70,2.15899
71,2.19378
72,2.25577
73,2.34666
74,2.45303
75,2.56735
76,2.68304
77,2.79298
78,2.89764
79,2.98988
80,3.06816
81,3.14296
82,3.22302
83,3.31743
84,3.42453
85,3.54327
86,3.67288
87,3.81051
88,3.95192
89,4.0835
90,4.20163
91,4.30153
92,4.38806
93,4.46904
94,4.54583
95,4.62937
96,4.72116
97,4.82746
98,4.94853
99,5.07503
100,5.19881
101,5.30668
102,5.39033
103,5.44425
104,5.4625
105,5.44687
106,5.40313
107,5.34267
108,5.28012
109,5.2241
110,5.18271
111,5.16013
112,5.15587
113,5.16698
114,5.18413
115,5.19771
116,5.20075
117,5.19042
118,5.16774
119,5.13634
120,5.10261
121,5.07503
122,5.06305
123,5.07146
124,5.10058
125,5.14559
126,5.19848
127,5.25035
128,5.29049
129,5.30939
130,5.30165
131,5.26661
132,5.2099
133,5.14046
134,5.06796
135,5.00227
136,4.95263
137,4.92457
138,4.91888
139,4.93078
140,4.95244
141,4.97587
142,4.9938
143,5.0005
144,4.99302
145,4.97238
146,4.94337
147,4.91376
148,4.89059
149,4.8791
150,4.88234
151,4.89914
152,4.92684
153,4.95928
154,4.9885
155,5.00814
156,5.01366
157,5.00362
158,4.98061
159,4.94843
160,4.91379
161,4.88343
162,4.86291
163,4.85638
164,4.86318
165,4.88111
166,4.90572
167,4.9313
168,4.95241
169,4.96512
170,4.96733
171,4.96034
172,4.94695
173,4.93135
174,4.91795
175,4.90951
176,4.90839
177,4.91383
178,4.92334
179,4.93336
180,4.93993
181,4.93995
182,4.93201
183,4.91641
184,4.89566
185,4.87359
186,4.85465
187,4.84312
188,4.84124
189,4.84978
190,4.86716
191,4.88998
192,4.91372
193,4.9337
194,4.94612
195,4.94884
196,4.94175
197,4.92672
198,4.90686
199,4.88651
200,4.86938
201,4.85826
202,4.85439
203,4.85725
204,4.86491
205,4.87439
206,4.88266
207,4.88725
208,4.88686
209,4.88169
210,4.87401
211,4.8655
212,4.85923
213,4.85746
214,4.86136
215,4.87068
216,4.88365
217,4.89784
218,4.91017
219,4.91797
220,4.91943
221,4.91405
222,4.90272
223,4.88747
224,4.87105
225,4.85631
226,4.84559
227,4.84028
228,4.84064
229,4.84576
230,4.85393
231,4.8631
232,4.8713
233,4.87717
234,4.88011
235,4.88041
236,4.87901
237,4.87723
238,4.87629
239,4.87705
240,4.87974
241,4.8839
242,4.88855
243,4.89245
244,4.89444
245,4.89374
246,4.89018
247,4.88422
248,4.87689
249,4.86949
250,4.86329
251,4.85927
252,4.85789
253,4.85904
254,4.86209
255,4.86609
256,4.87009
257,4.87331
258,4.87534
259,4.87624
260,4.87636
261,4.87625
262,4.87637
263,4.87696
264,4.87781
265,4.87837
266,4.87784
267,4.87547
268,4.87079
269,4.86387
270,4.85547
271,4.84694
272,4.84008
273,4.83669
274,4.83824
275,4.84542
276,4.85787
277,4.8742
278,4.89205
279,4.90859
280,4.92093
281,4.92677
282,4.92481
283,4.91506
284,4.89893
285,4.87889
286,4.8581
287,4.83982
288,4.82679
289,4.82075
290,4.82216
291,4.83018
292,4.84291
293,4.85777
294,4.8721
295,4.88363
296,4.89089
297,4.89341
298,4.8917
299,4.88701
300,4.88099
301,4.87526
302,4.87103
303,4.86892
304,4.86884
305,4.87015
306,4.87188
307,4.87306
308,4.87297
309,4.87136
310,4.86854
311,4.86524
312,4.86239
313,4.8609
314,4.86139
315,4.86398
316,4.86823
317,4.87328
318,4.878
319,4.88128
320,4.88232
321,4.88078
322,4.87694
323,4.8716
324,4.86592
325,4.86113
326,4.8583
327,4.85802
328,4.86036
329,4.86481
330,4.87039
331,4.87595
332,4.88036
333,4.88281
334,4.88299
335,4.88111
336,4.87783
337,4.87411
338,4.87095
339,4.86916
340,4.86916
341,4.87091
342,4.87395
343,4.8775
344,4.88069
345,4.88279
346,4.88333
347,4.88229
348,4.88
349,4.87712
350,4.87443
351,4.87261
352,4.87211
353,4.87303
354,4.87505
355,4.8776
356,4.87994
357,4.8814
358,4.8815
359,4.8801
360,4.87745
361,4.87404
362,4.8706
363,4.86781
364,4.86619
365,4.86597
366,4.867
367,4.86886
368,4.87092
369,4.87251
370,4.87313
371,4.87252
372,4.87077
373,4.86828
374,4.86566
375,4.86356
376,4.86254
377,4.86291
378,4.86467
379,4.86746
380,4.87073
381,4.87379
382,4.87603
383,4.87704
384,4.87671
385,4.87525
386,4.87312
387,4.87093
388,4.86927
389,4.86856
390,4.86898
391,4.87039
392,4.87241
393,4.87448
394,4.87606
395,4.87671
396,4.87627
397,4.87482
398,4.87273
399,4.87051
400,4.86875
401,4.86789
402,4.86818
403,4.86955
404,4.8717
405,4.87413
406,4.87624
407,4.87755
408,4.87773
409,4.87678
410,4.87491
411,4.87259
412,4.87038
413,4.8688
414,4.86821
415,4.86872
416,4.87015
417,4.87212
418,4.8741
419,4.87558
420,4.87618
421,4.87571
422,4.87431
423,4.8723
424,4.87019
425,4.86849
426,4.86762
427,4.8678
428,4.86896
429,4.87082
430,4.87292
431,4.87474
432,4.87583
433,4.87593
434,4.87504
435,4.87337
436,4.87137
437,4.86954
438,4.86835
439,4.86811
440,4.86891
441,4.87053
442,4.87263
443,4.87468
444,4.87621
445,4.87685
446,4.87647
447,4.87517
448,4.87329
449,4.8713
450,4.86969
451,4.86886
452,4.86901
453,4.87009
454,4.87183
455,4.87381
456,4.87552
457,4.87655
458,4.87666
459,4.87583
460,4.87427
461,4.87239
462,4.87064
463,4.86948
464,4.86918
465,4.86984
466,4.87129
467,4.87318
468,4.87505
469,4.87646
470,4.87707
471,4.87675
472,4.87558
473,4.87388
474,4.87205
475,4.87057
476,4.86977
477,4.86987
478,4.87081
479,4.87236
480,4.87412
481,4.87564
482,4.87656
483,4.87666
484,4.8759
485,4.87449
486,4.87279
487,4.87121
488,4.87018
489,4.86993
490,4.87054
