x_mpch,y_mpch,z_mpch
867.6317,457.8748,-97.6243
941.7432,319.9210,-99.1063
899.5094,306.2033,-98.0827
949.2348,206.9815,-97.7455
915.7661,153.2970,-95.5580
882.0892,2.9061,-96.8972
987.0677,-56.8651,-99.5030
921.1531,-62.5908,-96.1523
952.6651,-77.3086,-92.2605
918.1694,-274.1961,-97.3127
860.5723,-374.2210,-98.7489
853.4523,-489.2687,-99.5793
688.4349,709.0156,-97.6136
755.3787,605.8798,-99.1079
704.7412,606.4161,-98.5270
705.6725,605.5481,-96.7436
628.7921,608.6483,-97.5116
615.6202,611.7777,-98.0085
827.1199,548.5049,-89.2135
823.3530,548.2649,-99.2571
839.7112,539.5589,-96.6610
821.4270,539.4725,-89.6298
644.6111,525.7011,-96.4178
776.7348,487.1217,-94.2586
624.3186,478.4461,-99.1471
605.2867,481.5966,-98.6210
672.1202,464.5913,-96.0590
714.3012,453.4574,-93.6533
678.2231,459.4055,-94.5742
713.9294,452.4089,-94.3040
667.9677,460.0417,-95.2992
772.0119,431.8027,-96.2085
818.2360,411.4504,-93.3719
911.3752,393.2028,-86.9353
856.1589,397.1991,-96.4359
789.5663,382.0124,-97.9702
588.3580,389.0179,-98.7008
597.9358,364.0560,-98.9267
719.2512,305.7957,-94.1605
791.0572,293.9588,-91.5638
945.2252,272.9030,-87.9290
711.1095,298.1986,-93.0613
898.5055,272.4742,-88.3838
729.7009,291.0830,-98.0730
687.7096,293.0425,-94.8759
665.3261,269.8579,-97.7024
697.0520,259.1787,-91.9017
953.3585,204.7072,-90.7703
970.7480,198.4921,-88.9221
513.7687,210.9905,-99.6502
773.0904,135.2545,-94.2635
820.4587,127.3379,-93.3936
641.9774,127.3705,-97.5332
735.6212,79.6925,-94.1162
656.1465,78.3616,-95.4634
978.3335,62.8087,-88.9793
916.3679,60.3163,-92.1829
597.5039,53.5555,-95.0928
916.1162,46.2783,-87.9267
930.4219,40.0282,-89.4808
938.8825,25.6089,-83.6446
964.7833,15.8294,-83.5418
944.3639,0.2154,-91.5903
701.6850,-2.3849,-99.2717
558.7876,-42.5477,-99.4412
819.3593,-39.5543,-95.5264
912.2977,-43.1728,-91.2865
778.8898,-57.1781,-95.1290
690.3799,-60.1526,-94.5310
699.4255,-60.1678,-93.2501
525.8081,-107.2312,-99.9034
671.0995,-109.7703,-98.3058
768.6411,-140.1095,-95.3208
929.2833,-133.9987,-83.3932
692.9705,-155.3751,-97.6324
841.3001,-152.4362,-89.8303
833.0605,-153.7892,-94.8030
777.2821,-159.6805,-97.3049
849.9147,-180.1293,-94.2048
612.4308,-204.0421,-97.3032
620.8391,-205.2315,-94.9513
697.2212,-217.2476,-92.9342
776.1261,-213.0290,-89.8563
750.7441,-216.5984,-96.7737
978.2392,-199.6901,-84.0891
693.2958,-228.2190,-93.2394
756.8380,-225.2203,-93.2421
733.7281,-234.8390,-98.9036
708.9755,-279.0672,-96.3021
683.3919,-307.4892,-94.3424
711.9872,-304.4681,-93.3109
716.4450,-305.9287,-92.4820
732.5099,-306.2864,-97.9292
729.4478,-307.4693,-93.4228
720.4726,-319.3139,-98.9011
716.2572,-327.5749,-97.2842
741.1227,-324.3836,-96.1094
790.1098,-336.3323,-93.6302
775.0388,-344.6323,-97.9612
880.4731,-375.8838,-87.3823
632.4863,-448.8881,-95.6532
806.8132,-424.4259,-97.3713
869.0012,-442.9598,-87.0669
800.3002,-517.2391,-97.7593
740.3285,-552.3425,-92.9267
743.0899,-606.7321,-96.5694
741.8844,-653.2671,-96.6520
696.8184,-709.0224,-95.5295
342.0426,925.7316,-99.2162
350.8878,916.7945,-99.6483
371.0354,909.9466,-99.3525
321.5903,922.6588,-97.8285
626.6265,738.7766,-95.9490
365.1867,810.3539,-96.4240
342.5926,808.0028,-96.6118
460.4453,772.5044,-97.9942
445.2210,776.6997,-94.0276
318.4204,809.9967,-99.7082
393.3284,781.5621,-98.9493
421.8532,773.0642,-95.5717
572.7447,729.6912,-93.9839
519.6914,743.6662,-93.4450
531.5272,713.7212,-93.6800
479.8606,714.6852,-97.6142
280.8174,765.0135,-98.2371
416.1859,682.7219,-99.0591
797.3406,583.4241,-80.3073
802.3533,579.3884,-79.8152
660.8378,608.1428,-87.2153
307.3304,682.6251,-97.0645
653.2315,591.8271,-86.0228
660.1134,576.8167,-90.7791
648.3618,576.1658,-94.8420
353.6401,633.8043,-97.2918
395.2874,623.1403,-97.4757
657.0498,563.2139,-94.6803
335.6264,634.9950,-97.4378
579.6238,568.0234,-91.3145
569.5878,568.5299,-88.1881
846.4365,506.3596,-84.2394
285.3820,626.7418,-98.6415
280.4717,627.4618,-98.0541
323.8453,617.7039,-97.3259
344.2455,611.4258,-94.9185
307.9623,615.6613,-96.3283
602.2466,526.1052,-85.6987
530.5060,535.3212,-97.6892
646.7764,511.3843,-88.3026
558.0118,517.9011,-98.1104
702.2736,469.6358,-82.8965
697.8291,467.1212,-85.8589
688.8472,467.0693,-90.3864
635.6543,475.1908,-88.8919
604.5398,479.8550,-91.2679
648.4019,458.5611,-91.0924
395.1080,501.1960,-98.1949
572.3689,464.4923,-97.4303
281.3815,516.4219,-96.8180
707.9564,429.7044,-91.8844
703.2506,424.9955,-90.5276
676.8827,423.4268,-91.0311
186.6886,501.8839,-99.3893
489.4524,449.0957,-90.8214
490.4020,429.9592,-88.8377
310.7039,428.7972,-95.3610
371.5864,409.3882,-97.3619
376.6349,353.5356,-92.4022
762.3100,300.4492,-80.6523
434.1393,341.2616,-99.4741
826.3469,291.6823,-86.2313
813.8167,282.2419,-82.7489
765.7061,281.2747,-81.8981
716.5925,286.3221,-90.0067
589.9216,278.4927,-86.2519
728.9329,262.9249,-87.1701
588.4066,274.7193,-89.0847
390.1000,281.2959,-99.2586
548.9145,253.9417,-96.8243
945.9507,186.4381,-76.4819
464.2220,226.8061,-99.3191
735.2394,202.4610,-86.2903
593.8235,201.5739,-87.3437
451.7913,210.4807,-99.1999
407.9904,161.1707,-94.4053
211.8874,170.9264,-96.9964
671.0589,141.0114,-82.7100
213.9621,162.5348,-97.3704
619.6507,129.0980,-89.8992
649.5655,117.4771,-87.5229
549.6386,121.6468,-94.7353
976.7174,98.8679,-72.4820
842.4306,102.8610,-78.5716
850.3840,100.3541,-81.2839
609.9048,105.9637,-91.6911
637.1078,104.1960,-88.8292
638.0160,103.4643,-82.7641
635.4822,103.4206,-83.4640
152.4293,112.0685,-99.3875
753.0773,78.5377,-80.0004
319.7017,89.1291,-99.9630
655.5275,77.6154,-89.7478
694.5455,71.2641,-85.0099
621.4191,67.1396,-92.2918
558.9812,67.4583,-91.3358
366.0045,51.7362,-95.5400
431.7956,19.0683,-99.3629
160.8506,20.3727,-98.4757
792.8456,8.4356,-77.7088
779.1124,5.8730,-83.3756
783.4164,-1.7974,-78.1672
475.4534,-16.7610,-92.7089
672.6055,-44.3329,-85.6377
311.9951,-51.7865,-94.3288
437.8955,-56.4952,-94.0867
415.6101,-68.2908,-92.1025
625.0203,-74.4453,-83.3059
444.9061,-90.3815,-97.8317
469.0017,-95.8297,-94.4093
471.7202,-97.0564,-94.7016
499.0951,-105.0902,-88.7358
672.4129,-103.3183,-85.7457
408.9093,-118.8038,-94.0443
550.4032,-114.7357,-93.8373
543.3322,-116.0214,-95.4480
543.4724,-116.2127,-95.0669
346.6178,-133.1694,-92.7110
442.8785,-140.0009,-90.3889
924.1631,-129.0349,-79.8485
772.1397,-137.9789,-83.3935
797.4728,-143.1925,-85.9445
944.8793,-135.3857,-80.6225
661.3716,-161.1909,-89.7506
692.8084,-160.2343,-82.3194
656.4654,-163.6186,-92.4415
619.6002,-198.5729,-90.5532
607.4527,-207.4655,-88.5118
629.8193,-207.2713,-87.1455
623.0479,-211.8630,-85.4149
694.5857,-212.3504,-88.8909
373.3463,-272.6346,-95.9835
775.7406,-244.5208,-88.8211
458.8690,-297.0923,-96.5694
895.0441,-257.6357,-83.6348
208.4475,-340.1986,-98.3893
787.8960,-279.6714,-83.0724
380.4998,-337.0179,-97.2112
896.1170,-290.1321,-74.8120
899.1589,-291.1080,-75.7624
672.2983,-335.4802,-87.6965
599.2465,-355.8554,-93.8896
792.3270,-335.6957,-82.6196
314.5900,-411.1869,-95.0752
303.5480,-432.0836,-99.9234
300.5730,-440.6604,-98.7498
863.9673,-357.0758,-78.5520
935.4900,-348.4658,-82.2197
930.1722,-350.4830,-78.3905
835.3672,-374.9519,-85.0371
897.4704,-369.7393,-79.7004
910.9792,-372.4809,-77.4084
912.3193,-396.9448,-75.5026
706.2676,-438.6754,-84.6577
446.3308,-510.1755,-96.2331
570.8502,-494.6211,-93.1982
439.6749,-523.8269,-94.0491
764.0675,-467.1511,-86.0427
566.4663,-519.8348,-92.0070
804.0741,-487.1551,-86.8549
440.0402,-567.0717,-96.2107
271.5910,-603.8930,-99.2942
384.0959,-610.5802,-98.9837
850.1440,-518.7819,-78.3411
507.5774,-644.8226,-92.2008
543.4509,-643.1553,-90.2940
498.2998,-655.2693,-99.4408
740.2020,-596.4804,-91.0866
744.7777,-598.8673,-91.7250
597.2323,-650.3750,-88.9873
596.9008,-653.0111,-87.5016
537.2827,-684.3590,-93.6170
338.3641,-741.4129,-96.9738
752.8295,-637.0082,-87.8531
544.4110,-705.5398,-93.3056
616.9376,-694.1256,-96.0499
689.8373,-710.6115,-92.3425
394.3069,-804.8313,-99.4149
668.8001,-726.7672,-94.3808
535.3629,-803.2267,-98.9616
491.2575,-817.1154,-99.6084
520.3337,-809.8901,-92.8194
465.0604,-859.6124,-96.3329
475.5094,-867.3393,-98.0179
437.2247,-889.0608,-94.4549
334.8809,940.2534,-96.4622
328.3320,933.2475,-97.0018
419.4415,902.4646,-85.2547
456.3755,888.9791,-91.1763
344.5140,922.6915,-91.4651
353.8324,918.4294,-87.3291
410.1642,896.7895,-87.1791
405.2893,897.7646,-88.4095
525.5761,849.2456,-81.9025
522.0719,841.4539,-80.7239
530.4129,833.1442,-84.3519
481.0735,844.2132,-85.9192
510.9154,832.0491,-81.2653
443.5141,851.0674,-89.4419
437.7044,851.6021,-89.4250
409.2385,851.7919,-81.7586
-50.4832,982.6825,-98.8395
-58.3018,982.8125,-98.3501
-38.9923,975.8243,-97.0503
-16.1404,966.6292,-94.5780
-10.5781,964.2427,-95.8933
-78.1114,971.7535,-98.8576
485.3023,776.9332,-88.1815
494.2279,772.5495,-82.7216
390.2219,800.7911,-90.3229
485.8308,771.0841,-88.4578
-20.3878,916.3265,-97.7616
459.5361,777.6128,-81.1232
488.8944,769.0175,-82.6976
488.3723,768.7809,-82.5281
483.7084,769.5835,-79.8973
419.6014,786.8862,-90.0237
505.4979,757.2845,-81.3659
311.5879,808.7197,-95.6837
667.5412,703.0047,-73.5936
575.9975,719.3094,-76.1855
314.7330,790.9739,-85.0640
317.2031,788.8937,-92.4332
315.6321,788.2678,-86.3464
631.1052,689.8207,-75.9417
298.6823,780.0606,-92.8475
316.7860,771.7319,-94.0591
305.1110,771.6044,-84.6187
458.2591,723.1056,-79.3410
98.4398,818.2403,-90.6730
491.1743,711.1982,-86.3801
86.6309,818.1985,-93.3817
-23.3146,824.4135,-94.2334
87.9436,790.9042,-92.6124
674.1263,637.4396,-74.0795
656.3754,622.5645,-76.6126
169.7727,732.8011,-97.0303
642.2701,614.8586,-82.3711
627.9520,611.8652,-79.9379
636.3047,609.5726,-78.5126
629.0941,610.7466,-77.9108
644.6864,603.0774,-82.2049
637.2225,595.3092,-78.3907
702.5908,572.6815,-79.7777
635.1741,588.0559,-80.6656
650.5497,582.8566,-81.2852
622.3884,588.5675,-83.4982
800.1206,546.1284,-79.1484
123.6145,702.2284,-99.0658
319.6856,651.6904,-85.2271
376.6105,637.6662,-83.4036
137.1733,691.9433,-90.0850
533.4650,598.2171,-84.6224
331.9281,642.8332,-94.2811
380.4672,631.6823,-92.1271
349.3225,638.1728,-89.1472
287.4208,649.4048,-89.0828
639.4802,565.8216,-77.1769
464.7566,601.5858,-79.9273
174.3239,664.6064,-95.2766
289.4465,632.2097,-95.0638
128.6782,664.7375,-95.9657
260.8457,635.0699,-95.0165
683.2607,542.3328,-81.5894
57.1486,670.8305,-99.5843
551.2176,560.3477,-81.6016
785.4216,503.2667,-78.5003
768.9185,506.2394,-74.4438
808.4363,495.6886,-76.7028
594.2452,534.5042,-77.7494
600.3363,531.5734,-80.6448
588.6033,533.8117,-80.2805
-163.5419,672.0885,-98.5480
107.4719,612.2074,-97.4754
331.6186,545.0375,-90.0064
541.4487,504.4553,-76.1192
807.6440,449.2959,-72.5952
805.8883,445.8354,-71.3991
643.4670,472.4484,-73.0664
59.6705,580.5072,-90.3594
193.4907,551.7313,-89.0818
652.8854,464.0004,-76.1956
675.7257,454.9172,-76.0337
693.0787,451.5171,-81.9508
-31.7368,578.6416,-99.4234
237.3353,525.4004,-91.0766
112.1012,538.8907,-90.4251
638.6372,441.9266,-79.6252
503.4150,457.8505,-79.8761
-60.7630,552.8107,-99.3500
677.6944,414.4199,-78.3838
625.0805,418.4482,-73.2633
-41.9498,521.9635,-94.0829
670.2213,401.9943,-75.0543
420.6073,439.3294,-83.3347
477.4905,429.8489,-78.4671
436.3797,435.7829,-83.1962
603.7808,406.0632,-80.4801
615.4985,402.1365,-81.3632
780.2696,360.6488,-71.1073
639.5312,379.0841,-76.1921
782.7345,352.1855,-75.0327
653.3213,371.2483,-76.5785
467.7216,395.8542,-78.7068
462.3574,392.1779,-80.2871
311.4701,409.2648,-81.5882
293.4530,397.3764,-93.3333
376.2283,382.7296,-82.1992
104.4866,415.5258,-92.0757
118.3728,405.6816,-94.3815
-48.4966,425.5826,-94.8673
354.9413,366.0207,-89.7428
938.7421,286.0914,-66.4866
444.0406,347.0533,-87.8882
148.7239,382.2441,-96.5042
611.5502,322.8599,-77.4992
723.0330,307.7810,-73.2813
450.6105,335.2430,-83.5959
233.2593,359.4854,-94.6207
739.9768,291.1290,-75.1531
732.8379,290.6813,-78.0132
718.3075,286.5798,-77.9621
712.1441,280.6837,-72.0650
857.6946,258.2527,-75.2491
280.3384,312.9977,-88.2013
112.4836,330.5942,-97.6756
35.0305,327.3234,-95.8220
242.5555,290.6065,-87.5030
736.4649,230.2904,-77.9723
978.8818,203.2550,-67.0983
391.6202,233.8845,-81.7827
887.5830,182.2446,-74.0061
436.3431,213.3178,-80.5240
967.2537,168.0351,-67.5972
762.6215,183.3868,-69.8368
-39.3022,243.6136,-94.5129
380.7338,211.4146,-90.6720
-137.0987,225.2558,-98.1541
618.7836,173.1146,-80.0581
-135.2603,223.7881,-99.4949
-138.6789,222.9844,-99.8311
-57.4382,207.4418,-91.4245
-79.9730,207.2929,-93.4566
-123.4183,206.0249,-99.9177
-280.6085,214.2396,-99.0646
-33.4620,190.6286,-95.6302
404.7122,153.7221,-90.1182
903.5787,124.4970,-68.8400
-41.4877,169.5139,-98.8257
-62.2942,166.3721,-96.8810
642.3788,118.4022,-77.4010
642.3398,107.4749,-80.8288
749.7363,96.2739,-70.3575
-23.4897,107.1342,-96.9889
-70.4739,107.6739,-99.6310
880.7501,70.7285,-71.1839
-50.8238,90.2063,-91.5043
-174.9140,85.8992,-96.5187
954.0069,55.4226,-65.6666
918.7960,45.5379,-70.1688
654.3733,47.0551,-79.7835
76.1948,54.9751,-89.5044
-10.6171,55.7542,-93.1000
817.2881,40.2936,-70.4807
912.2738,33.7683,-67.1044
15.2858,42.2129,-91.9668
10.4348,41.5711,-92.3191
-10.2306,40.9117,-93.4173
405.2131,32.5200,-83.6866
1.7023,33.1008,-92.5742
32.9024,31.9935,-91.8893
174.1723,27.5311,-88.8669
948.9720,19.7872,-66.9389
311.1477,20.7706,-81.1525
750.4993,16.8311,-77.9676
22.8852,11.8074,-89.5364
748.6339,8.8488,-68.4468
-54.0930,8.0168,-99.5224
679.2972,-0.9309,-72.8628
28.3723,-8.5193,-98.2662
-3.1996,-21.5671,-93.0224
464.8402,-20.3582,-82.1658
465.6596,-25.4209,-82.4772
-42.1300,-35.2978,-93.7909
132.2971,-38.7251,-94.9102
725.8906,-36.4276,-76.3825
985.5220,-37.8966,-66.3443
449.0038,-51.3481,-86.7858
56.4843,-67.6862,-92.8364
57.5572,-69.5808,-98.8229
51.5602,-71.2857,-98.3532
375.6347,-72.3029,-90.3547
385.9598,-72.3718,-89.3435
-86.7406,-87.8421,-97.6914
434.4951,-75.3419,-87.1647
369.3977,-77.5738,-79.1719
368.0299,-77.7429,-79.3740
444.9758,-80.1625,-79.6593
186.8995,-92.5185,-96.4153
506.9593,-83.4958,-83.3451
517.2131,-88.0684,-81.5639
482.9952,-92.1275,-85.8022
193.1122,-111.5871,-86.3226
194.8884,-114.1616,-86.4572
659.7839,-98.2744,-77.8271
525.4623,-105.6672,-85.0432
187.9682,-120.5921,-92.6574
660.7886,-102.0348,-75.7355
190.0174,-123.5481,-90.9143
678.3113,-104.8756,-72.7595
75.6494,-143.6806,-95.3660
307.9133,-136.2234,-89.6098
710.0797,-119.6391,-73.1292
-91.4483,-163.6524,-93.1893
728.1985,-127.2817,-78.3481
207.9403,-154.8775,-84.0020
54.6321,-164.1690,-95.0769
684.4240,-132.9159,-80.3952
570.6691,-140.2424,-75.5148
205.7186,-160.8401,-86.5405
736.9380,-132.3067,-78.1381
