x_mpch,y_mpch,z_mpch
274.0421,70.2165,-18.0496
273.0414,17.7005,-14.8336
271.1425,18.3380,-15.1529
278.2732,1.9962,-13.7245
277.6169,1.5313,-13.6638
260.9357,-6.0012,-15.4624
282.2366,-9.6870,-12.8209
255.3885,-8.9888,-16.2067
253.9475,-9.8289,-16.1791
282.2147,54.3215,-15.3721
233.0677,28.3907,-19.6611
223.2947,18.1951,-19.8805
259.7577,8.2747,-15.4394
255.2456,8.1296,-16.3798
258.0658,7.2352,-15.7501
259.1678,6.7095,-15.5098
258.5838,6.7931,-15.9735
264.2906,0.9967,-15.0650
280.4264,-4.0885,-12.8896
273.9039,-28.7019,-13.6018
274.3975,-38.3211,-13.2116
273.0744,-38.6204,-13.4270
282.4651,-44.9925,-12.4639
280.9284,-45.3016,-12.5939
257.3232,-108.9197,-18.4091
255.6135,-111.2691,-18.2569
273.3911,66.2057,-16.5629
285.5456,51.8115,-14.8551
250.8328,58.4297,-18.2440
238.8816,48.1437,-18.5192
269.4656,21.0376,-14.4493
270.9223,19.0771,-14.1296
221.3938,18.8223,-19.3824
266.3445,0.3415,-14.1768
254.9409,-7.9069,-15.1137
261.2334,-14.8362,-14.3939
260.0072,-15.0073,-14.7334
270.3868,-31.6014,-13.1128
266.8930,-32.6358,-13.6763
264.3175,-32.8836,-14.0573
266.5850,-33.5617,-13.8605
286.6878,-50.7652,-11.8582
220.6333,-68.5917,-19.6934
230.5951,48.1091,-19.1500
232.5351,45.8900,-18.3779
231.7392,46.2078,-18.4213
244.8281,28.0117,-16.7039
244.1522,14.8775,-16.0725
249.5891,12.2510,-15.7101
257.0862,8.8055,-14.8419
257.4495,8.6286,-14.4694
282.0379,1.1606,-11.7904
238.0335,12.5062,-16.9318
254.1514,8.2401,-14.8600
230.7972,10.5154,-17.2812
264.3539,0.5387,-13.6017
262.9568,-1.8085,-13.7311
261.3154,-1.5056,-13.9434
265.8729,-2.5303,-13.5894
280.0138,-5.7649,-11.8694
282.7271,-8.7624,-11.4882
257.9539,-7.4878,-14.0257
257.3329,-8.5386,-14.2437
277.1352,-40.1433,-12.3114
254.7560,-111.0326,-16.9380
253.8837,110.4107,-19.7259
261.3742,102.7024,-18.5892
248.0872,96.6041,-19.8093
258.9211,46.2661,-15.6774
235.4999,46.6331,-17.3789
218.1926,54.8714,-19.5652
211.3182,38.7462,-19.5154
232.0647,24.8051,-16.8655
254.2337,12.4560,-14.3530
254.0237,9.9517,-14.3974
248.8899,7.7857,-14.9616
237.0123,8.4945,-16.4098
202.1577,13.0267,-19.6768
202.9064,12.6287,-19.6731
220.5118,6.0299,-18.0959
267.2882,-4.9342,-12.6387
260.6335,-4.1729,-13.2051
220.6847,0.7816,-17.5863
278.8480,-12.7721,-11.2587
230.5457,-11.2502,-16.7222
239.6432,-14.8726,-15.8531
257.4235,-16.3125,-13.9231
272.8308,-27.0343,-12.2236
268.3831,-30.1874,-12.6266
273.7828,-38.0559,-11.7456
281.3463,-40.0277,-11.1671
281.9606,-55.7892,-11.4310
241.2058,-77.5842,-16.4134
248.3360,-98.0198,-16.7109
236.1602,-128.4533,-18.7765
261.3031,-115.9679,-16.0301
269.3377,110.8303,-17.8843
268.6176,111.6265,-18.0137
251.4213,112.9273,-19.5638
228.4841,78.2251,-19.4284
257.9450,45.1402,-14.6601
246.2645,49.6176,-16.3061
244.5068,48.7392,-16.0027
222.1005,55.5905,-18.3772
235.9439,47.5808,-16.9106
235.7118,46.9430,-17.2749
224.8294,51.5287,-17.8957
232.8646,46.6655,-16.9875
232.3619,46.3444,-16.9023
201.3785,30.8146,-19.9025
254.3062,13.4620,-13.9935
224.3885,21.2343,-16.7948
196.2974,25.0286,-19.7673
202.4939,20.4703,-19.1124
290.6068,-3.3764,-10.1453
221.3470,5.6065,-16.6446
268.1353,-5.2109,-12.0791
261.2479,-4.1148,-12.9624
263.2522,-4.5842,-12.6125
260.2613,-4.1346,-12.7752
260.2425,-4.1535,-13.1800
264.3925,-5.0904,-12.4098
262.4672,-5.0195,-12.5320
265.7248,-5.7047,-12.4014
271.2626,-6.8537,-11.9309
285.9122,-9.4609,-10.2004
217.3820,-0.6403,-17.1890
261.5394,-10.5024,-12.7264
256.4424,-12.8194,-12.9937
216.3917,-9.6909,-17.6277
290.2228,-22.4832,-9.6563
274.3070,-37.6372,-11.2751
260.7677,-39.0270,-12.7964
277.4969,-39.1692,-11.2630
277.7123,-41.9037,-11.0553
257.3785,-111.5971,-15.5836
247.1699,-146.7028,-18.9568
243.4830,-155.5804,-19.0738
269.2886,110.5147,-17.6408
270.0114,109.4983,-17.4405
260.2623,108.9282,-17.8086
259.0818,109.2388,-17.6869
254.9645,113.3048,-18.6754
250.6437,115.1684,-19.2602
248.7404,116.3048,-19.3162
249.6135,104.6629,-18.3601
252.9209,50.8731,-14.7244
231.6896,44.7775,-16.3900
243.5985,39.1272,-15.4768
240.8369,34.7843,-15.4334
214.5554,40.5445,-17.8651
199.9584,33.1525,-18.6862
199.5697,30.5066,-19.1508
240.6560,13.4244,-14.8541
196.8873,22.9122,-19.0350
234.5329,9.9101,-15.2985
228.8817,11.0248,-15.2871
227.2805,11.3874,-15.6680
226.1631,11.6337,-15.7796
224.9744,10.8051,-16.2635
255.9973,3.3091,-12.6988
221.3163,10.7306,-16.0644
220.8014,5.9518,-16.2018
220.5597,5.9774,-16.5917
221.7702,5.3737,-16.3031
220.8751,5.3085,-16.4747
258.8551,-3.2709,-12.3122
284.6996,-8.4657,-10.0618
259.1264,-4.0801,-12.2367
255.3358,-4.0264,-12.8208
187.2942,6.1839,-19.7380
217.3887,0.6050,-16.8420
261.4969,-8.0869,-12.2825
261.8620,-8.1784,-12.1692
227.5300,-9.0621,-15.1060
231.3330,-16.6553,-14.7488
270.1228,-28.7068,-11.3503
184.2582,-53.5459,-19.9201
185.9621,-79.1616,-19.8330
221.1302,-70.1650,-16.2110
220.2758,-70.5634,-16.3915
191.6108,-83.9945,-19.3864
189.7088,-84.6827,-19.3747
255.8120,-68.5420,-13.1315
191.0606,-89.6724,-19.9106
270.9420,-64.8935,-11.8877
216.1711,-135.3500,-19.3328
233.7472,-130.1430,-17.6436
236.4753,-129.0193,-17.2013
238.2522,-127.8420,-17.6421
241.5319,-127.3688,-17.0673
241.5782,-128.2389,-16.9697
240.8946,-142.4388,-17.8846
231.1936,-151.8468,-19.2337
234.7300,-148.9935,-18.4500
237.3588,-149.0422,-18.5710
258.4099,112.1837,-17.5306
257.7239,112.7779,-17.1815
249.3603,109.8839,-18.0638
247.2910,107.0697,-18.0754
279.0057,53.6002,-12.5807
255.0215,49.5070,-14.2000
250.4259,50.6569,-14.1232
248.8770,48.2964,-14.4245
198.8318,61.9773,-18.8720
200.6607,58.5905,-19.1027
240.0264,34.5316,-14.5019
268.0060,21.8881,-11.6571
270.1804,20.2354,-11.8077
180.4851,38.5852,-19.7519
206.4357,25.6591,-17.6424
216.2162,22.2610,-16.5587
207.2219,24.7647,-17.3368
208.8317,24.2215,-17.1720
207.4820,18.0433,-16.6320
227.2466,11.4929,-15.2379
225.7808,11.1445,-15.2518
225.3569,11.2265,-15.0772
226.8138,10.8012,-14.8662
226.6159,10.7053,-14.7805
174.0680,22.4832,-19.7349
210.5709,7.8997,-16.4536
212.5235,6.8903,-16.0337
263.3180,-3.7006,-11.5791
262.1962,-6.8141,-11.8327
187.1382,4.0178,-18.8352
231.6352,-3.4626,-14.2222
263.0115,-8.0599,-11.6514
265.4981,-10.4426,-11.2751
178.2879,-5.4903,-19.3066
174.3475,-8.4547,-19.1708
172.9482,-15.2594,-19.5531
268.7063,-28.1984,-10.6894
268.7598,-28.3728,-10.9649
236.8735,-43.5774,-14.1593
182.9840,-55.0182,-19.3261
207.0357,-52.3280,-16.5177
281.7685,-42.4510,-9.9532
172.1093,-65.0301,-19.9622
174.0516,-66.7868,-19.9270
173.1493,-71.5574,-19.7314
219.3948,-70.1799,-15.6373
184.5725,-79.5303,-18.9132
187.3082,-85.1440,-19.5756
196.3438,-82.6574,-18.7117
191.2668,-84.5928,-18.7016
181.6329,-90.6227,-19.6257
189.8588,-93.3109,-19.2736
191.9882,-92.8950,-18.5231
240.5155,-78.2845,-14.1824
269.8925,-76.1835,-11.7549
204.9865,-135.0574,-19.4560
217.5444,-134.9679,-18.3622
271.6224,-101.7873,-12.9205
219.5193,-138.5868,-18.4732
245.0540,-124.6893,-16.0243
259.8678,-115.1977,-14.2834
242.9311,-128.1890,-15.8929
260.2779,-116.0987,-14.5074
239.6228,-131.8140,-16.8780
229.6835,-149.1710,-18.4937
238.2338,-145.8122,-17.4194
238.7672,-145.4044,-17.6012
237.1068,-147.2724,-18.0319
235.4148,-148.7912,-18.0327
239.2487,-149.4898,-18.0995
249.0481,-148.6608,-17.1120
241.8713,-157.2340,-17.6159
262.7334,113.1559,-16.5911
263.4064,112.3905,-16.5095
256.2372,115.7460,-16.9781
254.2219,117.9184,-17.5111
260.3301,110.8461,-16.2091
255.2901,114.9349,-16.5649
256.2747,113.7361,-16.6065
253.9762,116.1164,-16.8731
257.4876,111.6375,-16.7227
259.2967,109.4652,-15.9789
250.0331,101.0601,-16.3326
249.9924,100.1705,-16.0449
206.5002,103.6098,-19.5295
204.3124,104.8246,-19.8526
205.1175,103.6983,-19.7335
205.9065,94.3809,-19.2972
206.0047,92.1689,-18.5480
216.1541,82.8706,-17.4021
251.4402,53.9779,-14.0624
184.7530,83.0048,-19.6618
192.0093,65.8170,-18.4292
181.9540,69.7596,-19.7095
186.6122,67.4594,-19.5449
227.1689,48.0975,-15.3741
227.9757,47.6854,-15.2693
228.7392,46.8863,-15.0969
179.7861,68.4119,-19.6813
229.3150,45.6359,-15.3824
270.6291,22.1085,-10.9870
267.0978,22.1704,-11.3983
209.6579,36.8838,-16.4486
206.1479,36.6491,-16.6413
199.6989,35.7414,-17.0650
248.2592,12.2122,-12.6304
210.8469,20.6434,-16.2547
237.4158,11.6327,-13.5213
173.0534,22.6603,-19.3150
