masa_final_source_Msun,espin_final,masa_1_source_Msun,masa_2_source_Msun
63.992,0.6778,34.285,32.906
61.820,0.6801,34.003,30.921
63.210,0.6690,33.466,32.849
62.884,0.6849,34.222,31.870
63.821,0.6893,34.786,32.293
62.584,0.6959,33.340,32.487
64.020,0.6725,33.916,33.307
62.419,0.6663,32.908,32.570
61.547,0.6763,32.504,32.109
63.855,0.6860,33.856,33.244
62.473,0.6896,32.995,32.674
62.412,0.6809,33.670,31.873
61.209,0.6604,32.907,31.264
62.747,0.6692,33.182,32.629
62.588,0.6844,33.823,31.933
62.784,0.6766,34.730,31.181
62.515,0.6774,33.299,32.342
64.258,0.6802,35.406,32.073
62.686,0.6891,33.909,31.980
63.407,0.6865,33.531,33.102
62.932,0.6793,33.271,32.818
61.054,0.6775,33.311,30.761
63.466,0.6872,35.099,31.568
62.678,0.6833,34.405,31.448
61.682,0.6626,34.153,30.522
62.018,0.6806,34.026,31.099
62.367,0.6654,36.676,28.689
64.040,0.6934,34.221,33.119
62.165,0.6530,33.923,31.217
62.804,0.6932,33.850,32.188
62.260,0.6718,34.291,31.032
62.055,0.6840,33.929,31.262
62.047,0.6731,35.009,30.099
62.392,0.6667,33.969,31.512
63.237,0.6677,33.334,33.009
63.618,0.6771,33.643,33.157
63.448,0.6788,34.113,32.513
61.657,0.6655,33.239,31.433
62.969,0.6695,34.490,31.570
62.387,0.6874,33.507,32.057
61.392,0.6642,33.352,31.003
61.585,0.6774,32.460,32.203
61.194,0.6687,35.134,29.054
62.046,0.6632,34.384,30.680
62.485,0.6726,33.230,32.353
62.665,0.6807,35.302,30.497
61.874,0.6851,32.759,32.239
62.563,0.6969,33.752,32.021
62.819,0.6861,33.735,32.263
61.331,0.6573,32.860,31.383
62.523,0.6697,33.235,32.369
61.607,0.6728,33.335,31.295
63.191,0.6772,33.323,33.030
62.698,0.6872,35.082,30.803
62.300,0.6738,34.468,30.915
63.635,0.6850,36.511,30.332
62.450,0.6878,34.687,30.940
62.223,0.6818,34.064,31.290
