h1_optimo,h1_filtro_adaptado,l1_optimo,l1_filtro_adaptado
19.1641,-3.0732,20.9034,-1.8376
38.7731,-11.9536,43.1049,-11.3559
19.3787,-1.0340,21.0195,0.5717
30.0010,13.1317,33.7414,15.1522
19.3787,-1.0340,21.0195,0.5717
30.0010,13.1317,33.7414,15.1522
10.3315,-3.3494,11.2212,-1.9235
30.0010,13.1317,33.7414,15.1522
10.3315,-3.3494,11.2212,-1.9235
30.0010,13.1317,33.7414,15.1522
18.7604,4.2180,20.3176,6.5899
18.7786,15.1772,21.4630,16.7090
18.5843,4.1423,20.1223,6.5059
18.7786,15.1772,21.4630,16.7090
18.5843,4.1423,20.1223,6.5059
18.7786,15.1772,21.4630,16.7090
10.3459,7.7201,11.3321,10.3542
15.0078,15.7487,17.2315,16.9660
13.3451,10.1926,15.1986,10.3688
15.0078,15.7487,17.2315,16.9660
13.3451,10.1926,15.1986,10.3688
15.0078,15.7487,17.2315,16.9660
14.4416,12.7552,16.2910,15.2094
14.3078,15.9619,16.4686,16.9254
11.6447,14.2399,13.2996,16.3581
14.2606,15.8975,16.4174,16.9826
11.6447,14.2399,13.2996,16.3581
14.2606,15.8975,16.4174,16.9826
11.6447,14.2399,13.2996,16.3581
14.2606,15.8975,16.4174,16.9826
11.6447,14.2399,13.2996,16.3581
14.2606,15.8975,16.4174,16.9826
11.6447,14.2399,13.2996,16.3581
14.2606,15.8975,16.4174,16.9826
11.6447,14.2399,13.2996,16.3581
14.2606,15.8975,16.4174,16.9826
11.6447,14.2399,13.2996,16.3581
14.3396,15.8359,16.5069,17.0122
13.9458,14.8507,16.0519,16.8247
15.6908,15.9282,18.0896,17.0195
13.9458,14.8507,16.0519,16.8247
15.6908,15.9282,18.0896,17.0195
13.9458,14.8507,16.0519,16.8247
15.7456,15.9393,18.1740,17.0159
13.9458,14.8507,16.0519,16.8247
15.7456,15.9393,18.1740,17.0159
13.9458,14.8507,16.0519,16.8247
15.7456,15.9393,18.1740,17.0159
13.9435,14.9037,16.0619,16.8592
15.7456,15.9393,18.1740,17.0159
14.8416,14.9776,17.1378,16.9468
15.7456,15.9393,18.1740,17.0159
14.8416,14.9776,17.1378,16.9468
15.9588,15.9580,18.4504,16.9747
15.3880,15.0188,17.7626,16.9640
15.9588,15.9580,18.4504,16.9747
15.3880,15.0188,17.7626,16.9640
15.9588,15.9580,18.4504,16.9747
15.3880,15.0188,17.7626,16.9640
15.9588,15.9580,18.4504,16.9747
15.3880,15.0188,17.7626,16.9640
15.9588,15.9580,18.4504,16.9747
15.3880,15.0188,17.7626,16.9640
15.9588,15.9580,18.4504,16.9747
15.1536,15.4098,17.6079,17.1689
15.9588,15.9580,18.4504,16.9747
15.1536,15.4098,17.6079,17.1689
15.9588,15.9580,18.4504,16.9747
15.1536,15.4098,17.6079,17.1689
15.9588,15.9580,18.4504,16.9747
15.6955,15.7084,18.3551,17.1978
15.3964,15.9371,17.7703,17.0186
15.6955,15.7084,18.3551,17.1978
15.3964,15.9371,17.7703,17.0186
15.6955,15.7084,18.3551,17.1978
